condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement
B0 tirage,hunt1,150,0.026667,0.519060,0.507994,0.978681,,150,tous,150,non teste,nominal,comportement
B1 argmax,hunt1,150,0.073333,0.519060,0.062587,0.120577,,150,tous,150,non teste,nominal,comportement
B2 argmax,hunt1,150,0.080000,0.519060,0.000000,0.000000,,150,tous,150,non teste,nominal,comportement
B3 foret,hunt1,150,0.080000,0.519060,0.000000,0.000000,,150,tous,150,non teste,nominal,comportement
humains vague 2,hunt1,150,0.046667,0.519060,0.747818,1.440717,,150,tous,150,non teste,nominal,comportement
agents composite,class,150,0.055556,1.650634,1.498678,0.907941,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
agents entretien (v3),class,150,0.060000,1.650634,1.439753,0.872242,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
agents enquete,class,150,0.080000,1.650634,1.350700,0.818292,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
agents demographiques (v6),class,149,0.016048,1.650634,1.502090,0.910008,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
agents v7,class,150,0.204444,1.650634,0.848520,0.514057,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
agents v8,class,150,0.271111,1.650634,0.106967,0.064804,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
C2,class,150,0.191111,1.650634,0.927080,0.561651,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
C3,class,150,0.151111,1.650634,1.114382,0.675124,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
B0 mode,class,150,0.195556,1.650634,0.000000,0.000000,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
B0 tirage,class,150,0.017778,1.650634,1.599443,0.968987,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
B1 argmax,class,150,0.028889,1.650634,1.474063,0.893029,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
B2 argmax,class,150,0.060000,1.650634,1.289567,0.781255,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
B3 foret,class,150,0.046667,1.650634,1.405270,0.851351,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
humains vague 2,class,150,0.013333,1.650634,1.583188,0.959139,,150,tous,150,non teste,ordinal 3 et plus,auto evaluation
agents composite,satfin,150,0.056667,1.556557,1.572533,1.010264,0.056667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents entretien (v3),satfin,149,0.050089,1.556557,1.530586,0.983315,0.050089,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents enquete,satfin,148,0.100901,1.556557,1.267408,0.814238,-0.044414,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents demographiques (v6),satfin,150,0.193333,1.556557,0.730832,0.469518,-0.046667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents v7,satfin,150,0.206667,1.556557,0.743562,0.477696,0.080000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents v8,satfin,150,0.230000,1.556557,0.494588,0.317745,0.090000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
C2,satfin,150,0.346667,1.556557,1.063737,0.683391,0.346667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
C3,satfin,150,0.160000,1.556557,1.013000,0.650795,0.100000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B0 mode,satfin,150,0.283333,1.556557,0.000000,0.000000,0.036667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B0 tirage,satfin,150,0.023333,1.556557,1.566483,1.006377,0.023333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B1 argmax,satfin,150,0.050000,1.556557,1.501783,0.964810,0.050000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B2 argmax,satfin,150,0.073333,1.556557,1.407324,0.904126,0.013333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B3 foret,satfin,150,0.103333,1.556557,1.299370,0.834771,0.076667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
humains vague 2,satfin,150,0.016667,1.556557,1.560434,1.002491,-0.016667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents composite,finalter,150,0.113333,1.581880,1.331696,0.841844,-0.113333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents entretien (v3),finalter,149,0.067226,1.581880,1.485631,0.939156,-0.067226,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents enquete,finalter,150,0.086667,1.581880,1.396869,0.883044,-0.053333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents demographiques (v6),finalter,150,0.193333,1.581880,0.982590,0.621154,-0.006667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents v7,finalter,150,0.186667,1.581880,0.985289,0.622860,0.073333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents v8,finalter,150,0.240000,1.581880,0.553034,0.349606,0.080000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
C2,finalter,150,0.053333,1.581880,1.486217,0.939526,-0.046667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
C3,finalter,150,0.253333,1.581880,1.198062,0.757366,-0.253333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B0 mode,finalter,150,0.303333,1.581880,0.000000,0.000000,0.016667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B0 tirage,finalter,150,0.030000,1.581880,1.579417,0.998443,-0.030000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B1 argmax,finalter,150,0.063333,1.581880,1.481763,0.936710,-0.016667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B2 argmax,finalter,150,0.130000,1.581880,1.221917,0.772446,-0.070000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B3 foret,finalter,150,0.126667,1.581880,1.299870,0.821725,0.013333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
humains vague 2,finalter,150,0.040000,1.581880,1.580610,0.999197,-0.040000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents composite,finrela,150,0.031667,2.015734,2.031202,1.007674,0.028333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents entretien (v3),finrela,150,0.040000,2.015734,2.037345,1.010721,0.020000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents enquete,finrela,150,0.041667,2.015734,1.728895,0.857700,-0.018333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents demographiques (v6),finrela,149,0.128098,2.015734,1.770298,0.878240,-0.128098,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents v7,finrela,150,0.131667,2.015734,1.101267,0.546336,0.098333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents v8,finrela,150,0.155000,2.015734,0.622928,0.309033,0.125000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
C2,finrela,150,0.156667,2.015734,1.963320,0.973998,0.156667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
C3,finrela,150,0.033333,2.015734,1.836311,0.910989,0.016667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B0 mode,finrela,150,0.193333,2.015734,0.000000,0.000000,0.086667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B0 tirage,finrela,150,0.038333,2.015734,2.069174,1.026512,0.018333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B1 argmax,finrela,150,0.056667,2.015734,1.680434,0.833658,0.020000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B2 argmax,finrela,150,0.080000,2.015734,1.277410,0.633719,-0.016667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B3 foret,finrela,150,0.103333,2.015734,1.301167,0.645505,0.033333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
humains vague 2,finrela,150,0.011667,2.015734,1.956870,0.970798,0.001667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents composite,racdif1,150,0.126667,0.994397,0.991947,0.997536,-0.126667,150,tous,150,temoin,binaire,attitude
agents entretien (v3),racdif1,149,0.010470,0.994397,0.990465,0.996046,0.010470,150,tous,150,temoin,binaire,attitude
agents enquete,racdif1,150,0.020000,0.994397,1.000187,1.005824,-0.020000,150,tous,150,temoin,binaire,attitude
agents demographiques (v6),racdif1,150,0.326667,0.994397,0.514698,0.517598,0.326667,150,tous,150,temoin,binaire,attitude
agents v7,racdif1,150,0.393333,0.994397,0.276874,0.278434,0.393333,150,tous,150,temoin,binaire,attitude
agents v8,racdif1,150,0.100000,0.994397,0.929628,0.934866,0.100000,150,tous,150,temoin,binaire,attitude
C2,racdif1,150,0.113333,0.994397,0.996586,1.002202,-0.113333,150,tous,150,temoin,binaire,attitude
C3,racdif1,150,0.200000,0.994397,0.947492,0.952831,-0.200000,150,tous,150,temoin,binaire,attitude
B0 mode,racdif1,150,0.440000,0.994397,0.000000,0.000000,0.440000,150,tous,150,temoin,binaire,attitude
B0 tirage,racdif1,150,0.073333,0.994397,1.004296,1.009955,-0.073333,150,tous,150,temoin,binaire,attitude
B1 argmax,racdif1,150,0.026667,0.994397,0.983027,0.988566,0.026667,150,tous,150,temoin,binaire,attitude
B2 argmax,racdif1,150,0.046667,0.994397,0.971726,0.977202,0.046667,150,tous,150,temoin,binaire,attitude
B3 foret,racdif1,150,0.033333,0.994397,0.979526,0.985046,0.033333,150,tous,150,temoin,binaire,attitude
humains vague 2,racdif1,150,0.013333,0.994397,0.998516,1.004143,-0.013333,150,tous,150,temoin,binaire,attitude
agents composite,racdif2,150,0.006667,0.332254,0.305200,0.918576,0.006667,150,tous,150,temoin,binaire,attitude
agents entretien (v3),racdif2,149,0.053289,0.332254,0.062942,0.189439,0.053289,150,tous,150,temoin,binaire,attitude
agents enquete,racdif2,150,0.040000,0.332254,0.146250,0.440174,0.040000,150,tous,150,temoin,binaire,attitude
agents demographiques (v6),racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
agents v7,racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
agents v8,racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
C2,racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
C3,racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
B0 mode,racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
B0 tirage,racdif2,150,0.006667,0.332254,0.358168,1.077996,-0.006667,150,tous,150,temoin,binaire,attitude
B1 argmax,racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
B2 argmax,racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
B3 foret,racdif2,150,0.060000,0.332254,0.000000,0.000000,0.060000,150,tous,150,temoin,binaire,attitude
humains vague 2,racdif2,150,0.020000,0.332254,0.406988,1.224931,-0.020000,150,tous,150,temoin,binaire,attitude
agents composite,racdif3,150,0.066667,1.004681,0.994397,0.989764,-0.066667,150,tous,150,temoin,binaire,attitude
agents entretien (v3),racdif3,150,0.106667,1.004681,0.967424,0.962917,0.106667,150,tous,150,temoin,binaire,attitude
agents enquete,racdif3,149,0.130917,1.004681,0.949512,0.945088,0.130917,150,tous,150,temoin,binaire,attitude
agents demographiques (v6),racdif3,149,0.493333,1.004681,0.000000,0.000000,0.493333,150,tous,150,temoin,binaire,attitude
agents v7,racdif3,150,0.460000,1.004681,0.215651,0.214647,0.460000,150,tous,150,temoin,binaire,attitude
agents v8,racdif3,150,0.200000,1.004681,0.877797,0.873708,0.200000,150,tous,150,temoin,binaire,attitude
C2,racdif3,150,0.360000,1.004681,0.606244,0.603420,-0.360000,150,tous,150,temoin,binaire,attitude
C3,racdif3,150,0.466667,1.004681,0.247101,0.245950,-0.466667,150,tous,150,temoin,binaire,attitude
B0 mode,racdif3,150,0.306667,1.004681,0.726737,0.723351,-0.306667,150,tous,150,temoin,binaire,attitude
B0 tirage,racdif3,150,0.120000,1.004681,0.958006,0.953543,0.120000,150,tous,150,temoin,binaire,attitude
B1 argmax,racdif3,150,0.013333,1.004681,1.003655,0.998979,0.013333,150,tous,150,temoin,binaire,attitude
B2 argmax,racdif3,150,0.066667,1.004681,0.989236,0.984627,0.066667,150,tous,150,temoin,binaire,attitude
B3 foret,racdif3,150,0.040000,1.004681,0.998516,0.993864,0.040000,150,tous,150,temoin,binaire,attitude
humains vague 2,racdif3,150,0.020000,1.004681,1.004296,0.999617,-0.020000,150,tous,150,temoin,binaire,attitude
agents composite,racdif4,150,0.080000,0.841450,0.699255,0.831012,0.080000,150,tous,150,temoin,binaire,attitude
agents entretien (v3),racdif4,150,0.040000,0.841450,0.776964,0.923364,0.040000,150,tous,150,temoin,binaire,attitude
agents enquete,racdif4,149,0.062192,0.841450,0.918598,1.091685,-0.062192,150,tous,150,temoin,binaire,attitude
agents demographiques (v6),racdif4,149,0.266667,0.841450,0.000000,0.000000,0.266667,150,tous,150,temoin,binaire,attitude
agents v7,racdif4,150,0.226667,0.841450,0.247101,0.293661,0.226667,150,tous,150,temoin,binaire,attitude
agents v8,racdif4,150,0.006667,0.841450,0.831555,0.988241,0.006667,150,tous,150,temoin,binaire,attitude
C2,racdif4,150,0.266667,0.841450,0.000000,0.000000,0.266667,150,tous,150,temoin,binaire,attitude
C3,racdif4,150,0.253333,0.841450,0.106967,0.127122,0.253333,150,tous,150,temoin,binaire,attitude
B0 mode,racdif4,150,0.266667,0.841450,0.000000,0.000000,0.266667,150,tous,150,temoin,binaire,attitude
B0 tirage,racdif4,150,0.040000,0.841450,0.776964,0.923364,0.040000,150,tous,150,temoin,binaire,attitude
B1 argmax,racdif4,150,0.126667,0.841450,0.589048,0.700039,0.126667,150,tous,150,temoin,binaire,attitude
B2 argmax,racdif4,150,0.133333,0.841450,0.571318,0.678969,0.133333,150,tous,150,temoin,binaire,attitude
B3 foret,racdif4,150,0.186667,0.841450,0.406988,0.483675,0.186667,150,tous,150,temoin,binaire,attitude
humains vague 2,racdif4,150,0.093333,0.841450,0.947492,1.126024,-0.093333,150,tous,150,temoin,binaire,attitude
agents composite,wlthwhts,150,0.057778,1.693003,0.856354,0.505820,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents entretien (v3),wlthwhts,150,0.102222,1.693003,1.196297,0.706613,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents enquete,wlthwhts,149,0.089650,1.693003,1.082832,0.639593,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),wlthwhts,149,0.114437,1.693003,0.873424,0.515902,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v7,wlthwhts,149,0.109963,1.693003,1.027567,0.606949,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v8,wlthwhts,150,0.130000,1.693003,1.134801,0.670289,,150,tous,150,non teste,ordinal 3 et plus,attitude
C2,wlthwhts,150,0.091111,1.693003,0.483651,0.285676,,150,tous,150,non teste,ordinal 3 et plus,attitude
C3,wlthwhts,150,0.077778,1.693003,1.558278,0.920423,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 mode,wlthwhts,150,0.091111,1.693003,0.000000,0.000000,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 tirage,wlthwhts,150,0.021111,1.693003,1.546245,0.913315,,150,tous,150,non teste,ordinal 3 et plus,attitude
B1 argmax,wlthwhts,150,0.051111,1.693003,0.931724,0.550338,,150,tous,150,non teste,ordinal 3 et plus,attitude
B2 argmax,wlthwhts,150,0.077778,1.693003,0.406988,0.240394,,150,tous,150,non teste,ordinal 3 et plus,attitude
B3 foret,wlthwhts,150,0.080000,1.693003,0.358168,0.211558,,150,tous,150,non teste,ordinal 3 et plus,attitude
humains vague 2,wlthwhts,150,0.017778,1.693003,1.898949,1.121646,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents composite,wlthblks,148,0.131156,1.604864,1.593043,0.992634,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents entretien (v3),wlthblks,146,0.203120,1.604864,0.960244,0.598333,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents enquete,wlthblks,146,0.190563,1.604864,0.934656,0.582390,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),wlthblks,146,0.204262,1.604864,0.346091,0.215651,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v7,wlthblks,148,0.202102,1.604864,0.532278,0.331666,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v8,wlthblks,144,0.204167,1.604864,0.612837,0.381862,,150,tous,150,non teste,ordinal 3 et plus,attitude
C2,wlthblks,150,0.113333,1.604864,0.571318,0.355992,,150,tous,150,non teste,ordinal 3 et plus,attitude
C3,wlthblks,150,0.137778,1.604864,2.310657,1.439784,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 mode,wlthblks,150,0.086667,1.604864,0.000000,0.000000,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 tirage,wlthblks,150,0.010000,1.604864,1.714959,1.068601,,150,tous,150,non teste,ordinal 3 et plus,attitude
B1 argmax,wlthblks,150,0.041111,1.604864,0.981891,0.611822,,150,tous,150,non teste,ordinal 3 et plus,attitude
B2 argmax,wlthblks,150,0.044444,1.604864,0.821328,0.511774,,150,tous,150,non teste,ordinal 3 et plus,attitude
B3 foret,wlthblks,150,0.054444,1.604864,0.713202,0.444400,,150,tous,150,non teste,ordinal 3 et plus,attitude
humains vague 2,wlthblks,150,0.021111,1.604864,1.797433,1.119991,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents composite,wlthhsps,150,0.086667,1.686188,1.532519,0.908866,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents entretien (v3),wlthhsps,149,0.095839,1.686188,1.712520,1.015616,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents enquete,wlthhsps,150,0.052222,1.686188,1.538161,0.912212,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),wlthhsps,149,0.059970,1.686188,1.586315,0.940770,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v7,wlthhsps,149,0.020641,1.686188,1.483190,0.879611,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v8,wlthhsps,150,0.091111,1.686188,1.617388,0.959198,,150,tous,150,non teste,ordinal 3 et plus,attitude
C2,wlthhsps,150,0.100000,1.686188,0.452308,0.268243,,150,tous,150,non teste,ordinal 3 et plus,attitude
C3,wlthhsps,150,0.074444,1.686188,1.972244,1.169647,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 mode,wlthhsps,150,0.033333,1.686188,0.975760,0.578678,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 tirage,wlthhsps,150,0.031111,1.686188,1.905219,1.129897,,150,tous,150,non teste,ordinal 3 et plus,attitude
B1 argmax,wlthhsps,150,0.035556,1.686188,1.151582,0.682950,,150,tous,150,non teste,ordinal 3 et plus,attitude
B2 argmax,wlthhsps,150,0.030000,1.686188,0.986263,0.584907,,150,tous,150,non teste,ordinal 3 et plus,attitude
B3 foret,wlthhsps,150,0.043333,1.686188,1.004809,0.595906,,150,tous,150,non teste,ordinal 3 et plus,attitude
humains vague 2,wlthhsps,150,0.013333,1.686188,1.730121,1.026055,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents composite,racwork,150,0.233333,2.228463,1.949156,0.874664,,150,tous,150,temoin,nominal,comportement
agents entretien (v3),racwork,149,0.217808,2.228463,2.076080,0.931620,,150,tous,150,temoin,nominal,comportement
agents enquete,racwork,150,0.120000,2.228463,1.906567,0.855553,,150,tous,150,temoin,nominal,comportement
agents demographiques (v6),racwork,149,0.277673,2.228463,1.588378,0.712768,,150,tous,150,temoin,nominal,comportement
agents v7,racwork,149,0.205638,2.228463,1.969138,0.883631,,150,tous,150,temoin,nominal,comportement
agents v8,racwork,150,0.206667,2.228463,1.676769,0.752433,,150,tous,150,temoin,nominal,comportement
C2,racwork,150,0.580000,2.228463,1.282944,0.575708,,150,tous,150,temoin,nominal,comportement
C3,racwork,150,0.380000,2.228463,1.523683,0.683737,,150,tous,150,temoin,nominal,comportement
B0 mode,racwork,150,0.653333,2.228463,0.000000,0.000000,,150,tous,150,temoin,nominal,comportement
B0 tirage,racwork,150,0.066667,2.228463,2.132639,0.957000,,150,tous,150,temoin,nominal,comportement
B1 argmax,racwork,150,0.233333,2.228463,1.586520,0.711934,,150,tous,150,temoin,nominal,comportement
B2 argmax,racwork,150,0.260000,2.228463,1.429925,0.641664,,150,tous,150,temoin,nominal,comportement
B3 foret,racwork,150,0.333333,2.228463,1.076410,0.483028,,150,tous,150,temoin,nominal,comportement
humains vague 2,racwork,150,0.033333,2.228463,2.236772,1.003729,,150,tous,150,temoin,nominal,comportement
agents composite,letin1a,150,0.095000,2.125921,1.725789,0.811784,0.005000,150,tous,150,temoin,ordinal 3 et plus,attitude
agents entretien (v3),letin1a,150,0.028333,2.125921,2.196190,1.033053,0.025000,150,tous,150,temoin,ordinal 3 et plus,attitude
agents enquete,letin1a,150,0.083333,2.125921,2.095475,0.985679,0.063333,150,tous,150,temoin,ordinal 3 et plus,attitude
agents demographiques (v6),letin1a,149,0.184609,2.125921,1.016601,0.478193,0.068098,150,tous,150,temoin,ordinal 3 et plus,attitude
agents v7,letin1a,149,0.193669,2.125921,1.636499,0.769783,0.177159,150,tous,150,temoin,ordinal 3 et plus,attitude
agents v8,letin1a,149,0.111723,2.125921,2.293996,1.079060,0.111723,150,tous,150,temoin,ordinal 3 et plus,attitude
C2,letin1a,150,0.133333,2.125921,1.926820,0.906346,0.126667,150,tous,150,temoin,ordinal 3 et plus,attitude
C3,letin1a,150,0.148333,2.125921,1.000187,0.470473,-0.011667,150,tous,150,temoin,ordinal 3 et plus,attitude
B0 mode,letin1a,150,0.243333,2.125921,0.000000,0.000000,0.103333,150,tous,150,temoin,ordinal 3 et plus,attitude
B0 tirage,letin1a,150,0.028333,2.125921,2.102490,0.988978,-0.028333,150,tous,150,temoin,ordinal 3 et plus,attitude
B1 argmax,letin1a,150,0.051667,2.125921,1.752970,0.824570,-0.028333,150,tous,150,temoin,ordinal 3 et plus,attitude
B2 argmax,letin1a,150,0.075000,2.125921,1.378186,0.648277,-0.011667,150,tous,150,temoin,ordinal 3 et plus,attitude
B3 foret,letin1a,150,0.103333,2.125921,1.058472,0.497889,-0.073333,150,tous,150,temoin,ordinal 3 et plus,attitude
humains vague 2,letin1a,150,0.023333,2.125921,2.009335,0.945160,-0.020000,150,tous,150,temoin,ordinal 3 et plus,attitude
agents composite,getahead,150,0.063333,1.277029,0.979526,0.767035,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents entretien (v3),getahead,149,0.136197,1.277029,1.079004,0.844933,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents enquete,getahead,150,0.126667,1.277029,0.942403,0.737966,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),getahead,149,0.233110,1.277029,0.359902,0.281827,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v7,getahead,149,0.206264,1.277029,0.602150,0.471524,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v8,getahead,150,0.100000,1.277029,1.185515,0.928339,,150,tous,150,non teste,ordinal 3 et plus,attitude
C2,getahead,150,0.103333,1.277029,0.916293,0.717520,,150,tous,150,non teste,ordinal 3 et plus,attitude
C3,getahead,150,0.173333,1.277029,1.394189,1.091745,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 mode,getahead,150,0.266667,1.277029,0.000000,0.000000,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 tirage,getahead,150,0.023333,1.277029,1.348161,1.055701,,150,tous,150,non teste,ordinal 3 et plus,attitude
B1 argmax,getahead,150,0.073333,1.277029,1.055906,0.826846,,150,tous,150,non teste,ordinal 3 et plus,attitude
B2 argmax,getahead,150,0.083333,1.277029,0.952887,0.746175,,150,tous,150,non teste,ordinal 3 et plus,attitude
B3 foret,getahead,150,0.110000,1.277029,0.901793,0.706165,,150,tous,150,non teste,ordinal 3 et plus,attitude
humains vague 2,getahead,150,0.066667,1.277029,1.300182,1.018131,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents composite,aged,150,0.123333,1.214840,1.269374,1.044890,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents entretien (v3),aged,149,0.047696,1.214840,1.053903,0.867525,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents enquete,aged,150,0.026667,1.214840,1.070219,0.880955,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents demographiques (v6),aged,149,0.099463,1.214840,0.641714,0.528229,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v7,aged,149,0.039060,1.214840,1.016124,0.836426,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents v8,aged,150,0.126667,1.214840,0.573660,0.472210,,150,tous,150,non teste,ordinal 3 et plus,attitude
C2,aged,150,0.336667,1.214840,0.535265,0.440605,,150,tous,150,non teste,ordinal 3 et plus,attitude
C3,aged,150,0.290000,1.214840,1.434030,1.180428,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 mode,aged,150,0.180000,1.214840,0.000000,0.000000,,150,tous,150,non teste,ordinal 3 et plus,attitude
B0 tirage,aged,150,0.013333,1.214840,1.168556,0.961902,,150,tous,150,non teste,ordinal 3 et plus,attitude
B1 argmax,aged,150,0.096667,1.214840,0.700022,0.576226,,150,tous,150,non teste,ordinal 3 et plus,attitude
B2 argmax,aged,150,0.163333,1.214840,0.215651,0.177514,,150,tous,150,non teste,ordinal 3 et plus,attitude
B3 foret,aged,150,0.176667,1.214840,0.062587,0.051519,,150,tous,150,non teste,ordinal 3 et plus,attitude
humains vague 2,aged,150,0.016667,1.214840,1.222258,1.006107,,150,tous,150,non teste,ordinal 3 et plus,attitude
agents composite,parsol,150,0.045000,2.266826,2.046698,0.902892,-0.021667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents entretien (v3),parsol,150,0.053333,2.266826,2.021270,0.891674,0.016667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents enquete,parsol,150,0.066667,2.266826,1.866917,0.823582,0.030000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents demographiques (v6),parsol,150,0.161667,2.266826,1.510861,0.666510,0.111667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents v7,parsol,149,0.256186,2.266826,1.033229,0.455804,0.206208,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
agents v8,parsol,150,0.300000,2.266826,0.489628,0.215997,0.250000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
C2,parsol,150,0.315000,2.266826,1.517811,0.669576,0.315000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
C3,parsol,150,0.106667,2.266826,2.219094,0.978943,0.106667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B0 mode,parsol,150,0.248333,2.266826,0.000000,0.000000,0.025000,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B0 tirage,parsol,150,0.028333,2.266826,2.232353,0.984793,0.028333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B1 argmax,parsol,150,0.075000,2.266826,2.087682,0.920972,0.071667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B2 argmax,parsol,150,0.085000,2.266826,1.749863,0.771944,-0.008333,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
B3 foret,parsol,150,0.123333,2.266826,1.596040,0.704086,0.056667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
humains vague 2,parsol,150,0.021667,2.266826,2.255058,0.994809,0.021667,150,tous,150,temoin,ordinal 3 et plus,auto evaluation
