condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement
agents enquete,fepresch,149,0.062252,1.758416,1.689315,0.960703,0.062252,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents demographiques (v6),fepresch,150,0.104444,1.758416,1.182194,0.672306,0.037778,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents v7,fepresch,150,0.100000,1.758416,1.263087,0.718309,0.100000,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents v8,fepresch,150,0.064444,1.758416,1.757271,0.999349,0.064444,150,tous,150,investiguer,ordinal 3 et plus,attitude
C2,fepresch,150,0.122222,1.758416,1.596129,0.907708,0.122222,150,tous,150,investiguer,ordinal 3 et plus,attitude
C3,fepresch,150,0.137778,1.758416,0.799849,0.454869,0.137778,150,tous,150,investiguer,ordinal 3 et plus,attitude
B0 mode,fepresch,150,0.204444,1.758416,0.000000,0.000000,0.057778,150,tous,150,investiguer,ordinal 3 et plus,attitude
B0 tirage,fepresch,150,0.020000,1.758416,1.797618,1.022294,0.011111,150,tous,150,investiguer,ordinal 3 et plus,attitude
B1 argmax,fepresch,150,0.113333,1.758416,1.153079,0.655748,0.068889,150,tous,150,investiguer,ordinal 3 et plus,attitude
B2 argmax,fepresch,150,0.133333,1.758416,0.890813,0.506600,0.106667,150,tous,150,investiguer,ordinal 3 et plus,attitude
B3 foret,fepresch,150,0.184444,1.758416,0.367258,0.208857,0.073333,150,tous,150,investiguer,ordinal 3 et plus,attitude
humains vague 2,fepresch,150,0.022222,1.758416,1.753599,0.997260,0.022222,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents composite,fefam,150,0.026667,1.839277,1.717783,0.933945,0.026667,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents entretien (v3),fefam,150,0.057778,1.839277,1.812462,0.985421,0.057778,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents enquete,fefam,149,0.086518,1.839277,1.842749,1.001888,0.035570,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents demographiques (v6),fefam,150,0.037778,1.839277,1.696704,0.922484,0.037778,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents v7,fefam,150,0.137778,1.839277,1.470170,0.799319,0.137778,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents v8,fefam,150,0.062222,1.839277,1.905061,1.035766,-0.004444,150,tous,150,investiguer,ordinal 3 et plus,attitude
C2,fefam,150,0.113333,1.839277,1.660978,0.903060,0.086667,150,tous,150,investiguer,ordinal 3 et plus,attitude
C3,fefam,150,0.175556,1.839277,1.284154,0.698184,0.175556,150,tous,150,investiguer,ordinal 3 et plus,attitude
B0 mode,fefam,150,0.224444,1.839277,0.000000,0.000000,0.033333,150,tous,150,investiguer,ordinal 3 et plus,attitude
B0 tirage,fefam,150,0.008889,1.839277,1.865365,1.014184,-0.008889,150,tous,150,investiguer,ordinal 3 et plus,attitude
B1 argmax,fefam,150,0.057778,1.839277,1.603534,0.871829,0.044444,150,tous,150,investiguer,ordinal 3 et plus,attitude
B2 argmax,fefam,150,0.115556,1.839277,1.505915,0.818754,0.115556,150,tous,150,investiguer,ordinal 3 et plus,attitude
B3 foret,fefam,150,0.120000,1.839277,1.220328,0.663482,0.057778,150,tous,150,investiguer,ordinal 3 et plus,attitude
humains vague 2,fefam,150,0.024444,1.839277,1.827903,0.993816,-0.011111,150,tous,150,investiguer,ordinal 3 et plus,attitude
agents composite,fepol,150,0.020000,0.776964,0.739872,0.952260,0.020000,150,tous,150,non teste,binaire,attitude
agents entretien (v3),fepol,150,0.133333,0.776964,0.452308,0.582148,0.133333,150,tous,150,non teste,binaire,attitude
agents enquete,fepol,150,0.020000,0.776964,0.739872,0.952260,0.020000,150,tous,150,non teste,binaire,attitude
agents demographiques (v6),fepol,150,0.213333,0.776964,0.106967,0.137673,0.213333,150,tous,150,non teste,binaire,attitude
agents v7,fepol,150,0.200000,0.776964,0.182198,0.234500,0.200000,150,tous,150,non teste,binaire,attitude
agents v8,fepol,150,0.100000,0.776964,0.553034,0.711788,0.100000,150,tous,150,non teste,binaire,attitude
C2,fepol,150,0.060000,0.776964,0.654831,0.842808,0.060000,150,tous,150,non teste,binaire,attitude
C3,fepol,150,0.053333,0.776964,0.860260,1.107207,-0.053333,150,tous,150,non teste,binaire,attitude
B0 mode,fepol,150,0.226667,0.776964,0.000000,0.000000,0.226667,150,tous,150,non teste,binaire,attitude
B0 tirage,fepol,150,0.013333,0.776964,0.752615,0.968661,0.013333,150,tous,150,non teste,binaire,attitude
B1 argmax,fepol,150,0.080000,0.776964,0.606244,0.780273,0.080000,150,tous,150,non teste,binaire,attitude
B2 argmax,fepol,150,0.186667,0.776964,0.247101,0.318034,0.186667,150,tous,150,non teste,binaire,attitude
B3 foret,fepol,150,0.173333,0.776964,0.305200,0.392811,0.173333,150,tous,150,non teste,binaire,attitude
humains vague 2,fepol,150,0.086667,0.776964,0.901793,1.160662,-0.086667,150,tous,150,non teste,binaire,attitude
agents composite,mobile16,150,0.080000,1.576792,1.589763,1.008227,,150,tous,150,non teste,ordinal 3 et plus,comportement
agents entretien (v3),mobile16,150,0.080000,1.576792,1.562007,0.990624,,150,tous,150,non teste,ordinal 3 et plus,comportement
agents enquete,mobile16,149,0.345213,1.576792,1.223142,0.775716,,150,tous,150,non teste,ordinal 3 et plus,comportement
agents demographiques (v6),mobile16,149,0.462662,1.576792,0.777230,0.492919,,150,tous,150,non teste,ordinal 3 et plus,comportement
agents v7,mobile16,150,0.190000,1.576792,1.513451,0.959830,,150,tous,150,non teste,ordinal 3 et plus,comportement
agents v8,mobile16,150,0.380000,1.576792,1.112835,0.705759,,150,tous,150,non teste,ordinal 3 et plus,comportement
C2,mobile16,150,0.043333,1.576792,1.570053,0.995726,,150,tous,150,non teste,ordinal 3 et plus,comportement
C3,mobile16,150,0.040000,1.576792,1.541481,0.977606,,150,tous,150,non teste,ordinal 3 et plus,comportement
B0 mode,mobile16,150,0.436667,1.576792,0.000000,0.000000,,150,tous,150,non teste,ordinal 3 et plus,comportement
B0 tirage,mobile16,150,0.060000,1.576792,1.593222,1.010420,,150,tous,150,non teste,ordinal 3 et plus,comportement
B1 argmax,mobile16,150,0.040000,1.576792,1.553279,0.985088,,150,tous,150,non teste,ordinal 3 et plus,comportement
