modele_description,cle_modele,identite,condition_incarnation,modele_incarnation,n_items,facteur_description_r1,facteur_incarnation_a38,rapport_incarnation_sur_description,ic_bas,ic_haut,p_difference_appariee
gpt-oss-20b,oss20,adversaire,C2,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,0.36384699313638597,1.6166730262447224,4.443277137757524,-16.077792211994225,34.68922446874384,0.000599970001499925
gpt-oss-20b,oss20,adversaire,C3,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,0.36384699313638597,0.5230265167205093,1.4374902818681692,-2.642926321616919,9.403088330226332,0.43862806859657016
gpt-oss-20b,oss20,journaliste,C2,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,0.3661598378568918,1.6166730262447224,4.415211224985781,-12.956677439755696,34.08780289859396,0.0007499625018749063
gpt-oss-20b,oss20,journaliste,C3,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,0.3661598378568918,0.5230265167205093,1.4284103897951979,0.5588369467644488,8.44378684254328,0.40307984600769964
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,C2,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,1.517834779999196,1.6166730262447224,1.065117921626212,0.7725762142267029,1.3803688146992783,0.6503674816259187
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,C3,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,1.517834779999196,0.5230265167205093,0.3445872525867317,0.22700166878014405,0.48416713995994987,4.999750012499375e-05
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,C2,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,1.3191735913747122,1.6166730262447224,1.225519550129855,0.8853407034864487,1.6095510451039392,0.18499075046247687
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,C3,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,1.3191735913747122,0.5230265167205093,0.396480433007655,0.25908426840071996,0.5623340984984291,4.999750012499375e-05
Qwen3-4B-Instruct-2507,q4,adversaire,C2,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,0.1153987786862809,1.6166730262447224,14.009446587296676,-143.92590185388528,133.33685120760393,4.999750012499375e-05
Qwen3-4B-Instruct-2507,q4,adversaire,C3,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,0.1153987786862809,0.5230265167205093,4.532340139772111,-40.725569861815075,52.331887664597964,0.040547972601369935
Qwen3-4B-Instruct-2507,q4,journaliste,C2,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,0.1789411441654356,1.6166730262447224,9.034663513440304,-78.80595841559578,89.75556025184197,0.00024998750062496874
Qwen3-4B-Instruct-2507,q4,journaliste,C3,"Qwen3-4B-Instruct-2507 (a38, 150 personnes)",29,0.1789411441654356,0.5230265167205093,2.922896906465279,-25.83153466183013,26.217408461607942,0.09934503274836258
