jeu,condition,segmentation,n,exactitude_vraie,chute_relative,part_du_plancher_humain
GSS,humains vague 2,S_gra,38,0.795002169086687,0.3485925049151386,1.0
GSS,agents composite,S_gra,38,0.683932171383367,0.2424375728743995,0.6954755752233357
GSS,agents entretien (v3),S_gra,38,0.6564932247939368,0.2136527248697816,0.6129010861027929
GSS,agents enquete,S_gra,38,0.6509875724092173,0.2155898609382503,0.6184581076714014
GSS,agents demographiques (v6),S_gra,38,0.581787327430015,0.0822287650503322,0.2358879318714841
GSS,agents v7,S_gra,38,0.5640135759307934,0.0521262216089041,0.1495333975169481
GSS,agents v8,S_gra,38,0.559145890218695,0.0929456329511097,0.2666311858131787
GSS,C2,S_gra,34,0.5263087248322148,0.0515110941086458,0.1854523512040039
GSS,C3,S_gra,34,0.5817002237136465,0.1271290669948464,0.4576952749409456
GSS,B1 argmax,S_gra,38,0.6208564064613266,0.0795246511436733,0.2281306970814902
GSS,B2 argmax,S_gra,38,0.6717087299359481,0.147976379298882,0.4244967324667676
GSS,PMM k=10,S_gra,38,0.6684040625717712,0.2178717870403068,0.6250042211703478
GSS,B0 mode,S_gra,38,0.5933855615382653,-0.0017538059605212,-0.0050311063370344
GSS,B0 tirage,S_gra,38,0.4918276469237247,-0.0026793612909083,-0.0076862274808824
GSS,B3 foret,S_gra,38,0.633979380917141,0.0652382389937108,0.1871475664962802
GSS,humains vague 1 (150),S_gra,34,1.0,0.3757089485458613,1.352642747778858
GSS,humains vague 2 (150),S_gra,34,0.7914988814317674,0.2777591859807801,1.0
Twin,humains vagues 1-3 (retest),S_gra,40,0.7118506756444075,0.4563417257812408,1.0001737530262738
Twin,Demographics Only - GPT4.1-mini,S_gra,40,0.49958755611087974,0.25370269334577666,0.5560455260191556
Twin,JSON Persona (Predicted Output) - GPT4.1,S_gra,40,0.5646367595818815,0.32262173526914645,0.706699255543355
Twin,JSON Persona (Predicted Output) - GPT4.1-mini,S_gra,40,0.4624762830302189,0.2887629613554608,0.6328878524080486
Twin,JSON Persona - GPT4.1,S_gra,40,0.5738199361377204,0.3228907889722917,0.7076865295873568
Twin,JSON Persona - GPT4.1-mini,S_gra,39,0.5438595238095238,0.3013273297989239,0.6754925865815253
Twin,LLM Finetuning (500 training samples) - GPT4.1-mini,S_gra,40,0.4619284491717097,0.1906185456590601,0.4195704928233682
Twin,Persona Summary - GPT4.1-mini,S_gra,40,0.5209010134666111,0.28269443815158823,0.6195873425373954
Twin,Persona Summary - JSON Persona - GPT4.1-mini,S_gra,40,0.4741727983710491,0.24326724203134764,0.533173928012624
Twin,Text Persona (Default Temperature) - GPT4.1-mini,S_gra,40,0.5477558540422972,0.2799317468858131,0.6135322940164373
Twin,Text Persona (Reasoning) - GPT4.1-mini,S_gra,40,0.5435061779813966,0.29904546760752243,0.6554242375063742
Twin,Text Persona (Repeating Questions) - GPT4.1-mini,S_gra,40,0.5488601392938127,0.2904300237504156,0.6365415881019224
Twin,Text Persona - GPT4.1-mini,S_gra,40,0.5529706950807534,0.2844740862708258,0.6234878347298128
Twin,Text Persona - Gemini-Flash2.5,S_gra,40,0.550473182470267,0.31830851322069664,0.6976434594998515
Twin,B0 mode,S_gra,40,0.5215569901429961,-0.00048063443157120317,-0.0010534165869562947
Twin,B0 tirage,S_gra,40,0.44304485399602017,-0.0006381442498080337,-0.0013986341665557034
Twin,B1 argmax,S_gra,40,0.5183115252903883,0.04628382544721597,0.10144123315198697
Twin,B2 argmax,S_gra,40,0.530454035355639,0.053109097372810436,0.11640032510344073
Twin,PMM k=10,S_gra,40,0.4909913114905826,0.06219602338161592,0.13631633185066475
