jeu,predicteur,item,mi_bits,entropie_humaine_bits
Twin-2K-500,B0 mode,0,0.0,2.1518314761987885
Twin-2K-500,B0 mode,1,0.0,2.097367995708299
Twin-2K-500,B0 mode,2,0.0,2.1057217557884034
Twin-2K-500,B0 mode,3,0.0,1.937651438082106
Twin-2K-500,B0 mode,4,0.0,1.8450157745948101
Twin-2K-500,B0 mode,5,0.0,2.1045925291929604
Twin-2K-500,B0 mode,6,0.0,1.7751756886277978
Twin-2K-500,B0 mode,7,0.0,1.8534320012884278
Twin-2K-500,B0 mode,8,0.0,2.3067827312080036
Twin-2K-500,B0 mode,9,0.0,2.1736894773083106
Twin-2K-500,B0 mode,10,0.0,1.7612482095388404
Twin-2K-500,B0 mode,11,0.0,2.311043966301265
Twin-2K-500,B0 mode,12,0.0,2.687569676063709
Twin-2K-500,B0 mode,13,0.0,2.6280972149013593
Twin-2K-500,B0 mode,14,0.0,2.340997551695686
Twin-2K-500,B0 mode,15,0.0,2.1199317725722557
Twin-2K-500,B0 mode,16,0.0,2.1407993382056354
Twin-2K-500,B0 mode,17,0.0,2.1048157193171066
Twin-2K-500,B0 mode,18,0.0,1.9142331273210715
Twin-2K-500,B0 mode,19,0.0,0.9573425734686967
Twin-2K-500,B0 mode,20,0.0,0.9911639398132197
Twin-2K-500,B0 mode,21,0.0,0.9908437246328534
Twin-2K-500,B0 mode,22,0.0,0.994947489007991
Twin-2K-500,B0 mode,23,0.0,0.9953060173280208
Twin-2K-500,B0 mode,24,0.0,0.9944502310277452
Twin-2K-500,B0 mode,25,0.0,0.9929693891278855
Twin-2K-500,B0 mode,26,0.0,0.9939309930845985
Twin-2K-500,B0 mode,27,0.0,0.9884474381266917
Twin-2K-500,B0 mode,28,0.0,0.9855786450334957
Twin-2K-500,B0 mode,29,0.0,0.9935271307269335
Twin-2K-500,B0 mode,30,0.0,0.9906815461789256
Twin-2K-500,B0 mode,31,0.0,0.9891597569207325
Twin-2K-500,B0 mode,32,0.0,0.9884474381266917
Twin-2K-500,B0 mode,33,0.0,0.9839207393294618
Twin-2K-500,B0 mode,34,0.0,0.992389622117408
Twin-2K-500,B0 mode,35,0.0,0.9928265129423262
Twin-2K-500,B0 mode,36,0.0,0.9916339128800118
Twin-2K-500,B0 mode,37,0.0,0.9951878802971897
Twin-2K-500,B0 mode,38,0.0,0.9931108887286502
Twin-2K-500,B0 mode,39,0.0,0.9845528988319523
Twin-2K-500,B0 mode,40,0.0,0.9947016065454062
Twin-2K-500,B0 mode,41,0.0,0.993389759260429
Twin-2K-500,B0 mode,42,0.0,0.9793851225722311
Twin-2K-500,B0 mode,43,0.0,0.9928265129423262
Twin-2K-500,B0 mode,44,0.0,0.9906815461789256
Twin-2K-500,B0 mode,45,0.0,0.9908437246328534
Twin-2K-500,B0 mode,46,0.0,0.9873373931349485
Twin-2K-500,B0 mode,47,0.0,0.9851725220671761
Twin-2K-500,B0 mode,48,0.0,0.9898499326590742
Twin-2K-500,B0 mode,49,0.0,0.9922412368194928
Twin-2K-500,B0 mode,50,0.0,0.9867636445765502
Twin-2K-500,B0 mode,51,0.0,0.992536629715774
Twin-2K-500,B0 mode,52,0.0,0.984760832284804
Twin-2K-500,B0 mode,53,0.0,0.9855786450334957
Twin-2K-500,B0 mode,54,0.0,0.9898499326590742
Twin-2K-500,B0 mode,55,0.0,0.9845528988319523
Twin-2K-500,B0 mode,56,0.0,0.9906815461789256
Twin-2K-500,B0 mode,57,0.0,0.9891597569207325
Twin-2K-500,B0 mode,58,0.0,0.9810362409029043
Twin-2K-500,B0 mode,59,0.0,0.992389622117408
Twin-2K-500,B0 tirage,0,0.0018830852473836557,2.1518314761987885
Twin-2K-500,B0 tirage,1,-0.0027429423082168313,2.097367995708299
Twin-2K-500,B0 tirage,2,0.0069230564146671525,2.1057217557884034
Twin-2K-500,B0 tirage,3,-0.002243977578681131,1.937651438082106
Twin-2K-500,B0 tirage,4,-0.0002831478101788165,1.8450157745948101
Twin-2K-500,B0 tirage,5,0.0024304832064663074,2.1045925291929604
Twin-2K-500,B0 tirage,6,0.0034999905928145636,1.7751756886277978
Twin-2K-500,B0 tirage,7,0.0005568797093742162,1.8534320012884278
Twin-2K-500,B0 tirage,8,0.004320112431686043,2.3067827312080036
Twin-2K-500,B0 tirage,9,-0.00023498998211659346,2.1736894773083106
Twin-2K-500,B0 tirage,10,0.009893717539134234,1.7612482095388404
Twin-2K-500,B0 tirage,11,-0.003145877899747117,2.311043966301265
Twin-2K-500,B0 tirage,12,0.0017769526834942716,2.687569676063709
Twin-2K-500,B0 tirage,13,-0.002627205309058177,2.6280972149013593
Twin-2K-500,B0 tirage,14,0.0018610753595371277,2.340997551695686
Twin-2K-500,B0 tirage,15,0.0007195828574188719,2.1199317725722557
Twin-2K-500,B0 tirage,16,0.002209363569278774,2.1407993382056354
Twin-2K-500,B0 tirage,17,0.000815342622934671,2.1048157193171066
Twin-2K-500,B0 tirage,18,0.0019559701310072233,1.9142331273210715
Twin-2K-500,B0 tirage,19,0.00019384682877365708,0.9573425734686967
Twin-2K-500,B0 tirage,20,-0.00017335190692424743,0.9911639398132197
Twin-2K-500,B0 tirage,21,0.0016018606124297272,0.9908437246328534
Twin-2K-500,B0 tirage,22,0.00037240945325755934,0.994947489007991
Twin-2K-500,B0 tirage,23,-0.00022317203635946595,0.9953060173280208
Twin-2K-500,B0 tirage,24,-0.00020123043282671685,0.9944502310277452
Twin-2K-500,B0 tirage,25,3.6305811215607694e-05,0.9929693891278855
Twin-2K-500,B0 tirage,26,-0.00017157097643716437,0.9939309930845985
Twin-2K-500,B0 tirage,27,0.0006503673823177168,0.9884474381266917
Twin-2K-500,B0 tirage,28,-0.00025265189818157854,0.9855786450334957
Twin-2K-500,B0 tirage,29,0.0004208647889765148,0.9935271307269335
Twin-2K-500,B0 tirage,30,-9.15607736091685e-05,0.9906815461789256
Twin-2K-500,B0 tirage,31,-0.00032259520279098855,0.9891597569207325
