condition,axe_transport,mesure_de_calibration,bloc,lambda_retenu,inter_calibration_avant,inter_calibration_apres
agents demographiques (v8),profil croise,entropie,4,0.3,7.0209,0.9467
agents composite,political_ideology,variance_ordinale,0,0.7,2.2917,1.1217
agents composite,political_ideology,variance_ordinale,1,0.6,2.4348,0.8756
agents composite,political_ideology,variance_ordinale,2,0.7,2.3604,1.1529
agents composite,political_ideology,variance_ordinale,3,0.6,2.5337,0.9099
agents composite,political_ideology,variance_ordinale,4,0.7,2.1756,1.0645
agents composite,profil croise,variance_ordinale,0,0.7,2.1425,1.1119
agents composite,profil croise,variance_ordinale,1,0.6,2.3189,0.9081
agents composite,profil croise,variance_ordinale,2,0.6,2.2248,0.8781
agents composite,profil croise,variance_ordinale,3,0.6,2.3574,0.9330
agents composite,profil croise,variance_ordinale,4,0.7,1.9990,1.0346
agents enquete,political_ideology,variance_ordinale,0,0.6,2.4878,0.8978
agents enquete,political_ideology,variance_ordinale,1,0.6,2.8193,1.0180
agents enquete,political_ideology,variance_ordinale,2,0.6,2.6826,0.9708
agents enquete,political_ideology,variance_ordinale,3,0.6,2.8547,1.0326
agents enquete,political_ideology,variance_ordinale,4,0.6,2.5211,0.9122
agents enquete,profil croise,variance_ordinale,0,0.6,2.1972,0.8709
agents enquete,profil croise,variance_ordinale,1,0.6,2.5367,0.9956
agents enquete,profil croise,variance_ordinale,2,0.6,2.3646,0.9461
agents enquete,profil croise,variance_ordinale,3,0.6,2.5223,0.9958
agents enquete,profil croise,variance_ordinale,4,0.7,2.1829,1.1271
agents entretien (v3),political_ideology,variance_ordinale,0,0.6,3.2060,1.1571
agents entretien (v3),political_ideology,variance_ordinale,1,0.5,3.2827,0.8193
agents entretien (v3),political_ideology,variance_ordinale,2,0.6,3.1569,1.1379
agents entretien (v3),political_ideology,variance_ordinale,3,0.5,3.5225,0.8791
agents entretien (v3),political_ideology,variance_ordinale,4,0.6,2.9086,1.0481
agents entretien (v3),profil croise,variance_ordinale,0,0.5,3.0596,0.8669
agents entretien (v3),profil croise,variance_ordinale,1,0.5,3.1874,0.8854
agents entretien (v3),profil croise,variance_ordinale,2,0.5,3.0363,0.8603
agents entretien (v3),profil croise,variance_ordinale,3,0.5,3.3787,0.9549
agents entretien (v3),profil croise,variance_ordinale,4,0.6,2.7266,1.0636
agents demographiques (v8),political_ideology,variance_ordinale,0,0.4,7.2641,1.1593
agents demographiques (v8),political_ideology,variance_ordinale,1,0.4,7.8517,1.2534
agents demographiques (v8),political_ideology,variance_ordinale,2,0.4,7.9820,1.2736
agents demographiques (v8),political_ideology,variance_ordinale,3,0.3,8.1247,0.7313
agents demographiques (v8),political_ideology,variance_ordinale,4,0.4,7.3610,1.1745
agents demographiques (v8),profil croise,variance_ordinale,0,0.3,6.3874,0.9535
agents demographiques (v8),profil croise,variance_ordinale,1,0.3,7.1126,1.0441
agents demographiques (v8),profil croise,variance_ordinale,2,0.3,6.9737,1.0414
agents demographiques (v8),profil croise,variance_ordinale,3,0.3,7.2642,1.0759
agents demographiques (v8),profil croise,variance_ordinale,4,0.3,6.3317,0.9418
