configuration,categorie,n_paires,r_absolu_humain,r_absolu_agent,exces_moyen
gemini_flash25_texte,inter_echelle,2062,0.0423,0.0596,0.0173
gemini_flash25_texte,inter_echelle_meme_objet,14,0.4099,0.541,0.1312
gemini_flash25_texte,intra_echelle,911,0.1291,0.1203,-0.0088
gpt41_json,inter_echelle,1382,0.0443,0.0909,0.0466
gpt41_json,inter_echelle_meme_objet,14,0.4099,0.5775,0.1676
gpt41_json,intra_echelle,882,0.1277,0.116,-0.0116
gpt41_json_predout,inter_echelle,1382,0.0443,0.0854,0.041
gpt41_json_predout,inter_echelle_meme_objet,14,0.4099,0.646,0.2361
gpt41_json_predout,intra_echelle,882,0.1277,0.1276,-0.0
gpt41mini_defaut,inter_echelle,1382,0.0443,0.0906,0.0462
gpt41mini_defaut,inter_echelle_meme_objet,14,0.4099,0.571,0.1612
gpt41mini_defaut,intra_echelle,882,0.1277,0.1047,-0.023
gpt41mini_demo_seules,inter_echelle,1586,0.0433,0.0703,0.027
gpt41mini_demo_seules,inter_echelle_meme_objet,14,0.4099,0.6107,0.2009
gpt41mini_demo_seules,intra_echelle,885,0.1276,0.1727,0.045
gpt41mini_finetune500,inter_echelle,1382,0.0443,0.3624,0.3181
gpt41mini_finetune500,inter_echelle_meme_objet,14,0.4099,0.8481,0.4382
gpt41mini_finetune500,intra_echelle,882,0.1277,0.8781,0.7504
gpt41mini_json,inter_echelle,1382,0.0443,0.106,0.0616
gpt41mini_json,inter_echelle_meme_objet,14,0.4099,0.5898,0.1799
gpt41mini_json,intra_echelle,882,0.1277,0.1477,0.0201
gpt41mini_json_predout,inter_echelle,1382,0.0443,0.0814,0.0371
gpt41mini_json_predout,inter_echelle_meme_objet,14,0.4099,0.6972,0.2874
gpt41mini_json_predout,intra_echelle,882,0.1277,0.0991,-0.0286
gpt41mini_resume,inter_echelle,1382,0.0443,0.0909,0.0465
gpt41mini_resume,inter_echelle_meme_objet,14,0.4099,0.6411,0.2312
gpt41mini_resume,intra_echelle,882,0.1277,0.1876,0.0599
gpt41mini_resume_json,inter_echelle,1382,0.0443,0.0756,0.0312
gpt41mini_resume_json,inter_echelle_meme_objet,14,0.4099,0.5736,0.1637
gpt41mini_resume_json,intra_echelle,882,0.1277,0.3008,0.1732
gpt41mini_texte_raisonnement,inter_echelle,1382,0.0443,0.0774,0.033
gpt41mini_texte_raisonnement,inter_echelle_meme_objet,14,0.4099,0.5864,0.1766
gpt41mini_texte_raisonnement,intra_echelle,882,0.1277,0.1311,0.0035
gpt41mini_texte_repetition,inter_echelle,1382,0.0443,0.0939,0.0496
gpt41mini_texte_repetition,inter_echelle_meme_objet,14,0.4099,0.6391,0.2293
gpt41mini_texte_repetition,intra_echelle,882,0.1277,0.1106,-0.017
gpt41mini_texte_temp_defaut,inter_echelle,1382,0.0443,0.0816,0.0373
gpt41mini_texte_temp_defaut,inter_echelle_meme_objet,14,0.4099,0.5605,0.1506
gpt41mini_texte_temp_defaut,intra_echelle,882,0.1277,0.102,-0.0257
