global_A,global_B,global_C,camp_A,camp_B,camp_C,polarisation,marginale1,marginale2,marginale3,source,camp,taux,tirage,mode
-0.07626377843634735,0.044937665071157554,0.029185313281213255,-0.05959183673469404,0.04446007149770518,0.031933625741637245,0.47970702143427135,33.365019011406844,52.37642585551331,38.11787072243346,agents v8,droite,0.02,0,concentre
-0.07747928375654556,0.04536713372348271,0.02937958779073343,-0.06628193635141189,0.04591074796038722,0.03254923015324136,0.474858468539734,33.365019011406844,52.37642585551331,38.11787072243346,agents v8,droite,0.02,1,concentre
-0.08008751337453501,0.04553439310233533,0.02928086775947585,-0.06563804224105219,0.0467222628321248,0.032240745459178106,0.47736383737587623,33.55513307984791,52.566539923954366,38.11787072243346,agents v8,droite,0.02,2,concentre
-0.07941725574047787,0.045538625407671326,0.028286072531562068,-0.06468976178764674,0.04626218786120465,0.029089954986107575,0.4796202706590319,33.365019011406844,52.28136882129277,38.11787072243346,agents v8,droite,0.02,3,concentre
-0.07784176184444425,0.04543862306041073,0.028384971039712315,-0.06429202980927107,0.04643306739778274,0.02939840934735922,0.4778269419165296,33.460076045627375,52.37642585551331,38.11787072243346,agents v8,droite,0.02,4,concentre
-0.07760121376666929,0.0451326339900469,0.028279467680608367,-0.06125548430644623,0.04478562139010903,0.029066265060240966,0.4768573053568789,33.365019011406844,52.28136882129277,38.30798479087453,agents v8,droite,0.02,5,concentre
-0.07761127264594048,0.04509270902397569,0.028097764938696805,-0.060947445502168685,0.045149768324974235,0.028487515014741747,0.48211654165280465,33.26996197718631,52.47148288973384,38.02281368821293,agents v8,droite,0.02,6,concentre
-0.08119572017857324,0.04536441622998663,0.028377961600937723,-0.06253941117946282,0.046473699615822185,0.029380664652567973,0.4763323036418786,33.460076045627375,52.47148288973384,38.02281368821293,agents v8,droite,0.02,7,concentre
-0.07487634316902592,0.045539969749725975,0.029140181539942044,-0.05869141036259251,0.046336401624969645,0.031790303206784845,0.4808216645983433,33.365019011406844,52.28136882129277,37.547528517110266,agents v8,droite,0.02,8,concentre
-0.07581921265895764,0.04492548417787037,0.028151632055759213,-0.058946123299631226,0.045045059721835805,0.028655018315503156,0.47528190649434376,33.365019011406844,52.566539923954366,37.73764258555133,agents v8,droite,0.02,9,concentre
-0.09807176605797485,0.05167361388227991,0.03599269933034987,-0.11194188368239943,0.0691938704302934,0.05352163942780184,0.5160869607404482,33.174904942965775,52.09125475285171,37.452471482889734,agents v8,droite,0.05,0,concentre
-0.0908023399803578,0.05109103926080649,0.03490987175332702,-0.10429936305732479,0.06832927442190828,0.05009895114652513,0.5208390369463501,32.98479087452472,51.99619771863118,36.69201520912547,agents v8,droite,0.05,1,concentre
