modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
gpt-oss-20b,oss20,gauche,finalter,0.0,0.0455635491606714
gpt-oss-20b,oss20,gauche,finrela,0.03,0.047961630695443735
gpt-oss-20b,oss20,gauche,racdif1,0.08000000000000003,0.02398081534772184
gpt-oss-20b,oss20,gauche,racdif2,0.06999999999999998,0.0
gpt-oss-20b,oss20,gauche,racdif3,0.19999999999999996,0.0047961630695443624
gpt-oss-20b,oss20,gauche,racdif4,0.06999999999999998,0.01918465227817743
gpt-oss-20b,oss20,gauche,wlthwhts,0.0,0.04796163069544367
gpt-oss-20b,oss20,gauche,wlthblks,0.1,0.043165467625899304
gpt-oss-20b,oss20,gauche,wlthhsps,0.0,0.019184652278177443
gpt-oss-20b,oss20,gauche,racwork,0.07,0.043165467625899276
gpt-oss-20b,oss20,gauche,letin1a,0.19999999999999996,0.05035971223021584
gpt-oss-20b,oss20,gauche,getahead,0.0,0.019184652278177478
gpt-oss-20b,oss20,gauche,aged,0.0,0.011990407673860875
gpt-oss-20b,oss20,gauche,parsol,0.15,0.028776978417266237
gpt-oss-20b,oss20,gauche,kidssol,0.04,0.03357314148681051
gpt-oss-20b,oss20,gauche,spanking,0.25,0.02398081534772186
gpt-oss-20b,oss20,gauche,divlaw,0.15000000000000002,0.026378896882493987
gpt-oss-20b,oss20,gauche,sexeduc,0.030000000000000013,0.007194244604316495
gpt-oss-20b,oss20,gauche,pillok,0.0,0.026378896882494018
gpt-oss-20b,oss20,gauche,xmarsex,0.0,0.050359712230215806
gpt-oss-20b,oss20,gauche,homosex,0.15000000000000002,0.007194244604316585
gpt-oss-20b,oss20,gauche,marhomo,0.0,0.023980815347721875
gpt-oss-20b,oss20,gauche,discaff,0.30000000000000004,0.007194244604316502
gpt-oss-20b,oss20,gauche,abdefect,0.030000000000000013,0.0071942446043164465
gpt-oss-20b,oss20,gauche,abnomore,0.04999999999999997,0.004796163069544376
gpt-oss-20b,oss20,gauche,abhlth,0.0,0.0023980815347722367
gpt-oss-20b,oss20,gauche,abpoor,0.07000000000000003,0.01199040767386092
gpt-oss-20b,oss20,gauche,abrape,0.0,0.00479616306954431
gpt-oss-20b,oss20,gauche,absingle,0.05000000000000002,0.002398081534772195
gpt-oss-20b,oss20,gauche,abany,0.0,0.02398081534772184
gpt-oss-20b,oss20,gauche,letdie1,0.20000000000000004,0.007194244604316544
gpt-oss-20b,oss20,gauche,suicide1,0.0,0.007194244604316544
gpt-oss-20b,oss20,gauche,suicide2,0.04999999999999996,0.04796163069544365
gpt-oss-20b,oss20,gauche,suicide3,0.19999999999999996,0.05515587529976018
gpt-oss-20b,oss20,gauche,suicide4,0.0,0.05035971223021582
gpt-oss-20b,oss20,gauche,pornlaw,0.15000000000000002,0.04316546762589932
gpt-oss-20b,oss20,gauche,fair,0.19999999999999996,0.014388489208633101
gpt-oss-20b,oss20,gauche,helpful,0.0,0.023980815347721895
gpt-oss-20b,oss20,gauche,trust,0.0,0.05035971223021583
gpt-oss-20b,oss20,gauche,tax,0.30000000000000004,0.021582733812949676
gpt-oss-20b,oss20,gauche,vote16,0.0,0.02637889688249402
gpt-oss-20b,oss20,gauche,pres16,0.09999999999999999,0.019184652278177425
gpt-oss-20b,oss20,gauche,if16who,0.95,0.007194244604316551
gpt-oss-20b,oss20,gauche,news,0.08000000000000002,0.028776978417266244
gpt-oss-20b,oss20,gauche,jew,0.0,0.021582733812949624
gpt-oss-20b,oss20,gauche,relig16*,0.05000000000000001,0.033573141486810475
gpt-oss-20b,oss20,gauche,jew16*,0.0,0.023980815347721826
gpt-oss-20b,oss20,gauche,attend,0.07,0.04796163069544366
gpt-oss-20b,oss20,gauche,pray,0.0,0.045563549160671374
gpt-oss-20b,oss20,gauche,postlife,0.20000000000000004,0.014388489208633143
gpt-oss-20b,oss20,gauche,bible,0.0,0.009592326139088683
gpt-oss-20b,oss20,gauche,reborn,0.06999999999999995,0.004796163069544404
gpt-oss-20b,oss20,gauche,savesoul,0.0,0.0383693045563549
gpt-oss-20b,oss20,gauche,granborn,0.14999999999999997,0.028776978417266286
gpt-oss-20b,oss20,gauche,uscitzn*,0.04000000000000002,0.002398081534772295
gpt-oss-20b,oss20,gauche,fucitzn,0.75,0.007194244604316462
gpt-oss-20b,oss20,gauche,mnthsusa,0.0,0.011990407673860979
gpt-oss-20b,oss20,gauche,income,0.35,0.06235011990407677
gpt-oss-20b,oss20,gauche,othlang,0.43000000000000005,0.0
gpt-oss-20b,oss20,gauche,health,0.13000000000000003,0.047961630695443555
gpt-oss-20b,oss20,gauche,compuse*,0.0,0.004796163069544366
gpt-oss-20b,oss20,gauche,webmob,0.029999999999999957,0.007194244604316502
gpt-oss-20b,oss20,gauche,xmovie,0.22999999999999998,0.009592326139088753
gpt-oss-20b,oss20,gauche,usewww*,0.029999999999999957,0.004796163069544373
gpt-oss-20b,oss20,gauche,life,0.17,0.021582733812949603
gpt-oss-20b,oss20,gauche,richwork,0.0,0.05515587529976021
gpt-oss-20b,oss20,centre,natspac/y,0.0,0.04620462046204621
gpt-oss-20b,oss20,centre,natenvir/y,0.0,0.033003300330032986
gpt-oss-20b,oss20,centre,natheal/y,0.0,0.06600660066006604
gpt-oss-20b,oss20,centre,natcity/y,0.04999999999999999,0.05280528052805285
gpt-oss-20b,oss20,centre,natdrug/y,0.0,0.0033003300330033195
gpt-oss-20b,oss20,centre,nateduc/y,0.09999999999999998,0.013201320132013167
gpt-oss-20b,oss20,centre,natrace/y,0.04999999999999999,0.019801980198019806
gpt-oss-20b,oss20,centre,natarms/y,0.2,0.006600660066006611
gpt-oss-20b,oss20,centre,nataid/y,0.04999999999999999,0.01650165016501648
gpt-oss-20b,oss20,centre,natfare/y,0.0,0.00990099009900991
gpt-oss-20b,oss20,centre,natroad,0.0,0.046204620462046195
gpt-oss-20b,oss20,centre,natsoc,0.0,0.03630363036303631
gpt-oss-20b,oss20,centre,natmass,0.0,0.046204620462046195
gpt-oss-20b,oss20,centre,natpark,0.10000000000000002,0.05940594059405936
gpt-oss-20b,oss20,centre,natchld,0.0,0.0363036303630363
gpt-oss-20b,oss20,centre,natsci,0.10000000000000002,0.03630363036303631
gpt-oss-20b,oss20,centre,natenrgy,0.0,0.029702970297029722
gpt-oss-20b,oss20,centre,uswary,0.0,0.02640264026402639
gpt-oss-20b,oss20,centre,prayer,0.0,0.01980198019801982
gpt-oss-20b,oss20,centre,courts,0.04999999999999999,0.016501650165016507
gpt-oss-20b,oss20,centre,discaffw,0.0,0.03300330033003298
gpt-oss-20b,oss20,centre,discaffm,0.0,0.036303630363036306
gpt-oss-20b,oss20,centre,fehire,0.09999999999999998,0.013201320132013188
gpt-oss-20b,oss20,centre,fechld,0.030000000000000013,0.0396039603960396
gpt-oss-20b,oss20,centre,fepresch,0.20000000000000004,0.0627062706270627
gpt-oss-20b,oss20,centre,fefam,0.0,0.033003300330032986
gpt-oss-20b,oss20,centre,fepol,0.0,0.05280528052805278
gpt-oss-20b,oss20,centre,mobile16,0.0,0.016501650165016507
gpt-oss-20b,oss20,centre,incom16,0.10000000000000003,0.029702970297029736
gpt-oss-20b,oss20,centre,dwelown16,0.0,0.013201320132013201
gpt-oss-20b,oss20,centre,divorced,0.0,0.003300330033003257
gpt-oss-20b,oss20,centre,posslq/y,0.15000000000000002,0.0231023102310231
gpt-oss-20b,oss20,centre,wrkstat,0.1,0.04620462046204621
gpt-oss-20b,oss20,centre,evwork,0.0,0.00660066006600659
gpt-oss-20b,oss20,centre,wrkgovt1,0.0,0.0
gpt-oss-20b,oss20,centre,wrkgovt2,0.06999999999999998,0.009900990099009882
gpt-oss-20b,oss20,centre,partfull,0.0,0.029702970297029715
gpt-oss-20b,oss20,centre,wksub1,0.25,0.04620462046204621
gpt-oss-20b,oss20,centre,wksup1,0.0,0.009900990099009868
gpt-oss-20b,oss20,centre,conarmy,0.10000000000000002,0.04290429042904289
gpt-oss-20b,oss20,centre,conbus,0.0,0.029702970297029695
gpt-oss-20b,oss20,centre,conclerg,0.0,0.08250825082508254
gpt-oss-20b,oss20,centre,coneduc,0.0,0.009900990099009896
gpt-oss-20b,oss20,centre,confed,0.0,0.026402640264026396
gpt-oss-20b,oss20,centre,confinan,0.0,0.009900990099009882
gpt-oss-20b,oss20,centre,conjudge,0.0,0.019801980198019764
gpt-oss-20b,oss20,centre,conlabor,0.0,0.026402640264026403
gpt-oss-20b,oss20,centre,conlegis,0.0,0.06930693069306929
gpt-oss-20b,oss20,centre,conmedic,0.10000000000000002,0.05280528052805284
gpt-oss-20b,oss20,centre,conpress,0.0,0.016501650165016493
gpt-oss-20b,oss20,centre,consci,0.10000000000000003,0.033003300330033
gpt-oss-20b,oss20,centre,contv,0.0,0.01650165016501655
gpt-oss-20b,oss20,centre,joblose,0.09999999999999998,0.013201320132013201
gpt-oss-20b,oss20,centre,jobfind,0.0,0.013201320132013195
gpt-oss-20b,oss20,centre,happy,0.0,0.04620462046204621
gpt-oss-20b,oss20,centre,hapmar,0.049999999999999996,0.02640264026402642
gpt-oss-20b,oss20,centre,satjob,0.049999999999999996,0.059405940594059424
gpt-oss-20b,oss20,centre,spdeg*,0.0,0.026402640264026365
gpt-oss-20b,oss20,centre,spjew,0.0,0.052805280528052834
gpt-oss-20b,oss20,centre,spfund,0.09000000000000001,0.016501650165016545
gpt-oss-20b,oss20,centre,unemp,0.0,0.03960396039603961
gpt-oss-20b,oss20,centre,union1,0.14,0.01980198019801975
gpt-oss-20b,oss20,centre,spkath/y,0.0,0.01980198019801982
gpt-oss-20b,oss20,centre,colath,0.0,0.0363036303630363
gpt-oss-20b,oss20,centre,spkrac/y,0.0,0.013201320132013222
gpt-oss-20b,oss20,centre,colrac,0.0,0.0033003300330033125
gpt-oss-20b,oss20,centre,librac/y,0.19999999999999996,0.0066006600660065695
gpt-oss-20b,oss20,centre,spkcom/y,0.20000000000000004,0.023102310231023132
gpt-oss-20b,oss20,centre,colcom/y,0.14999999999999997,0.019801980198019792
gpt-oss-20b,oss20,centre,libcom/y,0.0,0.023102310231023132
gpt-oss-20b,oss20,centre,spkhomo/y,0.0,0.009900990099009965
gpt-oss-20b,oss20,centre,colhomo,0.0,0.009900990099009965
gpt-oss-20b,oss20,centre,libhomo/y,0.22999999999999998,0.03300330033003297
gpt-oss-20b,oss20,centre,cappun,0.0,0.0033003300330033125
gpt-oss-20b,oss20,centre,polhitok/y,0.0,0.006600660066006597
gpt-oss-20b,oss20,centre,polabuse/y,0.0,0.013201320132013222
gpt-oss-20b,oss20,centre,polattak/y,0.06999999999999998,0.01980198019801982
gpt-oss-20b,oss20,centre,grass,0.0,0.016501650165016493
gpt-oss-20b,oss20,centre,gunlaw,0.0,0.016501650165016535
gpt-oss-20b,oss20,centre,owngun,0.0,0.013201320132013167
gpt-oss-20b,oss20,centre,hunt1,0.0,0.016501650165016493
gpt-oss-20b,oss20,centre,class,0.24999999999999997,0.0627062706270627
gpt-oss-20b,oss20,centre,satfin,0.0,0.04950495049504949
gpt-oss-20b,oss20,centre,finalter,0.0,0.04950495049504948
gpt-oss-20b,oss20,centre,finrela,0.049999999999999996,0.10891089108910894
gpt-oss-20b,oss20,centre,racdif1,0.20000000000000004,0.0
gpt-oss-20b,oss20,centre,racdif2,0.0,0.006600660066006583
gpt-oss-20b,oss20,centre,racdif3,0.0,0.01980198019801982
gpt-oss-20b,oss20,centre,racdif4,0.0,0.0066006600660065695
gpt-oss-20b,oss20,centre,wlthwhts,0.049999999999999996,0.023102310231023104
gpt-oss-20b,oss20,centre,wlthblks,0.049999999999999996,0.049504950495049535
gpt-oss-20b,oss20,centre,wlthhsps,0.049999999999999996,0.07590759075907592
gpt-oss-20b,oss20,centre,racwork,0.07999999999999999,0.009900990099009908
gpt-oss-20b,oss20,centre,letin1a,0.04999999999999999,0.029702970297029726
gpt-oss-20b,oss20,centre,getahead,0.0,0.023102310231023142
gpt-oss-20b,oss20,centre,aged,0.0,0.029702970297029736
