source,camp,mode,quantite,taux_total,valeur_humaine,valeur,ecart,facteur,ic_bas,ic_haut,n_tirages
B0 segment,droite,concentre,polarisation,0.02,0.4504530967379146,0.44941176574686637,-0.0010413309910482504,0.9976882587807935,0.4462972519742131,0.45248698371978474,10
B0 segment,droite,concentre,polarisation,0.05,0.4504530967379146,0.4508789337086405,0.0004258369707259013,1.0009453525212941,0.4454553461684886,0.4561032766122879,10
B0 segment,droite,concentre,polarisation,0.1,0.4504530967379146,0.4513295379455576,0.000876441207642964,1.0019456880505206,0.44304066406073883,0.4573871574610919,10
B0 segment,droite,concentre,polarisation,0.2,0.4504530967379146,0.44804471386021766,-0.0024083828776969574,0.9946534214213689,0.4388693281622975,0.45454434690193773,10
B0 segment,droite,concentre,polarisation,0.3,0.4504530967379146,0.45083954998705156,0.0003864532491369421,1.0008579211730046,0.44202170513732303,0.4605496763702797,10
B0 segment,droite,concentre,marginale1,0.02,33.65019011406844,33.70722433460076,0.05703422053232288,1.0016949152542374,33.1962927756654,34.10408745247149,10
B0 segment,droite,concentre,marginale1,0.05,33.65019011406844,33.71673003802281,0.06653992395437314,1.0019774011299436,33.174904942965775,34.125475285171106,10
B0 segment,droite,concentre,marginale1,0.1,33.65019011406844,33.878326996197714,0.2281368821292773,1.006779661016949,33.260456273764255,34.874049429657795,10
B0 segment,droite,concentre,marginale1,0.2,33.65019011406844,33.63117870722433,-0.019011406844107626,0.9994350282485875,32.81606463878327,34.22053231939163,10
B0 segment,droite,concentre,marginale1,0.3,33.65019011406844,33.79277566539924,0.14258555133080364,1.0042372881355934,33.174904942965775,34.48431558935361,10
B0 segment,droite,concentre,marginale2,0.02,52.75665399239544,52.823193916349815,0.06653992395437314,1.0012612612612612,52.27186311787072,53.18916349809886,10
B0 segment,droite,concentre,marginale2,0.05,52.75665399239544,52.72813688212928,-0.02851711026616499,0.9994594594594594,52.28136882129277,53.2319391634981,10
B0 segment,droite,concentre,marginale2,0.1,52.75665399239544,52.58555133079849,-0.17110266159695442,0.9967567567567568,52.08174904942966,53.041825095057035,10
B0 segment,droite,concentre,marginale2,0.2,52.75665399239544,53.01330798479088,0.2566539923954352,1.0048648648648648,52.27186311787072,53.842680608365015,10
B0 segment,droite,concentre,marginale2,0.3,52.75665399239544,52.946768060836504,0.19011406844106205,1.0036036036036036,52.02946768060837,53.83317490494297,10
B0 segment,droite,concentre,marginale3,0.02,38.68821292775665,38.393536121673,-0.29467680608365043,0.9923832923832924,38.044201520912544,38.9828897338403,10
B0 segment,droite,concentre,marginale3,0.05,38.68821292775665,38.374524714828894,-0.31368821292775806,0.9918918918918919,37.9277566539924,38.9828897338403,10
B0 segment,droite,concentre,marginale3,0.1,38.68821292775665,38.71673003802281,0.028517110266157886,1.0007371007371006,37.94914448669201,39.7861216730038,10
B0 segment,droite,concentre,marginale3,0.2,38.68821292775665,38.31749049429658,-0.37072243346007383,0.9904176904176905,36.69439163498099,39.33222433460076,10
B0 segment,droite,concentre,marginale3,0.3,38.68821292775665,38.72623574144486,0.038022813688208146,1.0009828009828008,37.580798479087456,39.752851711026615,10
B0 segment,droite,uniforme,polarisation,0.02,0.4504530967379146,0.44985780706856787,-0.0005952896693467435,0.9986784646977506,0.44804418173965394,0.4542874713001667,10
B0 segment,droite,uniforme,polarisation,0.05,0.4504530967379146,0.44954261688463265,-0.0009104798532819647,0.997978746600089,0.4475819983383529,0.45201216768153835,10
B0 segment,droite,uniforme,polarisation,0.1,0.4504530967379146,0.4500246429055781,-0.00042845383233652834,0.9990488380800592,0.4430567826570048,0.4552035277547295,10
B0 segment,droite,uniforme,polarisation,0.2,0.4504530967379146,0.45062908976269594,0.00017599302478132905,1.0003907022197336,0.44435573949030144,0.4605059394402597,10
