contraste,condition,personnes,items,exactitude,chute S_ideo,chute relative S_ideo,part du plancher humain S_ideo,segments exploitables S_ideo,ratio inter (S_ideo),ratio intra (S_ideo),chute S_gra,chute relative S_gra,part du plancher humain S_gra,segments exploitables S_gra,ratio inter (S_gra),ratio intra (S_gra)
H1,C3E,94,58,0.6254585473220837,0.07552549523110796,0.1207521994134899,0.44842839379068367,4,2.344111146210204,0.6718643976454045,0.07738628026412331,0.1237272727272728,0.5640080252422206,1,0.37694513360963694,0.796353613960618
H1,C3,94,58,0.6205062362435804,0.07601063829787236,0.12249778303281114,0.4549108368637007,4,0.7957638865594046,0.6629561013745637,0.0695212765957447,0.11203960981377478,0.5107300733870213,1,0.05069764414000571,0.6926070038910507
H1,humains vague 2,94,58,0.7806309611151871,0.21020726338958184,0.26927866541353385,1.0,4,1.0690982649163487,0.9906469188234301,0.17124816581071167,0.21937147556390976,1.0,1,0.7048493320120657,1.0056154934559602
H2,C2,130,58,0.5655172413793104,-0.0025358090185676474,-0.004484052532833035,-0.015822786316079522,5,10.076773987902625,0.2514262527202376,0.028336206896551808,0.05010670731707332,0.2143777071324089,3,0.5637305178394996,0.6867545533581937
H2,C2S,130,58,0.5579575596816975,0.004062997347479946,0.007281911100546423,0.025695533777307725,5,0.03846326308748447,0.25799838939215386,0.0020358090185674804,0.003648680770144713,0.01561060104412829,3,1.3084210985589513,0.20108567677568595
H2,humains vague 2,130,58,0.7749336870026525,0.21961007957559675,0.283392093102858,1.0,5,1.2277956753095798,0.9882345546241348,0.18112599469496016,0.2337309601232243,1.0,3,0.8758067602243409,1.0042055226731765
