identite,item,gap_olmo3base,gap_olmo3sft,gap_olmo3dpo,gap_olmo3rlvr,gap_signe_reel_w1,famille,n_modalites,sens_codeur_A,retenu_strict,gs_gauche,gs_droite,consensus_reel_gs,consensus,polarite,k_modalites,n_rejets_olmo3base,n_rejets_olmo3dpo,n_rejets_olmo3rlvr,n_rejets_olmo3sft,taux_rejet_olmo3base,taux_rejet_olmo3dpo,taux_rejet_olmo3rlvr,taux_rejet_olmo3sft,complet_4_checkpoints,rejet_au_moins_un,delta_olmo3base_olmo3sft,delta_olmo3sft_olmo3dpo,delta_olmo3dpo_olmo3rlvr
journaliste,getahead,0.12,-0.01,0.0799999999999999,0.16,0.2151808673543093,residu : economique,3,-1,True,0.542497,0.484676,0.5135865,intermediaire,negative,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.13,0.0899999999999999,0.0800000000000001
journaliste,grass,0.2299999999999999,0.41,0.4,0.43,0.2103088613446593,residu : social,2,1,True,0.240062,0.456011,0.34803649999999997,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.18000000000000008,-0.009999999999999953,0.02999999999999997
journaliste,gunlaw,0.09,0.0,0.0,0.0,0.3200860997948629,residu : social,2,1,True,0.280045,0.501219,0.390632,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.09,0.0,0.0
journaliste,homosex,-0.0533333333333333,-0.0266666666666666,0.15,0.0,0.4311153486849076,residu : social,4,-1,True,0.370054,0.656972,0.513513,intermediaire,negative,4,0,0,1,0,0.0,0.0,0.3333333333333333,0.0,True,True,0.026666666666666703,0.17666666666666658,-0.15
journaliste,letdie1,0.2299999999999999,0.2999999999999999,0.2999999999999999,0.5,0.2404293432723701,fin de vie (suicide/letdie),2,1,True,0.240062,0.472391,0.3562265,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.06999999999999998,0.0,0.20000000000000012
journaliste,letin1a,-0.0125,,0.06,0.0,0.3771669411458785,residu : social,5,1,True,0.729282,0.574164,0.651723,faible,positive,5,0,0,0,1,0.0,0.0,0.0,0.3333333333333333,False,True,,,-0.06
journaliste,libcom/y,0.0,0.0,-0.71,-0.0999999999999999,0.1382508451070469,libertes civiles (spk/col/lib),2,-1,True,0.304856,0.440287,0.3725715,fort,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.0,-0.71,0.6100000000000001
journaliste,libhomo/y,0.0,0.0,0.25,0.25,0.1977983877957874,libertes civiles (spk/col/lib),2,-1,True,0.082803,0.366906,0.2248545,fort,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.0,0.25,0.0
journaliste,marhomo,0.0875,,,,0.3973285227239894,residu : social,5,1,True,0.387555,0.776872,0.5822134999999999,faible,positive,5,0,1,2,1,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,False,True,,,
journaliste,nataid/y,-0.0849999999999999,-0.06,0.015,0.01,0.2073365404062292,depenses publiques (nat*),3,1,True,0.572726,0.249463,0.4110945,intermediaire,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.024999999999999897,0.075,-0.004999999999999999
