population,n,condition,gender,race,political_ideology,age,education,profil croise
150 d'origine,150,humains vague 1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
150 d'origine,150,humains vague 2,0.8319,1.4575,1.1118,1.0970,1.0628,0.9680
150 d'origine,150,C2,0.0746,4.8381,8.1616,1.8675,2.5985,4.8838
150 d'origine,150,agents composite,0.9543,1.4863,2.2040,1.2601,1.2786,1.6257
150 d'origine,150,agents entretien (v3),0.8535,1.9801,2.9156,1.3619,1.5454,2.1230
150 d'origine,150,agents enquete,0.8911,1.1693,2.4343,0.9860,1.2140,1.8974
150 d'origine,150,agents demographiques (v6),0.9056,3.8990,0.2431,0.9941,2.6572,0.6888
150 d'origine,150,agents v7,0.4252,2.0934,0.3592,0.4988,-0.0054,0.5107
150 d'origine,150,agents v8,0.1285,5.1746,8.9529,3.0707,0.9634,5.9482
150 d'origine,150,C2 distribution,0.1156,4.6693,7.8757,1.7695,2.5069,4.6583
150 d'extension,150,humains vague 1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
150 d'extension,150,humains vague 2,0.7026,0.8002,0.9101,1.0838,0.9583,0.9526
150 d'extension,150,C2,0.0125,3.1526,6.5270,1.7709,3.7287,4.6195
150 d'extension,150,agents composite,0.9354,1.4964,2.0445,1.3517,1.3526,2.0753
150 d'extension,150,agents entretien (v3),0.9121,0.8686,2.7414,1.3957,1.1261,2.7832
150 d'extension,150,agents enquete,0.3288,1.3664,2.2962,1.0104,0.9391,2.1745
150 d'extension,150,agents demographiques (v6),1.6253,2.8436,0.1355,0.4143,2.9421,0.4523
150 d'extension,150,agents v7,1.2997,0.8067,0.3311,0.4903,0.5625,0.5649
150 d'extension,150,agents v8,0.6130,4.4980,7.5392,3.7524,1.1313,6.7517
150 d'extension,150,C2 distribution,0.0280,3.0812,6.3218,1.7492,3.3601,4.4536
300 union,300,humains vague 1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
300 union,300,humains vague 2,0.8509,1.0749,1.0393,1.0947,1.0094,0.9877
300 union,300,C2,0.1613,3.4769,7.6429,1.7818,2.9349,4.7839
300 union,300,agents composite,1.0352,1.4521,2.2336,1.3220,1.4667,1.8452
300 union,300,agents entretien (v3),0.9580,1.3571,2.9589,1.4308,1.4614,2.4193
300 union,300,agents enquete,0.7102,1.2006,2.5034,0.9631,1.1725,2.0126
300 union,300,agents demographiques (v6),1.2152,2.8583,0.2096,0.6441,2.8855,0.6353
300 union,300,agents v7,0.9140,0.6192,0.3293,0.5335,0.2914,0.4195
300 union,300,agents v8,0.3975,4.4471,8.6035,3.3384,0.8213,6.2823
300 union,300,C2 distribution,0.1854,3.3299,7.4169,1.7234,2.7645,4.6314
