item,cible,predicteur,n_personnes,n_changeurs,taux_de_base,auc,rappel,auc_permutee,auc_permutee_p2_5,auc_permutee_p97_5,auc_permutee_ecart_type,z_permutation,chute,p_permutation,p_permutation_normale,p_holm,p_bh,p_holm_normale,p_bh_normale
natspac/y,chg,P position initiale seule,4255,1683,0.3955346650998825,0.504688847120921,0.40641711229946526,0.501070139576166,0.4807039640989531,0.518265048019302,0.009309041825294077,0.3887303991827001,0.0036187075447550177,0.35323383084577115,0.3487377961389732,1.0,0.3789235639981909,1.0,0.37410054494908035
natspac/y,chg,L1 logistique resumee,4255,1683,0.3955346650998825,0.5111731624173304,0.39453357100415926,0.5125369558728812,0.49353582365600934,0.5290520357726011,0.00946797868735531,-0.1440427255473438,-0.0013637934555508213,0.5920398009950248,0.5572666343472903,1.0,0.5970999702342986,1.0,0.5620295970340192
natspac/y,chg,L2 logistique complete,4255,1683,0.3955346650998825,0.5153776813048608,0.3939393939393939,0.5058302007357446,0.48953928984289885,0.5218971228153828,0.009131292649992625,1.0455782039932717,0.009547480569116251,0.15920398009950248,0.1478779083677964,1.0,0.1707824513794663,1.0,0.15863266533999978
natspac/y,chg,V voisins k=25,4255,1683,0.3955346650998825,0.5034358080854284,0.3969102792632204,0.49879419249673573,0.4816737265621174,0.5166235876743835,0.009202899064339609,0.5043645003864629,0.0046416155886926935,0.2835820895522388,0.30700262973382164,1.0,0.32175660160734787,1.0,0.34501247912943767
natspac/y,chg,F foret,4255,1683,0.3955346650998825,0.528640859237328,0.42721330956625075,0.5103011070821656,0.49377891761822784,0.5248153707969828,0.008220716994364316,2.230918807658155,0.01833975215516237,0.014925373134328358,0.012843253838224593,0.5870646766169154,0.01572494669509595,0.07705952302934756,0.013411539406287627
natspac/y,chg,T0 nul avec derive,4255,1683,0.3955346650998825,0.4987240902298994,0.3927510398098633,0.5012558482085515,0.4790851117062122,0.5209379091897846,0.00937305937643267,-0.2701100971383902,-0.002531757978652127,0.6616915422885572,0.606462222826758,1.0,1.0,1.0,0.9998093539075052
natspac/y,chg,T0b nul a taux commun,4255,1683,0.3955346650998825,0.5,0.3820558526440879,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
natspac/y,chg,T1 temoin de segment,4255,1683,0.3955346650998825,0.520587588445058,0.41057635175282237,0.5552187787905586,0.5473979745769838,0.5626766590985326,0.00398544731381167,-8.68941115479943,-0.03463119034550055,1.0,1.0,1.0,1.0,1.0,1.0
natenvir/y,chg,P position initiale seule,2211,749,0.3387607417458164,0.5985153026652956,0.49132176234979974,0.5199497003756948,0.4953817812715175,0.5433633125060501,0.012416660531372244,6.327434183377652,0.07856560228960086,0.004975124378109453,1.2463561792956225e-10,0.5870646766169154,0.005929946228453691,5.359331570971177e-09,1.9351319625905717e-10
natenvir/y,chg,L1 logistique resumee,2211,749,0.3387607417458164,0.6345935026912308,0.4552736982643525,0.5404090405995043,0.518444405582272,0.5639408175789333,0.01171538710204705,8.03938113792838,0.09418446209172648,0.004975124378109453,4.514666177577584e-16,0.5870646766169154,0.0055910921582563375,2.5282130594434468e-14,8.456041411970712e-16
