jeu,item,k,baseline,1-MAE,1-TV,spearman,KS
Twin-2K-500,33_Q295,2,B0 uniforme,0.9266277939747327,0.9266277939747327,,
Twin-2K-500,33_Q295,2,B1 persistance,0.9927113702623906,0.9927113702623906,0.9999999999999999,
Twin-2K-500,34_Q295,2,B0 uniforme,0.9285714285714286,0.9285714285714286,,
Twin-2K-500,34_Q295,2,B1 persistance,0.9970845481049563,0.9970845481049563,0.9999999999999999,
Twin-2K-500,35_Q295,2,B0 uniforme,0.9397473275024295,0.9397473275024295,,
Twin-2K-500,35_Q295,2,B1 persistance,0.9791059280855199,0.9791059280855199,0.9999999999999999,
Twin-2K-500,36_Q295,2,B0 uniforme,0.9261418853255587,0.9261418853255587,,
Twin-2K-500,36_Q295,2,B1 persistance,0.9859086491739553,0.9859086491739553,0.9999999999999999,
Twin-2K-500,37_Q295,2,B0 uniforme,0.9421768707482994,0.9421768707482994,,
Twin-2K-500,37_Q295,2,B1 persistance,0.9791059280855199,0.9791059280855199,0.9999999999999999,
Twin-2K-500,38_Q295,2,B0 uniforme,0.9378036929057337,0.9378036929057337,,
Twin-2K-500,38_Q295,2,B1 persistance,0.9927113702623906,0.9927113702623906,0.9999999999999999,
Twin-2K-500,39_Q295,2,B0 uniforme,0.9183673469387755,0.9183673469387755,,
Twin-2K-500,39_Q295,2,B1 persistance,0.9859086491739553,0.9859086491739553,0.9999999999999999,
Twin-2K-500,40_Q295,2,B0 uniforme,0.9475218658892128,0.9475218658892128,,
Twin-2K-500,40_Q295,2,B1 persistance,0.9659863945578231,0.9659863945578231,0.9999999999999999,
Twin-2K-500,False Cons. self _1,5,BAD item permute,0.9541302235179786,0.8853255587949466,0.7999999999999999,0.913022351797862
Twin-2K-500,False Cons. self _1,5,BAD camp inverse,0.8480077745383867,0.620019436345967,-0.8999999999999998,0.6200194363459669
Twin-2K-500,False Cons. self _2,5,BAD item permute,0.8847424684159378,0.7118561710398446,0.7999999999999999,0.728862973760933
Twin-2K-500,False Cons. self _2,5,BAD camp inverse,0.8233236151603498,0.5583090379008746,-0.7999999999999999,0.5583090379008747
Twin-2K-500,False Cons. self _3,5,BAD item permute,0.9582118561710399,0.8955296404275996,0.7999999999999999,0.91156462585034
Twin-2K-500,False Cons. self _3,5,BAD camp inverse,0.8108843537414966,0.5272108843537415,-0.7999999999999999,0.5272108843537415
Twin-2K-500,False Cons. self _5,5,BAD item permute,0.93022351797862,0.82555879494655,0.7999999999999999,0.8547133138969873
Twin-2K-500,False Cons. self _5,5,BAD camp inverse,0.7286686103012634,0.3216715257531584,-0.7999999999999999,0.3216715257531584
Twin-2K-500,False Cons. self _6,5,BAD item permute,0.9308066083576287,0.8270165208940718,0.7,0.8362487852283771
Twin-2K-500,False Cons. self _6,5,BAD camp inverse,0.8227405247813411,0.5568513119533527,-0.7999999999999999,0.5568513119533527
Twin-2K-500,False Cons. self _7,5,BAD item permute,0.7493488824101069,0.37337220602526733,-0.9999999999999999,0.3733722060252672
Twin-2K-500,False Cons. self _7,5,BAD camp inverse,0.7166180758017493,0.29154518950437325,-0.9999999999999999,0.29154518950437325
Twin-2K-500,False Cons. self _8,5,BAD item permute,0.884159378036929,0.7103984450923226,0.7,0.7103984450923226
Twin-2K-500,False Cons. self _8,5,BAD camp inverse,0.7624878522837706,0.40621963070942657,-0.7999999999999999,0.40621963070942657
Twin-2K-500,False Cons. self _9,5,BAD item permute,0.8428692905733722,0.6071732264334305,0.7999999999999999,0.6071732264334305
Twin-2K-500,False Cons. self _9,5,BAD camp inverse,0.9552964042759962,0.8882410106899903,-0.19999999999999998,0.8882410106899903
Twin-2K-500,False Cons. self _10,5,BAD item permute,0.8965860998777391,0.7414652496943478,0.19999999999999998,0.7414652496943478
Twin-2K-500,False Cons. self _10,5,BAD camp inverse,0.8656948493683188,0.6642371234207969,-0.49999999999999994,0.6642371234207969
Twin-2K-500,Q171,5,BAD item permute,0.7398112793504499,0.3495281983761247,-0.7,
Twin-2K-500,Q171,5,BAD camp inverse,0.7926530612244898,0.4816326530612245,-0.8999999999999998,
Twin-2K-500,Q174,5,BAD item permute,0.9492711370262391,0.8731778425655976,0.7999999999999999,
Twin-2K-500,Q174,5,BAD camp inverse,0.7512925170068028,0.3782312925170068,-0.8207826816681233,
Twin-2K-500,Q175,5,BAD item permute,0.9830053449951409,0.9575133624878523,0.9999999999999999,
Twin-2K-500,Q175,5,BAD camp inverse,0.7041666666666666,0.26041666666666663,-0.8999999999999998,
Twin-2K-500,Q173,5,BAD item permute,0.9347440358631932,0.836860089657983,0.15389675281277312,
Twin-2K-500,Q173,5,BAD camp inverse,0.9514592933947773,0.8786482334869431,0.4103913408340617,
Twin-2K-500,Q176,5,BAD item permute,0.951231073074391,0.8780776826859776,0.9746794344808964,
Twin-2K-500,Q176,5,BAD camp inverse,0.7032258064516129,0.25806451612903225,-0.7,
Twin-2K-500,Q158,6,BAD item permute,0.9369098666322769,0.8107295998968308,0.8857142857142858,
Twin-2K-500,Q158,6,BAD camp inverse,0.9127962085308057,0.738388625592417,0.6571428571428573,
Twin-2K-500,Q157,6,BAD item permute,0.9263679644577767,0.77910389337333,0.5428571428571429,
Twin-2K-500,Q157,6,BAD camp inverse,0.8504486540378864,0.551345962113659,-0.3142857142857143,
Twin-2K-500,Q160_1,6,BAD item permute,0.8364630030199484,0.5093890090598452,-0.2571428571428572,0.5093890090598452
Twin-2K-500,Q160_1,6,BAD camp inverse,0.919987042436022,0.7599611273080661,0.8285714285714287,0.7599611273080661
Twin-2K-500,Q160_2,6,BAD item permute,0.8769031422092647,0.630709426627794,0.6,0.630709426627794
Twin-2K-500,Q160_2,6,BAD camp inverse,0.9471979267897636,0.8415937803692906,0.8285714285714287,0.8415937803692907
Twin-2K-500,Q160_3,6,BAD item permute,0.9889860706187237,0.966958211856171,1.0,0.9863945578231292
Twin-2K-500,Q160_3,6,BAD camp inverse,0.9543245869776482,0.8629737609329446,0.8857142857142858,0.8629737609329446
Twin-2K-500,Q159_1,6,BAD item permute,0.9024181101011833,0.70725433030355,0.5428571428571429,0.714938760007635
Twin-2K-500,Q159_1,6,BAD camp inverse,0.9510851959831552,0.8532555879494654,0.8857142857142858,0.8736637512147716
Twin-2K-500,Q159_2,6,BAD item permute,0.9721412374473599,0.9164237123420796,0.942857142857143,0.9164237123420795
Twin-2K-500,Q159_2,6,BAD camp inverse,0.9598315516682864,0.8794946550048591,0.8285714285714287,0.9543245869776482
Twin-2K-500,Q159_3,6,BAD item permute,0.796823162762642,0.39046948828792594,-0.6,0.39046948828792605
Twin-2K-500,Q159_3,6,BAD camp inverse,0.749271137026239,0.24781341107871713,-0.6571428571428573,0.24781341107871724
Twin-2K-500,Q177,6,BAD item permute,0.8732750242954325,0.6198250728862974,-0.14285714285714288,
Twin-2K-500,Q177,6,BAD camp inverse,0.8335600907029479,0.5006802721088435,-0.942857142857143,
Twin-2K-500,Q179,6,BAD item permute,0.89066037667169,0.6719811300150698,0.3714285714285715,
Twin-2K-500,Q179,6,BAD camp inverse,0.7839221710189451,0.3517665130568355,-1.0,
Twin-2K-500,Q194,6,BAD item permute,0.9579947322599487,0.873984196779846,0.942857142857143,
Twin-2K-500,Q194,6,BAD camp inverse,0.8479474548440066,0.5438423645320196,-0.5428571428571429,
Twin-2K-500,Q195,6,BAD item permute,0.9666438387435511,0.8999315162306534,0.8285714285714287,
Twin-2K-500,Q195,6,BAD camp inverse,0.7826781719399168,0.34803451581975064,-0.6571428571428573,
Twin-2K-500,Q162,7,BAD item permute,0.9214340501486431,0.7250191755202506,0.8571428571428573,
Twin-2K-500,Q162,7,BAD camp inverse,0.8557228060210167,0.49502982107355864,-0.07142857142857144,
Twin-2K-500,Q161,7,BAD item permute,0.9390779823996022,0.7867729383986076,0.9642857142857145,
Twin-2K-500,Q161,7,BAD camp inverse,0.7631721890277023,0.1711026615969582,-0.7857142857142859,
Twin-2K-500,nonseparabilty bene _1,7,BAD item permute,0.8267388588088296,0.39358600583090375,0.10714285714285716,0.39358600583090375
Twin-2K-500,nonseparabilty bene _1,7,BAD camp inverse,0.7367763431903374,0.07871720116618075,-0.9285714285714288,0.07871720116618086
Twin-2K-500,nonseparabilty bene _2,7,BAD item permute,0.7859225322782174,0.25072886297376096,-0.7857142857142859,0.25072886297376096
Twin-2K-500,nonseparabilty bene _2,7,BAD camp inverse,0.827155351936693,0.39504373177842567,-0.8214285714285715,0.39504373177842567
Twin-2K-500,nonseparabilty bene _3,7,BAD item permute,0.8846314035818409,0.5962099125364432,0.03571428571428572,0.5962099125364432
Twin-2K-500,nonseparabilty bene _3,7,BAD camp inverse,0.9602943218103568,0.8610301263362488,0.8214285714285715,0.9402332361516034
Twin-2K-500,nonseparabilty bene _4,7,BAD item permute,0.9164237123420796,0.7074829931972789,0.42857142857142866,0.7074829931972789
Twin-2K-500,nonseparabilty bene _4,7,BAD camp inverse,0.962654449534916,0.869290573372206,0.8928571428571429,0.9504373177842566
Twin-2K-500,nonseparability ris _1,7,BAD item permute,0.8675146124502464,0.5363011435758627,-0.14285714285714288,0.5444843089181142
Twin-2K-500,nonseparability ris _1,7,BAD camp inverse,0.8642232403165347,0.5247813411078717,-0.25,0.5364431486880467
Twin-2K-500,nonseparability ris _2,7,BAD item permute,0.8807441343884492,0.5826044703595724,0.39285714285714296,0.5826044703595723
Twin-2K-500,nonseparability ris _2,7,BAD camp inverse,0.7825905872553103,0.23906705539358608,-0.4642857142857144,0.23906705539358608
Twin-2K-500,nonseparability ris _3,7,BAD item permute,0.9693183395807302,0.8926141885325559,0.9285714285714288,0.923712342079689
Twin-2K-500,nonseparability ris _3,7,BAD camp inverse,0.7703734555046509,0.1963070942662779,-0.7857142857142859,0.19630709426627801
Twin-2K-500,nonseparability ris _4,7,BAD item permute,0.9321884259251928,0.7626594907381747,0.9642857142857145,0.8295347470873194
Twin-2K-500,nonseparability ris _4,7,BAD camp inverse,0.7703734555046509,0.19630709426627801,-0.7142857142857144,0.19630709426627801
Twin-2K-500,Q163,2,BAD item permute,0.6330836868536979,0.6330836868536979,-0.9999999999999999,
Twin-2K-500,Q163,2,BAD camp inverse,0.49500998003992014,0.49500998003992014,-0.9999999999999999,
Twin-2K-500,Q165,2,BAD item permute,0.7658058353211414,0.7658058353211414,0.9999999999999999,
Twin-2K-500,Q165,2,BAD camp inverse,0.35132575757575757,0.35132575757575757,-0.9999999999999999,
Twin-2K-500,Q167,2,BAD item permute,0.4964772780963127,0.4964772780963127,-0.9999999999999999,
Twin-2K-500,Q167,2,BAD camp inverse,0.1191611058150619,0.1191611058150619,-0.9999999999999999,
Twin-2K-500,Q169,2,BAD item permute,0.5699643134272171,0.5699643134272171,-0.9999999999999999,
Twin-2K-500,Q169,2,BAD camp inverse,0.6650148662041626,0.6650148662041626,-0.9999999999999999,
Twin-2K-500,Q183,2,BAD item permute,0.9280295340566471,0.9280295340566471,0.9999999999999999,
Twin-2K-500,Q183,2,BAD camp inverse,0.536372453928225,0.536372453928225,-0.9999999999999999,
Twin-2K-500,Q192,2,BAD item permute,0.8056198964566117,0.8056198964566117,-0.9999999999999999,
Twin-2K-500,Q192,2,BAD camp inverse,0.6726926736441484,0.6726926736441484,-0.9999999999999999,
Twin-2K-500,Q193,2,BAD item permute,0.6283274828140998,0.6283274828140998,-0.9999999999999999,
Twin-2K-500,Q193,2,BAD camp inverse,0.8053624627606752,0.8053624627606752,-0.9999999999999999,
Twin-2K-500,Q198_1,2,BAD item permute,0.5177497909462788,0.5177497909462788,-0.9999999999999999,0.5177497909462789
Twin-2K-500,Q198_1,2,BAD camp inverse,0.15600775193798455,0.15600775193798455,-0.9999999999999999,0.15600775193798455
Twin-2K-500,Q198_2,2,BAD item permute,0.8207364341085271,0.8207364341085271,0.9999999999999999,0.8207364341085271
Twin-2K-500,Q198_2,2,BAD camp inverse,0.27034883720930236,0.27034883720930236,-0.9999999999999999,0.27034883720930236
Twin-2K-500,Q198_3,2,BAD item permute,0.6630873279544376,0.6630873279544376,-0.9999999999999999,0.6630873279544376
Twin-2K-500,Q198_3,2,BAD camp inverse,0.4786821705426356,0.4786821705426356,-0.9999999999999999,0.4786821705426356
Twin-2K-500,Q198_4,2,BAD item permute,0.9139511674325768,0.9139511674325768,0.9999999999999999,0.9139511674325768
Twin-2K-500,Q198_4,2,BAD camp inverse,0.43992248062015504,0.43992248062015504,-0.9999999999999999,0.43992248062015504
Twin-2K-500,Q198_5,2,BAD item permute,0.6247655208262708,0.6247655208262708,-0.9999999999999999,0.6247655208262708
Twin-2K-500,Q198_5,2,BAD camp inverse,0.40697674418604657,0.40697674418604657,-0.9999999999999999,0.40697674418604657
Twin-2K-500,Q198_7,2,BAD item permute,0.7135229507085227,0.7135229507085227,-0.9999999999999999,0.7135229507085226
