condition,axe_transport,variante,lambda,mesure,ratio_inter,ratio_intra,exactitude,diversite_conservee,accord_paires,part_changee
agents composite,political_ideology,naive,1.0,entropie,2.1295,0.8331,0.6840,0.8932,0.5390,0.0000
agents composite,political_ideology,naive,1.0,gini_simpson,2.1563,0.8432,0.6840,0.8932,0.5390,0.0000
agents composite,political_ideology,naive,1.0,variance_ordinale,2.3593,0.7546,0.6840,0.8932,0.5390,0.0000
agents composite,political_ideology,informee,1.0,entropie,2.1295,0.8331,0.6840,0.8932,0.5390,0.0000
agents composite,political_ideology,informee,1.0,gini_simpson,2.1563,0.8432,0.6840,0.8932,0.5390,0.0000
agents composite,political_ideology,informee,1.0,variance_ordinale,2.3593,0.7546,0.6840,0.8932,0.5390,0.0000
agents composite,political_ideology,naive,0.9,entropie,1.6642,0.8555,0.6782,0.8929,0.5391,0.0125
agents composite,political_ideology,naive,0.9,gini_simpson,1.7294,0.8654,0.6782,0.8929,0.5391,0.0125
agents composite,political_ideology,naive,0.9,variance_ordinale,1.9018,0.7988,0.6782,0.8929,0.5391,0.0125
agents composite,political_ideology,informee,0.9,entropie,1.6642,0.8555,0.6817,0.8929,0.5391,0.0125
agents composite,political_ideology,informee,0.9,gini_simpson,1.7294,0.8654,0.6817,0.8929,0.5391,0.0125
agents composite,political_ideology,informee,0.9,variance_ordinale,1.9018,0.7988,0.6817,0.8929,0.5391,0.0125
agents composite,political_ideology,naive,0.8,entropie,1.2644,0.8751,0.6719,0.8931,0.5390,0.0259
agents composite,political_ideology,naive,0.8,gini_simpson,1.3455,0.8858,0.6719,0.8931,0.5390,0.0259
agents composite,political_ideology,naive,0.8,variance_ordinale,1.4942,0.8390,0.6719,0.8931,0.5390,0.0259
agents composite,political_ideology,informee,0.8,entropie,1.2644,0.8751,0.6784,0.8931,0.5390,0.0259
agents composite,political_ideology,informee,0.8,gini_simpson,1.3455,0.8858,0.6784,0.8931,0.5390,0.0259
agents composite,political_ideology,informee,0.8,variance_ordinale,1.4942,0.8390,0.6784,0.8931,0.5390,0.0259
agents composite,political_ideology,naive,0.7,entropie,0.9242,0.8915,0.6662,0.8929,0.5391,0.0390
agents composite,political_ideology,naive,0.7,gini_simpson,1.0013,0.9036,0.6662,0.8929,0.5391,0.0390
agents composite,political_ideology,naive,0.7,variance_ordinale,1.1246,0.8745,0.6662,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,0.7,entropie,0.9242,0.8915,0.6750,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,0.7,gini_simpson,1.0013,0.9036,0.6750,0.8929,0.5391,0.0390
agents composite,political_ideology,informee,0.7,variance_ordinale,1.1246,0.8745,0.6750,0.8929,0.5391,0.0390
agents composite,political_ideology,naive,0.6,entropie,0.6400,0.9052,0.6603,0.8928,0.5391,0.0522
agents composite,political_ideology,naive,0.6,gini_simpson,0.7095,0.9189,0.6603,0.8928,0.5391,0.0522
agents composite,political_ideology,naive,0.6,variance_ordinale,0.8111,0.9053,0.6603,0.8928,0.5391,0.0522
agents composite,political_ideology,informee,0.6,entropie,0.6400,0.9052,0.6705,0.8928,0.5391,0.0522
agents composite,political_ideology,informee,0.6,gini_simpson,0.7095,0.9189,0.6705,0.8928,0.5391,0.0522
agents composite,political_ideology,informee,0.6,variance_ordinale,0.8111,0.9053,0.6705,0.8928,0.5391,0.0522
agents composite,political_ideology,naive,0.5,entropie,0.4020,0.9170,0.6537,0.8929,0.5390,0.0653
agents composite,political_ideology,naive,0.5,gini_simpson,0.4610,0.9321,0.6537,0.8929,0.5390,0.0653
agents composite,political_ideology,naive,0.5,variance_ordinale,0.5464,0.9304,0.6537,0.8929,0.5390,0.0653
agents composite,political_ideology,informee,0.5,entropie,0.4020,0.9170,0.6658,0.8929,0.5390,0.0653
agents composite,political_ideology,informee,0.5,gini_simpson,0.4610,0.9321,0.6658,0.8929,0.5390,0.0653
agents composite,political_ideology,informee,0.5,variance_ordinale,0.5464,0.9304,0.6658,0.8929,0.5390,0.0653
agents composite,political_ideology,naive,0.4,entropie,0.2106,0.9263,0.6481,0.8929,0.5390,0.0783
agents composite,political_ideology,naive,0.4,gini_simpson,0.2577,0.9427,0.6481,0.8929,0.5390,0.0783
agents composite,political_ideology,naive,0.4,variance_ordinale,0.3280,0.9523,0.6481,0.8929,0.5390,0.0783
agents composite,political_ideology,informee,0.4,entropie,0.2106,0.9263,0.6610,0.8929,0.5390,0.0783
agents composite,political_ideology,informee,0.4,gini_simpson,0.2577,0.9427,0.6610,0.8929,0.5390,0.0783
agents composite,political_ideology,informee,0.4,variance_ordinale,0.3280,0.9523,0.6610,0.8929,0.5390,0.0783
agents composite,political_ideology,naive,0.3,entropie,0.0596,0.9336,0.6418,0.8930,0.5389,0.0914
agents composite,political_ideology,naive,0.3,gini_simpson,0.0992,0.9512,0.6418,0.8930,0.5389,0.0914
agents composite,political_ideology,naive,0.3,variance_ordinale,0.1609,0.9691,0.6418,0.8930,0.5389,0.0914
agents composite,political_ideology,informee,0.3,entropie,0.0596,0.9336,0.6558,0.8930,0.5389,0.0914
agents composite,political_ideology,informee,0.3,gini_simpson,0.0992,0.9512,0.6558,0.8930,0.5389,0.0914
agents composite,political_ideology,informee,0.3,variance_ordinale,0.1609,0.9691,0.6558,0.8930,0.5389,0.0914
agents composite,political_ideology,naive,0.2,entropie,-0.0484,0.9388,0.6360,0.8929,0.5390,0.1046
agents composite,political_ideology,naive,0.2,gini_simpson,-0.0144,0.9571,0.6360,0.8929,0.5390,0.1046
agents composite,political_ideology,naive,0.2,variance_ordinale,0.0399,0.9799,0.6360,0.8929,0.5390,0.1046
agents composite,political_ideology,informee,0.2,entropie,-0.0484,0.9388,0.6505,0.8929,0.5390,0.1046
agents composite,political_ideology,informee,0.2,gini_simpson,-0.0144,0.9571,0.6505,0.8929,0.5390,0.1046
agents composite,political_ideology,informee,0.2,variance_ordinale,0.0399,0.9799,0.6505,0.8929,0.5390,0.1046
agents composite,political_ideology,naive,0.1,entropie,-0.1145,0.9419,0.6301,0.8928,0.5390,0.1177
agents composite,political_ideology,naive,0.1,gini_simpson,-0.0820,0.9605,0.6301,0.8928,0.5390,0.1177
agents composite,political_ideology,naive,0.1,variance_ordinale,-0.0334,0.9871,0.6301,0.8928,0.5390,0.1177
agents composite,political_ideology,informee,0.1,entropie,-0.1145,0.9419,0.6452,0.8928,0.5390,0.1177
agents composite,political_ideology,informee,0.1,gini_simpson,-0.0820,0.9605,0.6452,0.8928,0.5390,0.1177
agents composite,political_ideology,informee,0.1,variance_ordinale,-0.0334,0.9871,0.6452,0.8928,0.5390,0.1177
agents composite,political_ideology,naive,0.0,entropie,-0.1362,0.9427,0.6239,0.8925,0.5391,0.1309
agents composite,political_ideology,naive,0.0,gini_simpson,-0.1044,0.9616,0.6239,0.8925,0.5391,0.1309
agents composite,political_ideology,naive,0.0,variance_ordinale,-0.0577,0.9896,0.6239,0.8925,0.5391,0.1309
agents composite,political_ideology,informee,0.0,entropie,-0.1362,0.9427,0.6396,0.8925,0.5391,0.1309
agents composite,political_ideology,informee,0.0,gini_simpson,-0.1044,0.9616,0.6396,0.8925,0.5391,0.1309
agents composite,political_ideology,informee,0.0,variance_ordinale,-0.0577,0.9896,0.6396,0.8925,0.5391,0.1309
agents composite,profil croise,naive,1.0,entropie,1.8945,0.8342,0.6840,0.8932,0.5390,0.0000
agents composite,profil croise,naive,1.0,gini_simpson,1.9920,0.8466,0.6840,0.8932,0.5390,0.0000
agents composite,profil croise,naive,1.0,variance_ordinale,2.2064,0.7595,0.6840,0.8932,0.5390,0.0000
agents composite,profil croise,informee,1.0,entropie,1.8945,0.8342,0.6840,0.8932,0.5390,0.0000
agents composite,profil croise,informee,1.0,gini_simpson,1.9920,0.8466,0.6840,0.8932,0.5390,0.0000
agents composite,profil croise,informee,1.0,variance_ordinale,2.2064,0.7595,0.6840,0.8932,0.5390,0.0000
agents composite,profil croise,naive,0.9,entropie,1.5107,0.8568,0.6781,0.8931,0.5389,0.0123
agents composite,profil croise,naive,0.9,gini_simpson,1.6158,0.8683,0.6781,0.8931,0.5389,0.0123
agents composite,profil croise,naive,0.9,variance_ordinale,1.8048,0.8009,0.6781,0.8931,0.5389,0.0123
agents composite,profil croise,informee,0.9,entropie,1.5107,0.8568,0.6818,0.8931,0.5389,0.0123
agents composite,profil croise,informee,0.9,gini_simpson,1.6158,0.8683,0.6818,0.8931,0.5389,0.0123
