denominateur,ecart_annees,source,n_items,n_personnes,consistance
deux semaines (Stanford),0.038461538461538464,archive OSF t6g7k,118,1052,0.7778968228394665
2006-2010 2006-2008,2.0,2006-2010,118,1536,0.6862962048549802
2006-2010 2008-2010,2.0,2006-2010,118,1276,0.7032836429458039
2008-2012 2008-2010,2.0,2008-2012,118,1581,0.6906692399965467
2008-2012 2010-2012,2.0,2008-2012,118,1294,0.7054738767663692
2010-2014 2010-2012,2.0,2010-2014,118,1551,0.692978609377218
2010-2014 2012-2014,2.0,2010-2014,118,1304,0.7066329885037905
2016-2020 2018-2020,2.0,2016-2020,118,1014,0.681797807976499
2 ans (mise en commun),2.0,quatre panels,118,9556,0.6952673065579212
2006-2010 2006-2010,4.0,2006-2010,118,1276,0.6676095278325238
2008-2012 2008-2012,4.0,2008-2012,118,1294,0.6796211996037473
2010-2014 2010-2014,4.0,2010-2014,118,1304,0.678712656236257
2016-2020 2016-2020,4.0,2016-2020,118,809,0.6702176664571781
4 ans (mise en commun),4.0,quatre panels,118,4683,0.6744708489638022
