configuration,ancrage,camp,n_personnes,effectif_suffisant,D_reel,D_reel_bas,D_reel_haut,D_endo,D_endo_bas,D_endo_haut,D_exo,D_exo_bas,D_exo_haut,plancher,plancher_bas,plancher_haut
demographics_only__gpt41_mini,ideologie,gauche,909,oui,11.78798025575152,7.110062037544859,16.451426013592613,23.44268426842684,18.879903740374036,27.7611303630363,30.965033963713836,25.82373762376238,35.6920432797248,14.432563256325633,13.831020352035202,14.938833883388337
demographics_only__gpt41_mini,ideologie,centre,582,oui,10.308902647951673,8.052547826936372,12.691647756304285,17.35618556701031,11.349987113402056,23.146735395189005,,,,15.810481099656357,15.181954467353952,16.381632302405496
demographics_only__gpt41_mini,ideologie,droite,567,oui,15.798185941043084,8.953701004211204,23.01601563905986,18.839506172839506,12.644664902998237,24.770401234567903,15.796196762533395,12.070511114603525,19.08309480154364,16.10194003527337,15.545282186948853,16.64375661375661
demographics_only__gpt41_mini,parti,gauche,847,oui,11.467275457999019,7.026146704254309,16.077992855938124,22.71027154663518,18.01539256198347,27.02730814639905,29.395095762823036,24.14737591280773,34.2808431938432,14.954073199527746,14.37495277449823,15.452662337662337
demographics_only__gpt41_mini,parti,centre,609,oui,10.109513756241414,7.8710595321872585,12.490454827251096,18.62249589490969,12.454433497536948,24.736486042692942,,,,14.840886699507388,14.236945812807884,15.377019704433499
demographics_only__gpt41_mini,parti,droite,540,oui,16.07688964474679,9.190573439693335,23.44088705323399,18.864814814814814,13.043287037037036,24.524134259259256,16.235890288163016,12.313438907472996,19.711548630241815,16.09722222222222,15.470925925925926,16.656490740740743
json_persona__gpt41,ideologie,gauche,909,oui,6.386460949301929,3.6855739254683524,9.577318088951753,10.334983498349834,8.67922717271727,11.98709570957095,16.810028463163775,12.823450547435698,20.229523111041267,14.432563256325633,13.841911441144113,14.933231573157316
json_persona__gpt41,ideologie,centre,582,oui,12.447858996323125,8.937837731558016,15.670624329997096,7.741580756013745,4.30149054982818,11.512250859106526,,,,15.810481099656357,15.189342783505152,16.370640034364264
json_persona__gpt41,ideologie,droite,567,oui,31.126426231868415,22.767170571932475,38.20336419753086,16.64779541446208,11.32723544973545,21.67846119929453,19.456037508512754,13.472841252379203,25.499561483926165,16.10194003527337,15.561904761904762,16.63564373897707
json_persona__gpt41,parti,gauche,847,oui,6.595477435366118,3.962265117381073,9.716522520460366,9.913223140495868,8.353544864226684,11.686068476977567,15.395449954086317,11.456732574664393,19.03745282915737,14.954073199527746,14.359837662337661,15.445457497048407
json_persona__gpt41,parti,centre,609,oui,12.055953218725916,8.6077938909554,15.25533142320968,8.652545155993431,5.623563218390802,11.718062397372739,,,,14.840886699507388,14.246793924466337,15.372750410509031
json_persona__gpt41,parti,droite,540,oui,31.669556743332258,23.29867488662132,39.188528601123,18.265555555555558,13.175013888888893,23.360777777777777,20.596843106388565,14.566594948401766,26.546469024662205,16.09722222222222,15.493129629629633,16.652226851851854
json_persona__gpt41_mini,ideologie,gauche,410,oui,5.388148818731127,3.092254140915887,8.022480747800342,12.87505090362337,9.199721220288286,16.092879201734355,20.379070990888433,16.129172649771675,24.34825344001587,14.432563256325633,13.825497799779974,14.939933993399341
json_persona__gpt41_mini,ideologie,centre,293,oui,10.940945681051554,7.586798094176727,14.467692829447724,10.105406213715213,6.00569660931471,14.035301698861172,,,,15.810481099656357,15.1941323024055,16.38179553264605
json_persona__gpt41_mini,ideologie,droite,297,oui,21.134295597173494,15.205837772397093,26.709358765297885,9.728860789764743,5.396119675365436,14.541379517532059,10.009110775484327,5.781315656989428,14.92473606682702,16.10194003527337,15.545855379188714,16.632275132275133
json_persona__gpt41_mini,parti,gauche,406,oui,5.3737976460425445,3.0753465968397946,8.164051830255913,12.628045826227643,9.149897816549327,15.686165959741716,19.147716049382716,14.938719135802469,23.138225308641974,14.954073199527746,14.372600354191261,15.448291027154665
json_persona__gpt41_mini,parti,centre,285,oui,11.030233747634393,7.6925032734898435,14.494292440284385,10.25209921355112,6.045240687926715,14.170290381125227,,,,14.840886699507388,14.233981937602627,15.373238916256156
json_persona__gpt41_mini,parti,droite,284,oui,21.493037032442157,15.582812403076735,27.227997642826132,9.967978723404256,5.085017139479907,14.90945193065406,10.973710718681705,6.6041795092399544,15.918936745878234,16.09722222222222,15.475717592592593,16.65149537037037
json_persona_predicted_output__gpt41,ideologie,gauche,904,oui,9.301319370984807,7.238931925488276,11.506769771751943,7.5826127856148435,5.864451131506955,9.303348526777453,13.694695923272619,9.778299796319706,17.869441532635665,14.432563256325633,13.844111661166117,14.93729372937294
json_persona_predicted_output__gpt41,ideologie,centre,581,oui,13.272794969967336,10.597772899176887,15.844063659887365,7.500949009587688,3.870401976092884,11.593628468217496,,,,15.810481099656357,15.195154639175257,16.370622852233677
json_persona_predicted_output__gpt41,ideologie,droite,565,oui,22.455753072404697,16.521733988665,27.45731417219227,7.862360818467013,4.027006976635294,11.92393812333193,10.646731894428381,7.31514897728711,14.720813263627248,16.10194003527337,15.54601410934744,16.628774250440916
json_persona_predicted_output__gpt41,parti,gauche,843,oui,9.244044074162458,7.2403432572825785,11.442496697204556,7.406161023275226,5.521985137692029,9.425000941849053,12.571864373270065,8.448426436667985,16.896832888493478,14.954073199527746,14.369864226682406,15.439105667060213
json_persona_predicted_output__gpt41,parti,centre,607,oui,13.021837551212531,10.433096807091863,15.582827139799203,8.304578764983242,5.046699027222092,11.80775942547672,,,,14.840886699507388,14.249737274220033,15.378489326765187
json_persona_predicted_output__gpt41,parti,droite,538,oui,23.0094376465403,16.931344169638116,28.19387052431169,9.385095002065265,5.824212446647392,13.188142709624124,11.71638255289827,8.132330415022627,15.894366054695562,16.09722222222222,15.468703703703705,16.64094444444444
llm_finetuning_500_training_samples__gpt41_mini,ideologie,gauche,724,oui,17.511483283131724,12.147688980880435,22.683654475997187,6.628393778604381,3.1589190963295244,10.558149482765955,8.44935299677473,5.758346877527355,11.17570965730266,14.432563256325633,13.845728822882288,14.93960671067107
llm_finetuning_500_training_samples__gpt41_mini,ideologie,centre,446,oui,20.236212614450007,14.08100200682451,25.839306523378088,9.690235464533924,5.231790639976579,14.202333726287886,,,,15.810481099656357,15.18041237113402,16.374570446735394
