condition,item,classe_norc,seuil,n,masse_humaine,masse_predite,cellules_minoritaires,minorites_justes,cellules_predites_minoritaires,rappel_item,perimetre
agents composite,natspac/y,mixte,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,natenvir/y,temoin,0.100000,150,0.093333,0.233333,14,9,35,0.642857,150
agents composite,natheal/y,mixte,0.100000,150,0.046667,0.046667,7,1,7,0.142857,150
agents composite,natcity/y,mixte,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,natdrug/y,temoin,0.100000,150,0.093333,0.093333,14,8,14,0.571429,150
agents composite,nateduc/y,temoin,0.100000,150,0.060000,0.066667,9,3,10,0.333333,150
agents composite,natrace/y,sensible,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,natarms/y,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,nataid/y,temoin,0.100000,150,0.060000,0.120000,9,3,18,0.333333,150
agents composite,natfare/y,mixte,0.100000,150,0.066667,0.226667,10,8,34,0.800000,150
agents composite,natroad,sensible,0.100000,150,0.046667,0.053333,7,0,8,0.000000,150
agents composite,natsoc,temoin,0.100000,150,0.033333,0.066667,5,1,10,0.200000,150
agents composite,natmass,temoin,0.100000,150,0.066667,0.153333,10,3,23,0.300000,150
agents composite,natpark,temoin,0.100000,150,0.073333,0.113333,11,1,17,0.090909,150
agents composite,natchld,sensible,0.100000,150,0.080000,0.146667,12,7,22,0.583333,150
agents composite,natsci,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,natenrgy,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,uswary,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,prayer,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,courts,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,discaffw,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,discaffm,non teste,0.100000,150,0.080000,0.040000,12,1,6,0.083333,150
agents composite,fehire,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,fechld,temoin,0.100000,150,0.033333,0.026667,5,1,4,0.200000,150
agents composite,fepresch,investiguer,0.100000,150,0.053333,0.026667,8,2,4,0.250000,150
agents composite,fefam,investiguer,0.100000,150,0.086667,0.026667,13,3,4,0.230769,150
agents composite,fepol,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,mobile16,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,incom16,temoin,0.100000,150,0.086667,0.060000,13,2,9,0.153846,150
agents composite,dwelown16,non teste,0.100000,150,0.040000,0.046667,6,3,7,0.500000,150
agents composite,divorced,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,posslq/y,temoin,0.100000,150,0.053333,0.060000,8,6,9,0.750000,150
agents composite,wrkstat,temoin,0.100000,150,0.073333,0.126667,11,8,19,0.727273,150
agents composite,evwork,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,wrkgovt1,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,wrkgovt2,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,partfull,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,wksub1,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,wksup1,non teste,0.100000,150,0.000000,0.000000,0,0,0,,150
agents composite,conarmy,investiguer,0.100000,150,0.066667,0.080000,10,3,12,0.300000,150
agents composite,conbus,temoin,0.100000,150,0.000000,0.000000,0,0,0,,150
