variable,role,libelle,n_observations,n_menages,part_renseignee,min,p1,mediane,moyenne,p99,max,borne_winsor_basse,borne_winsor_haute,mois_couverts,mois_sous_100_menages,C4_mois
infl1,primaire,"inflation a un an, moyenne de la densite",81183,10884,0.9836190706972799,-36.284271240234375,-8.0,3.5724170207977295,4.829685357790277,25.0,36.284271240234375,-4.910983753204346,25.0,70,0,True
infl3,primaire,"inflation a trois ans, moyenne de la densite",81178,10880,0.9835584903374326,-36.284271240234375,-10.0,3.0,3.716731406021231,25.0,36.284271240234375,-7.095107374191285,25.0,70,0,True
revenu,primaire,croissance attendue du revenu du menage,82349,10965,0.9977464106136791,-400.0,-50.0,3.0,5.757281460590763,100.0,10000.0,-30.0,50.0,70,0,True
depense,primaire,croissance attendue de la depense du menage,82392,10968,0.9982674017083661,-100.0,-50.0,5.0,6.072460797176898,50.0,2000.0,-30.0,50.0,70,0,True
logement,primaire,variation attendue du prix du logement,82372,10968,0.9980250802689768,-100.0,-25.0,5.0,5.2779551303734795,50.0,999.0,-20.0,44.0,70,0,True
perte_emploi,primaire,probabilite de perdre son emploi,50530,7258,0.6122251166171927,0.0,0.0,5.0,13.129012467840887,97.70999999999913,100.0,0.0,100.0,70,0,True
chomage,primaire,probabilite que le chomage augmente,82482,10974,0.9993578481856182,0.0,0.0,40.0,38.97642515942872,100.0,100.0,0.0,100.0,70,0,True
infl1_var,secondaire,"incertitude d'inflation, variance de la densite",81183,10884,0.9836190706972799,0.1289515346288681,0.27649369835853577,4.860568046569824,20.327052688154954,212.12728881835938,481.0125427246094,0.3333333134651184,133.6912384033203,70,0,True
infl1_iqr,secondaire,"incertitude d'inflation, ecart interquartile de la densite",81183,10884,0.9836190706972799,0.4649786949157715,0.7544974088668823,3.257065773010254,5.01518531101614,24.742130279541016,37.97996520996094,0.8409657764434815,18.360417022705082,70,0,True
infl1_point,secondaire,prevision ponctuelle d'inflation a un an,82239,10953,0.9964136426970376,-100.0,-30.0,5.0,7.1499697698062095,70.0,10000.0,-20.0,50.0,70,0,True
fin_avant,secondaire,situation financiere comparee a douze mois plus tot,82467,10973,0.9991761071060762,1.0,1.0,3.0,2.892272060339287,5.0,5.0,1.0,5.0,70,0,True
fin_apres,secondaire,situation financiere attendue dans douze mois,82477,10973,0.9992972678257709,1.0,1.0,3.0,3.0774033973107655,5.0,5.0,1.0,5.0,70,0,True
