item,famille,retenu,n_gauche,n_centre,n_droite,gs_gauche,gs_centre,gs_droite,h_gauche,h_centre,h_droite,ratio_droite_gauche,ic_bas,ic_haut,p_permutation,p_holm,p_bh
natspac/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.605861,0.596136,0.614039,1.460871,1.436644,1.473830,1.013498,0.946898,1.086323,0.699915,1.000000,0.750269
natenvir/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.251234,0.444211,0.664780,0.672560,1.091616,1.580780,2.646063,2.198050,3.348063,0.000050,0.007450,0.000110
natheal/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.297593,0.438266,0.548411,0.807294,1.000287,1.325318,1.842825,1.553128,2.302711,0.000050,0.007450,0.000110
natcity/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.578537,0.619151,0.589251,1.390204,1.488868,1.402756,1.018519,0.949056,1.096353,0.429729,1.000000,0.512236
natdrug/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.466957,0.542719,0.609544,1.101269,1.255557,1.455822,1.305353,1.194421,1.437142,0.000050,0.007450,0.000110
nateduc/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.329436,0.462177,0.570324,0.842114,1.121557,1.386957,1.731210,1.466680,2.061257,0.000050,0.007450,0.000110
natrace/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.518435,0.633838,0.592345,1.212575,1.511227,1.398741,1.142564,1.066643,1.236713,0.000050,0.007450,0.000110
natarms/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.536040,0.618954,0.632166,1.244045,1.483362,1.503772,1.179325,1.109446,1.256804,0.000050,0.007450,0.000110
nataid/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.572726,0.395821,0.249463,1.338111,0.950409,0.685849,0.435571,0.331529,0.527379,0.000050,0.007450,0.000110
natfare/y,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.285764,0.408804,0.619790,0.742325,1.022140,1.485053,2.168891,1.830151,2.590580,0.000050,0.007450,0.000110
natroad,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.554464,0.577339,0.545718,1.297261,1.346344,1.270184,0.984225,0.914355,1.058453,0.667867,1.000000,0.748211
natsoc,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.426282,0.465325,0.492684,0.971438,1.031408,1.185209,1.155769,1.009663,1.323571,0.033448,1.000000,0.050855
natmass,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.508751,0.552139,0.571780,1.150950,1.316390,1.388703,1.123890,1.023655,1.221008,0.000050,0.007450,0.000110
natpark,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.508670,0.437873,0.500837,1.166667,1.080930,1.236800,0.984601,0.873850,1.097011,0.781861,1.000000,0.818142
natchld,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.430202,0.553057,0.626069,1.022380,1.266014,1.487183,1.455291,1.320158,1.626850,0.000050,0.007450,0.000110
natsci,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.541805,0.521321,0.564117,1.222199,1.236294,1.379363,1.041182,0.950655,1.122948,0.283236,1.000000,0.351684
natenrgy,depenses publiques (nat*),True,417.000000,303.000000,332.000000,0.465689,0.578563,0.661231,1.078846,1.348278,1.573713,1.419898,1.306717,1.551649,0.000050,0.007450,0.000110
uswary,residu : social,True,417.000000,303.000000,332.000000,0.497256,0.495705,0.477924,0.996043,0.993807,0.967976,0.961122,0.906242,1.007121,0.000050,0.007450,0.000110
prayer,residu : social,True,417.000000,303.000000,332.000000,0.229547,0.464013,0.501511,0.564341,0.947555,1.002173,2.184783,1.827472,2.795546,0.000050,0.007450,0.000110
courts,residu : social,True,417.000000,303.000000,332.000000,0.660510,0.583481,0.429149,1.572016,1.392639,1.096297,0.649723,0.560991,0.725329,0.000050,0.007450,0.000110
discaffw,residu : social,True,417.000000,303.000000,332.000000,0.633047,0.698708,0.724948,1.633826,1.852517,1.920072,1.145172,1.093626,1.213022,0.000050,0.007450,0.000110
discaffm,residu : social,True,417.000000,303.000000,332.000000,0.621218,0.693113,0.720016,1.565703,1.819609,1.915373,1.159038,1.105656,1.216360,0.000050,0.007450,0.000110
fehire,roles de genre (fe*),True,417.000000,303.000000,332.000000,0.706846,0.732433,0.780566,1.930294,2.065192,2.246852,1.104295,1.068236,1.145152,0.000050,0.007450,0.000110
fechld,roles de genre (fe*),True,417.000000,303.000000,332.000000,0.584152,0.633445,0.667055,1.401036,1.614493,1.731657,1.141920,1.081528,1.201735,0.000050,0.007450,0.000110
fepresch,roles de genre (fe*),True,417.000000,303.000000,332.000000,0.611038,0.609075,0.691752,1.522551,1.574965,1.818508,1.132093,1.072506,1.194841,0.000050,0.007450,0.000110
fefam,roles de genre (fe*),True,417.000000,303.000000,332.000000,0.615973,0.666492,0.714756,1.539079,1.738038,1.895549,1.160370,1.110775,1.215081,0.000050,0.007450,0.000110
fepol,roles de genre (fe*),True,417.000000,303.000000,332.000000,0.158135,0.366970,0.488243,0.425833,0.798954,0.983004,3.087506,2.433068,4.338201,0.000050,0.007450,0.000110
mobile16,residu : hors axe,True,417.000000,303.000000,332.000000,0.658366,0.660722,0.665908,1.567575,1.572370,1.583230,1.011457,0.990810,1.032296,0.150292,1.000000,0.199943
incom16,residu : economique,True,417.000000,303.000000,332.000000,0.679014,0.650252,0.639956,1.819294,1.780518,1.759618,0.942477,0.879330,1.006369,0.073996,1.000000,0.105004
dwelown16,residu : hors axe,True,417.000000,303.000000,332.000000,0.431609,0.472887,0.393313,0.987312,1.089391,0.940261,0.911273,0.778240,1.064859,0.228639,1.000000,0.288705
divorced,residu : hors axe,True,417.000000,303.000000,332.000000,0.355285,0.410727,0.467859,0.780117,0.867364,0.953214,1.316857,1.168548,1.533313,0.000200,0.014999,0.000387
posslq/y,residu : hors axe,True,417.000000,303.000000,332.000000,0.666459,0.678513,0.642831,1.756121,1.768611,1.656992,0.964547,0.911953,1.021064,0.178491,1.000000,0.235355
wrkstat,residu : hors axe,True,417.000000,303.000000,332.000000,0.797120,0.792341,0.762075,2.595111,2.567536,2.454494,0.956036,0.903665,1.004869,0.072546,1.000000,0.103937
evwork,residu : hors axe,True,417.000000,303.000000,332.000000,0.146098,0.199899,0.092018,0.400860,0.508931,0.280843,0.629833,0.343192,1.087275,0.071296,1.000000,0.103138
wrkgovt1,residu : hors axe,True,417.000000,303.000000,332.000000,0.267086,0.258387,0.277272,0.631893,0.616745,0.649859,1.038137,0.782663,1.357860,0.762512,1.000000,0.811530
wrkgovt2,residu : hors axe,True,417.000000,303.000000,332.000000,0.370434,0.487443,0.390784,0.804343,0.981847,0.836459,1.054934,0.897889,1.259459,0.551122,1.000000,0.636568
partfull,residu : hors axe,True,417.000000,303.000000,332.000000,0.642940,0.635674,0.605595,1.535153,1.513616,1.451336,0.941915,0.883839,0.994297,0.029649,1.000000,0.046017
wksub1,residu : hors axe,True,417.000000,303.000000,332.000000,0.639757,0.645510,0.619972,1.521916,1.535666,1.472465,0.969074,0.924074,1.012794,0.149643,1.000000,0.199943
wksup1,residu : hors axe,True,417.000000,303.000000,332.000000,0.626026,0.625314,0.647163,1.487580,1.484331,1.539203,1.033763,0.994779,1.073511,0.098795,1.000000,0.137574
conarmy,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.614266,0.591305,0.552379,1.455283,1.389614,1.266228,0.899249,0.849371,0.953459,0.000050,0.007450,0.000110
conbus,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.583379,0.556335,0.525898,1.368353,1.339889,1.299168,0.901468,0.813745,0.984930,0.011199,0.638368,0.017943
conclerg,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.521433,0.572072,0.633440,1.249791,1.334034,1.513906,1.214807,1.126869,1.322281,0.000050,0.007450,0.000110
coneduc,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.519669,0.556007,0.601700,1.221985,1.359731,1.446492,1.157852,1.062904,1.256991,0.001600,0.099195,0.002709
confed,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.591335,0.592398,0.538183,1.426959,1.394413,1.258339,0.910116,0.840949,0.982551,0.000200,0.014999,0.000387
confinan,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.597560,0.583350,0.566174,1.434736,1.417394,1.382943,0.947476,0.859827,1.028576,0.206390,1.000000,0.267409
conjudge,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.536513,0.604878,0.629254,1.240870,1.447382,1.500555,1.172859,1.110390,1.251939,0.000050,0.007450,0.000110
conlabor,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.561151,0.536009,0.583191,1.322375,1.324451,1.370077,1.039276,0.976908,1.106782,0.279836,1.000000,0.350383
conlegis,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.541644,0.582825,0.539202,1.216877,1.362594,1.240782,0.995492,0.930010,1.054741,0.873956,1.000000,0.885847
conmedic,confiance dans les institutions (con*),True,417.000000,303.000000,332.000000,0.516072,0.578760,0.619372,1.182965,1.372139,1.480048,1.200166,1.126580,1.293054,0.000050,0.007450,0.000110
