A,B,C,R1,R1_brut,R1_nul,n_triplets,R2,R2_p10,se_nul_A,se_nul_B,se_nul_C,se_nul_R1,se_nul_R2,source,taux,tirage
-0.04559878118601457,0.03469278783395693,0.035456273764258556,0.0032613134632507937,0.03810197860002518,0.03484066513677438,20000,0.3399214025059331,0.2818791946308725,0.00178702609548065,7.058874174104704e-05,0.0,9.351846560280948e-05,0.0,A* deux cibles,0.05,0
-0.04559717971564714,0.034374057275970454,0.035551330798479094,0.00305978891750177,0.03792412579059601,0.03486433687309424,20000,0.3410697425166509,0.2818791946308725,0.0010569168762337984,5.834318231054098e-05,0.0,6.246947191942464e-05,0.0,A* deux cibles,0.05,1
-0.04494970052916203,0.03442198569708307,0.034885931558935365,0.00330053766568502,0.038089025765657425,0.034788488099972405,20000,0.34133768851915175,0.2818791946308725,0.0012618329740452087,0.00012443576315906605,0.0,6.075011191027692e-05,0.0,A* deux cibles,0.05,2
-0.04697816891136286,0.03462250702675259,0.035361216730038024,0.0032591167837381363,0.03798168897628784,0.034722572192549706,20000,0.340737999846888,0.2818791946308725,0.0009890637732189382,0.00010390754088969869,0.0,6.637150610579167e-05,0.0,A* deux cibles,0.05,3
-0.047156524695255,0.03400225144564736,0.03517110266159696,0.003348279123504959,0.03806274011731148,0.03471446099380652,20000,0.3408400745145073,0.2818791946308725,0.0016792429483582232,0.00010843670882655571,0.0,7.030235016546606e-05,0.0,A* deux cibles,0.05,4
-0.04671159656053925,0.0337437827123302,0.03498098859315589,0.003245850714544453,0.038023628294467926,0.03477777757992347,20000,0.3414525225202235,0.2818791946308725,0.0017248000680310162,8.122303371282125e-05,0.0,6.542480750103944e-05,0.0,A* deux cibles,0.05,5
-0.04524869363266881,0.03438643779470122,0.03431558935361217,0.0028292390828331335,0.037573203444480896,0.03474396436164776,20000,0.34193737719141554,0.2818791946308725,0.0009890836181913705,0.00011558044141345432,0.0,5.646126943143123e-05,0.0,A* deux cibles,0.05,6
-0.04752657896014356,0.03454398445487444,0.03526615969581749,0.0030618005742629392,0.03793409466743469,0.03487229409317175,20000,0.33995968050629033,0.2818791946308725,0.0018247185296064844,9.074054588094776e-05,0.0,6.447152333345628e-05,0.0,A* deux cibles,0.05,7
-0.050033433148239825,0.03448804379155456,0.03507604562737642,0.0032763751223683357,0.03818244859576225,0.03490607347339392,19582,0.34077627784724523,0.2818791946308725,0.0012008698606388506,8.803054977162396e-05,0.0,8.553092272966721e-05,0.0,A* deux cibles,0.05,8
-0.04389695695559925,0.03453746355898032,0.03431558935361217,0.003258582204580307,0.03821675851941109,0.03495817631483078,20000,0.34158011585474773,0.2818791946308725,0.0015054751069404515,9.770867622967918e-05,0.0,8.528696586057825e-05,0.0,A* deux cibles,0.05,9
-0.04395732298739108,0.03487013092783597,0.03526615969581749,0.0034690561393896716,0.038237109780311584,0.03476805364092191,20000,0.3408145558476025,0.2818791946308725,0.001966608691606635,0.00011774833176597011,0.0,8.427267266677827e-05,0.0,A* deux cibles,0.05,10
-0.048564544689250755,0.03392018667654109,0.03517110266159696,0.0033012572675943375,0.03814409300684929,0.03484283573925495,20000,0.3409038711817694,0.2818791946308725,0.0015688779490692513,0.00012921528510768514,0.0,5.9028010198447655e-05,0.0,A* deux cibles,0.05,11
-0.042708151255607674,0.034526185905461214,0.03498098859315589,0.0031747290243705137,0.03806263953447342,0.034887910510102906,20000,0.340891111848317,0.2818791946308725,0.0009396570658665338,0.0001095928178408813,0.0,6.80797226473819e-05,0.0,A* deux cibles,0.05,12
