perimetre,seuil,condition,classe,cellules_minoritaires,raretes_osees,rappel,precision,f1,rappel_ic_bas,rappel_ic_haut,precision_ic_bas,precision_ic_haut,plancher_item,exces_item,exces_item_ic_bas,exces_item_ic_haut,exces_item_p,plancher_segment,exces_segment,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p,plancher_humains vague 2,exces_humains vague 2,exces_humains vague 2_ic_bas,exces_humains vague 2_ic_haut,exces_humains vague 2_p
1052,0.100000,humains vague 2,rarete stable,3130,3130,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.064166,0.935834,0.934904,0.936768,0.000250,0.109429,0.890571,0.883591,0.897238,0.000250,1.000000,0.000000,0.000000,0.000000,1.000000
1052,0.100000,humains vague 2,rarete instable,2579,2769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059951,-0.059951,-0.060893,-0.058977,0.000250,0.072837,-0.072837,-0.076955,-0.068788,0.000250,0.000000,0.000000,0.000000,0.000000,1.000000
1052,0.100000,humains vague 2,ensemble,5709,5899,0.548257,0.530598,0.539283,0.531037,0.564430,0.511673,0.548636,0.062262,0.485995,0.468994,0.502100,0.000250,0.092714,0.450501,0.433653,0.466913,0.000250,0.548257,0.000000,0.000000,0.000000,1.000000
1052,0.100000,agents composite,rarete stable,3130,3817,0.407668,0.334294,0.367353,0.385090,0.430215,0.315600,0.352941,0.064166,0.343501,0.321316,0.365753,0.000250,0.109429,0.289060,0.267292,0.311277,0.000250,1.000000,-0.592332,-0.614910,-0.569785,0.000250
1052,0.100000,agents composite,rarete instable,2579,1603,0.184568,0.296943,0.227642,0.167763,0.201315,0.273072,0.320427,0.059951,0.124617,0.108252,0.141217,0.000250,0.072837,0.109955,0.092917,0.126441,0.000250,0.000000,0.184568,0.167763,0.201315,0.000250
1052,0.100000,agents composite,ensemble,5709,5420,0.306884,0.323247,0.314853,0.290326,0.323851,0.307593,0.338698,0.062262,0.244622,0.228044,0.261397,0.000250,0.092714,0.207247,0.191601,0.223409,0.000250,0.548257,-0.241373,-0.258776,-0.224352,0.000250
1052,0.100000,agents entretien (v3),rarete stable,3130,4051,0.372204,0.287583,0.324467,0.350724,0.393701,0.269683,0.306274,0.064166,0.308038,0.286599,0.329525,0.000250,0.109429,0.257742,0.236261,0.278558,0.000250,1.000000,-0.627796,-0.649276,-0.606299,0.000250
1052,0.100000,agents entretien (v3),rarete instable,2579,1757,0.202016,0.296528,0.240314,0.184531,0.219241,0.274137,0.319569,0.059951,0.142066,0.124727,0.159033,0.000250,0.072837,0.123653,0.105493,0.140991,0.000250,0.000000,0.202016,0.184531,0.219241,0.000250
1052,0.100000,agents entretien (v3),ensemble,5709,5808,0.295323,0.290289,0.292785,0.279215,0.311183,0.275146,0.305643,0.062262,0.233061,0.217282,0.248636,0.000250,0.092714,0.196492,0.180692,0.211815,0.000250,0.548257,-0.252934,-0.270799,-0.235924,0.000250
1052,0.100000,agents enquete,rarete stable,3130,4166,0.284665,0.213874,0.244243,0.262366,0.307301,0.196516,0.231605,0.064166,0.220498,0.198471,0.242963,0.000250,0.109429,0.164869,0.142274,0.187626,0.000250,1.000000,-0.715335,-0.737634,-0.692699,0.000250
1052,0.100000,agents enquete,rarete instable,2579,1474,0.164793,0.288331,0.209721,0.148366,0.182957,0.263915,0.313180,0.059951,0.104842,0.088548,0.122728,0.000250,0.072837,0.082985,0.065829,0.100177,0.000250,0.000000,0.164793,0.148366,0.182957,0.000250
1052,0.100000,agents enquete,ensemble,5709,5640,0.230513,0.233333,0.231915,0.214220,0.247207,0.218314,0.248274,0.062262,0.168251,0.152060,0.184877,0.000250,0.092714,0.127466,0.111351,0.143832,0.000250,0.548257,-0.317744,-0.336309,-0.299074,0.000250
1052,0.100000,agents demographiques (v6),rarete stable,3130,1748,0.168690,0.302059,0.216482,0.153096,0.185270,0.277590,0.326988,0.064166,0.104524,0.088639,0.121308,0.000250,0.109429,0.063358,0.044532,0.083208,0.000250,1.000000,-0.831310,-0.846904,-0.814730,0.000250
1052,0.100000,agents demographiques (v6),rarete instable,2579,833,0.154711,0.478992,0.233880,0.142353,0.167361,0.448226,0.510311,0.059951,0.094760,0.082243,0.107703,0.000250,0.072837,0.083413,0.069389,0.097373,0.000250,0.000000,0.154711,0.142353,0.167361,0.000250
1052,0.100000,agents demographiques (v6),ensemble,5709,2581,0.162375,0.359163,0.223643,0.152100,0.173048,0.340229,0.377911,0.062262,0.100113,0.089639,0.110781,0.000250,0.092714,0.072519,0.060418,0.084695,0.000250,0.548257,-0.385882,-0.405138,-0.365806,0.000250
1052,0.100000,agents v7,rarete stable,3130,2252,0.086262,0.119893,0.100334,0.072052,0.100944,0.101373,0.138410,0.064166,0.022095,0.008079,0.036588,0.001000,0.109429,-0.026635,-0.040242,-0.012875,0.000500,1.000000,-0.913738,-0.927948,-0.899056,0.000250
1052,0.100000,agents v7,rarete instable,2579,687,0.044203,0.165939,0.069810,0.035411,0.053268,0.135836,0.196456,0.059951,-0.015747,-0.024468,-0.006793,0.001500,0.072837,-0.029172,-0.039072,-0.019582,0.000250,0.000000,0.044203,0.035411,0.053268,0.000250
1052,0.100000,agents v7,ensemble,5709,2939,0.067262,0.130657,0.088807,0.058009,0.076677,0.114399,0.146505,0.062262,0.005000,-0.004330,0.014461,0.321500,0.092714,-0.027794,-0.036812,-0.019146,0.000250,0.548257,-0.480995,-0.498022,-0.463067,0.000250
1052,0.100000,agents v8,rarete stable,3130,4886,0.207668,0.133033,0.162176,0.185124,0.230307,0.118662,0.148949,0.064166,0.143501,0.121037,0.165945,0.000250,0.109429,0.075597,0.057692,0.094731,0.000250,1.000000,-0.792332,-0.814876,-0.769693,0.000250
1052,0.100000,agents v8,rarete instable,2579,1723,0.127957,0.191526,0.153417,0.111791,0.144502,0.170900,0.213378,0.059951,0.068006,0.052027,0.084390,0.000250,0.072837,0.040605,0.025351,0.055842,0.000250,0.000000,0.127957,0.111791,0.144502,0.000250
1052,0.100000,agents v8,ensemble,5709,6609,0.171659,0.148283,0.159117,0.155230,0.188575,0.135493,0.161915,0.062262,0.109397,0.093213,0.126066,0.000250,0.092714,0.059613,0.045990,0.074380,0.000250,0.548257,-0.376598,-0.395971,-0.356926,0.000250
1052,0.100000,PMM k=5,rarete stable,3130,2902,0.267732,0.288766,0.277851,0.247206,0.288200,0.267297,0.309890,0.064166,0.203565,0.183235,0.223675,0.000250,0.109429,0.150471,0.131032,0.170608,0.000250,1.000000,-0.732268,-0.752794,-0.711800,0.000250
1052,0.100000,PMM k=5,rarete instable,2579,1266,0.148119,0.301738,0.198700,0.131826,0.165231,0.273960,0.330522,0.059951,0.088169,0.071984,0.105239,0.000250,0.072837,0.064578,0.048267,0.081193,0.000250,0.000000,0.148119,0.131826,0.165231,0.000250
1052,0.100000,PMM k=5,ensemble,5709,4168,0.213698,0.292706,0.247039,0.198552,0.229304,0.274409,0.310412,0.062262,0.151436,0.136532,0.166950,0.000250,0.092714,0.111236,0.097107,0.126192,0.000250,0.548257,-0.334559,-0.352734,-0.315522,0.000250
1052,0.100000,PMM k=10,rarete stable,3130,2855,0.266773,0.292469,0.279031,0.247326,0.287348,0.271884,0.313889,0.064166,0.202607,0.183648,0.222882,0.000250,0.109429,0.149391,0.130817,0.169293,0.000250,1.000000,-0.733227,-0.752674,-0.712652,0.000250
1052,0.100000,PMM k=10,rarete instable,2579,1266,0.146956,0.299368,0.197139,0.131620,0.162941,0.272883,0.327382,0.059951,0.087006,0.071945,0.102849,0.000250,0.072837,0.065006,0.049737,0.081012,0.000250,0.000000,0.146956,0.131620,0.162941,0.000250
1052,0.100000,PMM k=10,ensemble,5709,4121,0.212647,0.294589,0.246999,0.198563,0.227643,0.277066,0.312318,0.062262,0.150385,0.136375,0.165132,0.000250,0.092714,0.110845,0.097444,0.125083,0.000250,0.548257,-0.335610,-0.353415,-0.316763,0.000250
1052,0.100000,IM m=10 mode des m,rarete stable,3130,1379,0.170927,0.387962,0.237303,0.154890,0.187222,0.358024,0.417238,0.064166,0.106760,0.091056,0.122647,0.000250,0.109429,0.051839,0.036779,0.067571,0.000250,1.000000,-0.829073,-0.845110,-0.812778,0.000250
1052,0.100000,IM m=10 mode des m,rarete instable,2579,660,0.074060,0.289394,0.117938,0.063002,0.085682,0.252264,0.326211,0.059951,0.014109,0.003215,0.025541,0.010500,0.072837,-0.003487,-0.015104,0.008505,0.552000,0.000000,0.074060,0.063002,0.085682,0.000250
1052,0.100000,IM m=10 mode des m,ensemble,5709,2039,0.127168,0.356057,0.187403,0.115868,0.138657,0.331216,0.380462,0.062262,0.064906,0.053789,0.076028,0.000250,0.092714,0.026567,0.015982,0.037432,0.000250,0.548257,-0.421090,-0.437676,-0.403682,0.000250
1052,0.100000,B2 argmax,rarete stable,3130,304,0.051757,0.532895,0.094351,0.041464,0.062870,0.464410,0.595376,0.064166,-0.012409,-0.022520,-0.001587,0.026500,0.109429,-0.059033,-0.070211,-0.047526,0.000250,1.000000,-0.948243,-0.958536,-0.937130,0.000250
1052,0.100000,B2 argmax,rarete instable,2579,113,0.016285,0.371681,0.031204,0.011389,0.021783,0.280702,0.465517,0.059951,-0.043665,-0.048483,-0.038401,0.000250,0.072837,-0.056998,-0.062724,-0.050793,0.000250,0.000000,0.016285,0.011389,0.021783,0.000250
1052,0.100000,B2 argmax,ensemble,5709,417,0.035733,0.489209,0.066601,0.029118,0.042978,0.433671,0.543767,0.062262,-0.026529,-0.033010,-0.019396,0.000250,0.092714,-0.058103,-0.065179,-0.050823,0.000250,0.548257,-0.512524,-0.528038,-0.495905,0.000250
1052,0.100000,B1 argmax,rarete stable,3130,1074,0.080192,0.233706,0.119410,0.069617,0.090966,0.206551,0.261126,0.064166,0.016025,0.005574,0.026538,0.001500,0.109429,-0.035275,-0.044650,-0.026103,0.000250,1.000000,-0.919808,-0.930383,-0.909034,0.000250
1052,0.100000,B1 argmax,rarete instable,2579,422,0.031020,0.189573,0.053316,0.024096,0.038298,0.151280,0.230001,0.059951,-0.028931,-0.035747,-0.021688,0.000250,0.072837,-0.045439,-0.052337,-0.038618,0.000250,0.000000,0.031020,0.024096,0.038298,0.000250
1052,0.100000,B1 argmax,ensemble,5709,1496,0.057979,0.221257,0.091881,0.050901,0.065240,0.198397,0.245149,0.062262,-0.004283,-0.011283,0.002737,0.235500,0.092714,-0.039918,-0.046122,-0.033847,0.000250,0.548257,-0.490279,-0.506793,-0.473086,0.000250
1052,0.100000,B3 foret,rarete stable,3130,137,0.022364,0.510949,0.042853,0.017494,0.027804,0.428571,0.595046,0.064166,-0.041802,-0.046738,-0.036326,0.000250,0.109429,-0.087830,-0.094207,-0.081329,0.000250,1.000000,-0.977636,-0.982506,-0.972196,0.000250
1052,0.100000,B3 foret,rarete instable,2579,70,0.004653,0.171429,0.009060,0.002267,0.007442,0.086414,0.268302,0.059951,-0.055298,-0.057865,-0.052428,0.000250,0.072837,-0.068128,-0.072464,-0.063520,0.000250,0.000000,0.004653,0.002267,0.007442,0.000250
1052,0.100000,B3 foret,ensemble,5709,207,0.014363,0.396135,0.027721,0.011347,0.017547,0.330095,0.463640,0.062262,-0.047899,-0.050973,-0.044686,0.000250,0.092714,-0.078830,-0.083175,-0.074452,0.000250,0.548257,-0.533894,-0.550517,-0.516701,0.000250
1052,0.100000,B0 tirage,rarete stable,3130,4321,0.060383,0.043740,0.050731,0.051914,0.068812,0.037306,0.050187,0.064166,-0.003783,-0.012236,0.004637,0.377500,0.109429,-0.048233,-0.059253,-0.037044,0.000250,1.000000,-0.939617,-0.948086,-0.931188,0.000250
1052,0.100000,B0 tirage,rarete instable,2579,1378,0.063203,0.118287,0.082386,0.053857,0.072616,0.101148,0.135858,0.059951,0.003252,-0.006112,0.012641,0.504000,0.072837,-0.011621,-0.021846,-0.001296,0.026000,0.000000,0.063203,0.053857,0.072616,0.000250
1052,0.100000,B0 tirage,ensemble,5709,5699,0.061657,0.061765,0.061711,0.055565,0.067826,0.055408,0.068434,0.062262,-0.000605,-0.006723,0.005649,0.838000,0.092714,-0.031509,-0.039178,-0.023686,0.000250,0.548257,-0.486600,-0.503727,-0.468871,0.000250
1052,0.100000,B0 mode,rarete stable,3130,0,0.000000,,0.000000,0.000000,0.000000,,,0.064166,-0.064166,-0.065096,-0.063232,0.000250,0.109429,-0.109429,-0.116409,-0.102762,0.000250,1.000000,-1.000000,-1.000000,-1.000000,0.000250
1052,0.100000,B0 mode,rarete instable,2579,0,0.000000,,0.000000,0.000000,0.000000,,,0.059951,-0.059951,-0.060893,-0.058977,0.000250,0.072837,-0.072837,-0.076955,-0.068788,0.000250,0.000000,0.000000,0.000000,0.000000,1.000000
1052,0.100000,B0 mode,ensemble,5709,0,0.000000,,0.000000,0.000000,0.000000,,,0.062262,-0.062262,-0.062924,-0.061576,0.000250,0.092714,-0.092714,-0.097174,-0.088230,0.000250,0.548257,-0.548257,-0.564430,-0.531037,0.000250
1052,0.200000,humains vague 2,rarete stable,11153,11153,1.000000,1.000000,1.000000,,,,,0.130495,0.869505,,,,0.178492,0.821508,,,,1.000000,0.000000,,,
1052,0.200000,humains vague 2,rarete instable,7258,7365,0.000000,0.000000,0.000000,,,,,0.120519,-0.120519,,,,0.138026,-0.138026,,,,0.000000,0.000000,,,
1052,0.200000,humains vague 2,ensemble,18411,18518,0.605779,0.602279,0.604024,,,,,0.126562,0.479217,,,,0.162376,0.439365,,,,0.605779,0.000000,,,
1052,0.200000,agents composite,rarete stable,11153,11249,0.450731,0.446884,0.448799,,,,,0.130495,0.320236,,,,0.178492,0.265885,,,,1.000000,-0.549269,,,
