cle_modele,identite,n_cellules,alpha_median,alpha_moyen
q4,journaliste,445,0.339020979020979,0.17245034548581345
q4,adversaire,445,0.30462005089212685,0.14621274235481832
q4nogab,journaliste,445,0.38452164495995905,0.43804704786807147
q4nogab,adversaire,444,0.3412495277555342,0.21737433854568802
q4base,journaliste,445,0.26406332453825854,0.2856330928751965
q4base,adversaire,445,0.2514327979712596,0.178008653959934
q4hyb,journaliste,435,0.2625448592835105,0.5266333740746444
q4hyb,adversaire,433,0.2586046511627907,0.5533757992075359
