cible,axe,modele,n_cellules,r2
tau,camp,M1,354.0,-17.511264308835727
tau,camp,M2,354.0,0.028273404052974915
tau,camp,M3,354.0,0.32158325910568236
tau,camp,M4,354.0,0.3502464533369274
tau,camp,M5,354.0,0.16594862936005736
tau,camp x age,M0,1039.0,0.0
tau,camp x age,M1,1039.0,-6.896702991223099
tau,camp x age,M2,1039.0,0.11642589429086517
tau,camp x age,M3,1039.0,0.2617214202880859
tau,camp x age,M4,1039.0,0.353813830196554
tau,camp x age,M5,1039.0,0.03657897459264192
tau,camp x education,M0,814.0,0.0
tau,camp x education,M1,814.0,-5.330463027109735
tau,camp x education,M2,814.0,0.22850598319748533
tau,camp x education,M3,814.0,0.3306655287742615
tau,camp x education,M4,814.0,0.49206370330667343
tau,camp x education,M5,814.0,0.26638692744543235
tau,camp x genre,M0,707.0,0.0
tau,camp x genre,M1,707.0,-10.553049655745223
tau,camp x genre,M2,707.0,0.010697605636145857
tau,camp x genre,M3,707.0,0.3063413381576538
tau,camp x genre,M4,707.0,0.31845917300173426
tau,camp x genre,M5,707.0,-0.04044074215783504
tau,education,M0,354.0,0.0
tau,education,M1,354.0,-7.851629007278771
tau,education,M2,354.0,0.3761328385992185
tau,education,M3,354.0,0.3848963737487793
tau,education,M4,354.0,0.6180956698108393
tau,education,M5,354.0,0.519837949023101
tau,education x genre,M0,692.4,0.0
tau,education x genre,M1,692.4,-5.798245817002737
tau,education x genre,M2,692.4,0.2722211502853411
tau,education x genre,M3,692.4,0.3452855348587036
tau,education x genre,M4,692.4,0.5212885681948572
tau,education x genre,M5,692.4,0.25957740945489405
tau,genre,M0,236.0,0.0
tau,genre,M1,236.0,-29.76043036366024
tau,genre,M2,236.0,0.004283229176665815
tau,genre,M3,236.0,0.2829081654548645
tau,genre,M4,236.0,0.2856811615126378
tau,genre,M5,236.0,0.11713700067759472
