famille,hypothese,condition,perimetre,comparaison,difference,ic_bas,ic_haut,p_bootstrap,p_holm,p_bh,tests_dans_la_famille
secondaire,H3 avantage dans T1 moins avantage dans T3,agents enquete,1052,(agents enquete moins B1 argmax) T1 moins T3,-0.006873,-0.044936,0.029837,0.713000,1.000000,0.713000,21.000000
primaire,H2 avantage sur B1 argmax dans T1 non deductible,agents demographiques (v6),1052,"agents demographiques (v6) contre B1 argmax, T1",0.172562,0.153728,0.191501,0.000250,0.005250,0.000309,21.000000
secondaire,H3 avantage dans T1 moins avantage dans T3,agents demographiques (v6),1052,(agents demographiques (v6) moins B1 argmax) T1 moins T3,0.157141,0.126119,0.187730,0.000250,0.005250,0.000404,21.000000
primaire,H2 avantage sur B1 argmax dans T1 non deductible,agents v7,1052,"agents v7 contre B1 argmax, T1",0.026795,0.015952,0.037746,0.000250,0.005250,0.000309,21.000000
secondaire,H3 avantage dans T1 moins avantage dans T3,agents v7,1052,(agents v7 moins B1 argmax) T1 moins T3,0.051706,0.027404,0.076300,0.000250,0.005250,0.000404,21.000000
primaire,H2 avantage sur B1 argmax dans T1 non deductible,agents v8,1052,"agents v8 contre B1 argmax, T1",0.047696,0.034933,0.061319,0.000250,0.005250,0.000309,21.000000
secondaire,H3 avantage dans T1 moins avantage dans T3,agents v8,1052,(agents v8 moins B1 argmax) T1 moins T3,-0.141510,-0.173559,-0.109221,0.000250,0.005250,0.000404,21.000000
primaire,H2 avantage sur B1 argmax dans T1 non deductible,C2,150,"C2 contre B1 argmax, T1",0.088235,0.054545,0.125000,0.000250,0.005250,0.000309,21.000000
secondaire,H3 avantage dans T1 moins avantage dans T3,C2,150,(C2 moins B1 argmax) T1 moins T3,0.021885,-0.034261,0.077858,0.438500,1.000000,0.460425,21.000000
primaire,H2 avantage sur B1 argmax dans T1 non deductible,C3,150,"C3 contre B1 argmax, T1",0.150735,0.097641,0.204646,0.000250,0.005250,0.000309,21.000000
secondaire,H3 avantage dans T1 moins avantage dans T3,C3,150,(C3 moins B1 argmax) T1 moins T3,-0.053056,-0.140496,0.036356,0.228000,0.912000,0.266000,21.000000
