epsilon,n,top1,top1_bas,top1_haut,fidelite_individuelle_points,exactitude_reelle,exactitude_permutee,erreur_distribution,erreur_groupes,erreur_correlations,utilite_globale,erreur_distribution_hum,erreur_groupes_hum,erreur_correlations_hum,utilite_globale_hum
epsilon=0.5,2058,0.00012147716229348882,0.0,0.00036443148688046647,0.015387107223835406,42.31373501781665,42.29834791059282,9.691448007774541,2.608232833965503,4.51957581342184,5.606418885053962,9.146015549076775,2.8922202504927563,9.866886135627322,7.301707311732284
epsilon=1.0,2058,0.0008017492711370262,0.0,0.002162293488824101,0.08908325234855963,42.50566893424036,42.4165856818918,5.11175898931001,2.4934406365397845,4.439360035902124,4.014853220583973,4.342808551992226,2.3706538455429635,9.736620514759355,5.483360970764848
epsilon=3.0,2058,0.0015792031098153547,0.00012147716229348882,0.003401360544217687,0.12228701004211029,43.176222870100425,43.05393586005832,3.109815354713314,2.3986105231266945,4.470417269596726,3.326281049145578,1.5974246841593764,2.641970220658443,9.816820029633234,4.685404978150351
epsilon=10.0,2058,0.0,0.0,0.0,0.04049238743116246,42.98995788791707,42.949465500485914,3.214285714285713,2.3325395477473867,4.593133347418337,3.379986203150479,0.9511661807580192,1.9792377915458201,9.896799889123054,4.275734620475631
epsilon=infini (non prive),2058,0.00024295432458697764,0.0,0.0007288629737609329,0.19922254616132062,43.19080012957565,42.991577583414326,3.1729834791059273,2.9030517605771204,4.489044580035772,3.5216932732396065,0.8977162293488818,2.851447506697439,9.801731995625602,4.516965243890641
