perimetre,delai,ancrage,camp,part_de_la_population,part_du_decile_haut,sur_representation_haut,haut_ic_bas,haut_ic_haut,part_du_decile_bas,sur_representation_bas,bas_ic_bas,bas_ic_haut
4ans,quatre ans,ideologie declaree (polviews),centre,0.3668588511637839,0.37735849056603776,1.0286203791156896,0.9181853994727135,1.1537152409553528,0.25316455696202533,0.6900870897864753,0.5794431582093239,0.7879397362470627
4ans,quatre ans,ideologie declaree (polviews),droite,0.31902626521460603,0.2641509433962264,0.8279912101235128,0.7134010210633278,0.9336114749312401,0.2721518987341772,0.8530705098876519,0.7303736612200737,0.9817284286022187
4ans,quatre ans,ideologie declaree (polviews),gauche,0.2848601323937647,0.2976939203354298,1.0450529452255006,0.9070891723036766,1.183822977542877,0.45569620253164556,1.5997191277778833,1.4585007667541503,1.7537574529647828
4ans,quatre ans,parti (partyid),centre,0.16378389920990818,0.22851153039832284,1.395201430059121,1.1902654081583024,1.6022423058748245,0.10970464135021098,0.6698133447757992,0.505168829858303,0.823637805879116
4ans,quatre ans,parti (partyid),droite,0.3243647234678625,0.24737945492662475,0.7626583195664145,0.6564638525247574,0.8719592288136482,0.2805907172995781,0.8650469579420171,0.752757816016674,0.9724798843264579
4ans,quatre ans,parti (partyid),gauche,0.4828101644245142,0.4989517819706499,1.0334326381992718,0.9457738786935806,1.1287538439035416,0.5590717299578059,1.157953521181957,1.0702452659606934,1.241681134700775
2ans,deux ans,ideologie declaree (polviews),centre,0.3646603308694122,0.39473684210526316,1.0824781548465758,0.9763964653015137,1.1823559433221817,0.27399650959860383,0.7513745982332369,0.6573299244046211,0.8453570812940597
2ans,deux ans,ideologie declaree (polviews),droite,0.32171770503343894,0.2649122807017544,0.823430841874928,0.7183388099074364,0.9252283573150635,0.2705061082024433,0.8408182203535464,0.7405430749058723,0.9535342559218406
2ans,deux ans,ideologie declaree (polviews),gauche,0.27983104540654696,0.256140350877193,0.9153392916252898,0.791949312388897,1.0505077838897705,0.4397905759162304,1.5716289637459253,1.4422596722841263,1.6995827317237855
2ans,deux ans,parti (partyid),centre,0.1719464977120732,0.24736842105263157,1.438635996336799,1.2502338021993638,1.626163637638092,0.1082024432809773,0.629279716194998,0.48956943601369857,0.7796491563320158
2ans,deux ans,parti (partyid),droite,0.32858148539246745,0.2578947368421053,0.7848730020015223,0.6767244681715965,0.879307834804058,0.3263525305410122,0.9932164319946606,0.8880270466208458,1.104526901245117
2ans,deux ans,parti (partyid),gauche,0.4670890531502992,0.4666666666666667,0.9990957045968349,0.9252953931689263,1.0883265793323516,0.5270506108202443,1.1283728600906662,1.0445632338523865,1.2026839584112166
