predicteur,cible,n_items,auc_moyenne_ponderee,auc_mediane,auc_permutee_moyenne,chute_moyenne_ponderee,chute_mediane,rappel_moyen_pondere,taux_de_base_moyen,n_items_holm_retenus,n_items_bh_retenus,n_items_holm_normale_retenus,n_items_bh_normale_retenus,z_permutation_median,auc_ic_bas,auc_ic_haut,chute_ic_bas,chute_ic_haut,chute_p_bootstrap,n_tirages
P position initiale seule,mono,118,0.6824957243517077,0.6823073824958996,0.505718972148227,0.17677675220348066,0.18601599702911095,0.2641765543243954,0.1350423595359904,0,108,103,108,12.397582260889028,0.6790119925050667,0.6856041880644935,0.17062240523163136,0.1788542029145714,0.0,300
L1 logistique resumee,mono,118,0.7409596947732108,0.7412362790227757,0.5170743141137215,0.22388538065948935,0.22825300932819798,0.3243754929278939,0.1350423595359904,0,114,113,114,15.221676525291828,0.7383054400760164,0.7438149093410257,0.21812241975271957,0.22629069048048453,0.0,300
L2 logistique complete,mono,118,0.7049217425513175,0.7025474821950883,0.5132515745150023,0.1916701680363151,0.19332792839655083,0.2902540164738861,0.1350423595359904,0,112,109,113,11.97843240735136,0.7022134292821307,0.7077973493389154,0.18661705650419722,0.193766202064928,0.0,300
V voisins k=25,mono,118,0.5563348436327976,0.5386066485602645,0.5121777863090047,0.044157057323792964,0.030603379060151092,0.16965687438404034,0.1350423595359904,0,54,43,59,1.9482488801966613,0.5533142401633561,0.5597839781185541,0.03996656190229435,0.048411806451817675,0.0,300
F foret,mono,118,0.7344563129961224,0.7383072322328783,0.5241337767342115,0.21032253626191097,0.21195685169873713,0.319397311982183,0.1350423595359904,0,115,114,115,14.305392368304444,0.7315434902235216,0.7370831363027649,0.2044239315179145,0.21219814739751633,0.0,300
T0 nul avec derive,mono,118,0.4715196593293089,0.4720807720158766,0.49987495499866164,-0.02835529566935281,-0.026925241978703607,0.11887995510461113,0.1350423595359904,0,0,0,0,-1.8997515536366405,0.4682160437797911,0.47420681080789023,-0.031823331732798596,-0.024722161075110573,0.0,300
T0b nul a taux commun,mono,118,0.5,0.5,0.5,0.0,0.0,0.13803856064872422,0.1350423595359904,0,0,0,0,,0.5,0.5,0.0,0.0,1.0,300
T1 temoin de segment,mono,118,0.5307709763070086,0.5267473910943586,0.5901619768744444,-0.05939100056743555,-0.058666993446401916,0.14967832903266998,0.1350423595359904,0,0,0,0,-8.79036269273044,0.5273451739001811,0.534000139645595,-0.06033641075937727,-0.05670185070553622,0.0,300
