condition,axe_transport,variante,axe_mesure,ratio_inter_avant,ratio_inter_apres,ratio_intra_avant,ratio_intra_apres
agents entretien (v3),political_ideology,naive,gender,1.3590,1.0137,0.8623,0.8639
agents entretien (v3),political_ideology,naive,race,1.7785,1.3235,0.8600,0.8623
agents entretien (v3),political_ideology,naive,political_ideology,2.7840,0.9294,0.7714,0.8616
agents entretien (v3),political_ideology,naive,age,1.2616,0.9680,0.8565,0.8625
agents entretien (v3),political_ideology,naive,education,1.3479,1.1313,0.8598,0.8619
agents entretien (v3),political_ideology,naive,profil croise,2.4378,1.0319,0.7721,0.8548
agents entretien (v3),political_ideology,informee,gender,1.3590,1.2305,0.8623,0.8628
agents entretien (v3),political_ideology,informee,race,1.7785,1.3847,0.8600,0.8620
agents entretien (v3),political_ideology,informee,political_ideology,2.7840,0.9294,0.7714,0.8616
agents entretien (v3),political_ideology,informee,age,1.2616,1.1537,0.8565,0.8586
agents entretien (v3),political_ideology,informee,education,1.3479,1.3272,0.8598,0.8599
agents entretien (v3),political_ideology,informee,profil croise,2.4378,1.0819,0.7721,0.8519
agents entretien (v3),political_ideology,dilatation,gender,1.3590,1.2907,0.8623,1.0174
agents entretien (v3),political_ideology,dilatation,race,1.7785,1.4000,0.8600,1.0168
agents entretien (v3),political_ideology,dilatation,political_ideology,2.7840,1.5047,0.7714,0.9952
agents entretien (v3),political_ideology,dilatation,age,1.2616,1.2803,0.8565,1.0133
agents entretien (v3),political_ideology,dilatation,education,1.3479,1.3882,0.8598,1.0150
agents entretien (v3),political_ideology,dilatation,profil croise,2.4378,1.5238,0.7721,0.9890
agents entretien (v3),profil croise,naive,gender,1.3590,0.6311,0.8623,0.8663
agents entretien (v3),profil croise,naive,race,1.7785,0.7924,0.8600,0.8655
agents entretien (v3),profil croise,naive,political_ideology,2.7840,1.3966,0.7714,0.8392
agents entretien (v3),profil croise,naive,age,1.2616,0.9984,0.8565,0.8623
agents entretien (v3),profil croise,naive,education,1.3479,1.1021,0.8598,0.8626
agents entretien (v3),profil croise,naive,profil croise,2.4378,1.0871,0.7721,0.8520
agents entretien (v3),profil croise,informee,gender,1.3590,0.6311,0.8623,0.8663
agents entretien (v3),profil croise,informee,race,1.7785,0.7924,0.8600,0.8655
agents entretien (v3),profil croise,informee,political_ideology,2.7840,1.5512,0.7714,0.8317
agents entretien (v3),profil croise,informee,age,1.2616,1.1540,0.8565,0.8590
agents entretien (v3),profil croise,informee,education,1.3479,1.2769,0.8598,0.8608
agents entretien (v3),profil croise,informee,profil croise,2.4378,1.0871,0.7721,0.8520
agents entretien (v3),profil croise,dilatation,gender,1.3590,0.6827,0.8623,1.0125
agents entretien (v3),profil croise,dilatation,race,1.7785,0.9343,0.8600,1.0112
agents entretien (v3),profil croise,dilatation,political_ideology,2.7840,1.8290,0.7714,0.9710
agents entretien (v3),profil croise,dilatation,age,1.2616,1.2674,0.8565,1.0054
agents entretien (v3),profil croise,dilatation,education,1.3479,1.3585,0.8598,1.0072
agents entretien (v3),profil croise,dilatation,profil croise,2.4378,1.3079,0.7721,0.9933
agents demographiques (v8),political_ideology,naive,gender,0.9871,0.3697,0.8012,0.8038
agents demographiques (v8),political_ideology,naive,race,4.0623,2.4261,0.7849,0.7930
agents demographiques (v8),political_ideology,naive,political_ideology,8.3190,1.0868,0.4360,0.7877
agents demographiques (v8),political_ideology,naive,age,3.2153,2.0972,0.7513,0.7743
agents demographiques (v8),political_ideology,naive,education,0.4165,0.2140,0.8062,0.8078
agents demographiques (v8),political_ideology,naive,profil croise,6.2563,1.1307,0.4803,0.7822
agents demographiques (v8),political_ideology,informee,gender,0.9871,0.5252,0.8012,0.8030
agents demographiques (v8),political_ideology,informee,race,4.0623,3.3757,0.7849,0.7880
agents demographiques (v8),political_ideology,informee,political_ideology,8.3190,1.0868,0.4360,0.7877
agents demographiques (v8),political_ideology,informee,age,3.2153,2.9724,0.7513,0.7559
agents demographiques (v8),political_ideology,informee,education,0.4165,0.2564,0.8062,0.8074
agents demographiques (v8),political_ideology,informee,profil croise,6.2563,1.2989,0.4803,0.7723
agents demographiques (v8),political_ideology,dilatation,gender,0.9871,0.6870,0.8012,1.0447
agents demographiques (v8),political_ideology,dilatation,race,4.0623,3.7018,0.7849,1.0287
agents demographiques (v8),political_ideology,dilatation,political_ideology,8.3190,2.2815,0.4360,0.9825
agents demographiques (v8),political_ideology,dilatation,age,3.2153,3.3308,0.7513,0.9946
agents demographiques (v8),political_ideology,dilatation,education,0.4165,0.2593,0.8062,1.0511
agents demographiques (v8),political_ideology,dilatation,profil croise,6.2563,2.1606,0.4803,0.9769
agents demographiques (v8),profil croise,naive,gender,0.9871,0.0796,0.8012,0.8093
agents demographiques (v8),profil croise,naive,race,4.0623,0.5086,0.7849,0.8071
agents demographiques (v8),profil croise,naive,political_ideology,8.3190,2.0179,0.4360,0.7465
agents demographiques (v8),profil croise,naive,age,3.2153,2.0246,0.7513,0.7799
agents demographiques (v8),profil croise,naive,education,0.4165,0.2022,0.8062,0.8119
agents demographiques (v8),profil croise,naive,profil croise,6.2563,1.0673,0.4803,0.7901
agents demographiques (v8),profil croise,informee,gender,0.9871,0.0796,0.8012,0.8093
agents demographiques (v8),profil croise,informee,race,4.0623,0.5086,0.7849,0.8071
