condition,axe,mesure,inter_humain_vague1,ratio_inter,ratio_intra
agents demographiques (v6),political_ideology,gini_simpson,3.4325,0.2240,0.6502
agents demographiques (v6),age,entropie,4.5011,0.9941,0.6161
agents demographiques (v6),age,gini_simpson,1.9355,0.8884,0.6242
agents demographiques (v6),education,entropie,1.9591,2.6572,0.6052
agents demographiques (v6),education,gini_simpson,0.7041,3.1623,0.6073
agents demographiques (v6),profil croise,entropie,9.2185,0.6888,0.6196
agents demographiques (v6),profil croise,gini_simpson,4.1424,0.6988,0.6272
agents v7,gender,entropie,1.6981,0.4252,0.6394
agents v7,gender,gini_simpson,0.5670,0.6571,0.6206
agents v7,race,entropie,0.8383,2.0934,0.6292
agents v7,race,gini_simpson,0.4697,0.9932,0.6184
agents v7,political_ideology,entropie,7.1233,0.3592,0.6417
agents v7,political_ideology,gini_simpson,3.4325,0.2362,0.6397
agents v7,age,entropie,4.5011,0.4988,0.6333
agents v7,age,gini_simpson,1.9355,0.3568,0.6271
agents v7,education,entropie,1.9591,-0.0054,0.6415
agents v7,education,gini_simpson,0.7041,-0.0416,0.6273
agents v7,profil croise,entropie,9.2185,0.5107,0.6291
agents v7,profil croise,gini_simpson,4.1424,0.3841,0.6326
agents v8,gender,entropie,1.6981,0.1285,0.7898
agents v8,gender,gini_simpson,0.5670,0.0092,0.8065
agents v8,race,entropie,0.8383,5.1746,0.7650
agents v8,race,gini_simpson,0.4697,4.0063,0.7812
agents v8,political_ideology,entropie,7.1233,8.9529,0.4577
agents v8,political_ideology,gini_simpson,3.4325,7.8538,0.4668
agents v8,age,entropie,4.5011,3.0707,0.7293
agents v8,age,gini_simpson,1.9355,2.8117,0.7494
agents v8,education,entropie,1.9591,0.9634,0.7822
agents v8,education,gini_simpson,0.7041,0.6953,0.8018
agents v8,profil croise,entropie,9.2185,5.9482,0.4938
agents v8,profil croise,gini_simpson,4.1424,5.7121,0.5140
C2 distribution,gender,entropie,1.6981,0.1156,0.6737
C2 distribution,gender,gini_simpson,0.5670,0.1007,0.6746
C2 distribution,race,entropie,0.8383,4.6693,0.6517
C2 distribution,race,gini_simpson,0.4697,3.1529,0.6561
C2 distribution,political_ideology,entropie,7.1233,7.8757,0.3819
C2 distribution,political_ideology,gini_simpson,3.4325,6.7180,0.3877
C2 distribution,age,entropie,4.5011,1.7695,0.6447
C2 distribution,age,gini_simpson,1.9355,1.3637,0.6564
C2 distribution,education,entropie,1.9591,2.5069,0.6475
C2 distribution,education,gini_simpson,0.7041,2.1255,0.6587
C2 distribution,profil croise,entropie,9.2185,4.6583,0.4310
C2 distribution,profil croise,gini_simpson,4.1424,4.4693,0.4604
C3 distribution,gender,entropie,1.6981,0.6974,0.6932
C3 distribution,gender,gini_simpson,0.5670,0.5585,0.6960
C3 distribution,race,entropie,0.8383,-0.0976,0.6969
C3 distribution,race,gini_simpson,0.4697,0.0045,0.7004
C3 distribution,political_ideology,entropie,7.1233,0.7449,0.6920
C3 distribution,political_ideology,gini_simpson,3.4325,0.7177,0.6984
C3 distribution,age,entropie,4.5011,0.4660,0.6997
C3 distribution,age,gini_simpson,1.9355,0.4390,0.7059
C3 distribution,education,entropie,1.9591,0.9235,0.6880
C3 distribution,education,gini_simpson,0.7041,0.9250,0.6944
C3 distribution,profil croise,entropie,9.2185,0.6123,0.6862
C3 distribution,profil croise,gini_simpson,4.1424,0.5362,0.7187
