perimetre,condition,famille_condition,variante,r,r_ic_bas,r_ic_haut,r2,r2_ic_bas,r2_ic_haut,p_bilateral,n_cellules
150,agents composite,riche,moyenne d'item,0.436112,0.404154,0.466807,0.190194,0.163341,0.217909,0.000500,10645
150,agents composite,riche,moyenne d'item et de segment 18,0.367547,0.336319,0.397033,0.135091,0.113110,0.157635,0.000500,10645
150,agents composite,riche,moyenne d'item et de segment 42,0.381546,0.348793,0.410504,0.145577,0.121657,0.168513,0.000500,10219
150,agents entretien (v3),riche,moyenne d'item,0.397532,0.365015,0.428441,0.158032,0.133236,0.183562,0.000500,10624
150,agents entretien (v3),riche,moyenne d'item et de segment 18,0.309011,0.277421,0.337255,0.095488,0.076963,0.113741,0.000500,10624
150,agents entretien (v3),riche,moyenne d'item et de segment 42,0.327625,0.297012,0.356032,0.107338,0.088216,0.126759,0.000500,10199
150,agents enquete,riche,moyenne d'item,0.355949,0.317456,0.392928,0.126700,0.100778,0.154393,0.000500,10628
150,agents enquete,riche,moyenne d'item et de segment 18,0.285467,0.250492,0.318482,0.081492,0.062746,0.101431,0.000500,10628
150,agents enquete,riche,moyenne d'item et de segment 42,0.303594,0.267029,0.337517,0.092169,0.071304,0.113918,0.000500,10203
150,agents demographiques (v6),etiquette,moyenne d'item,0.133649,0.106972,0.164031,0.017862,0.011443,0.026906,0.000500,10625
150,agents demographiques (v6),etiquette,moyenne d'item et de segment 18,0.111095,0.085084,0.135090,0.012342,0.007239,0.018249,0.000500,10625
150,agents demographiques (v6),etiquette,moyenne d'item et de segment 42,0.138479,0.112469,0.163231,0.019177,0.012649,0.026644,0.000500,10203
150,agents v7,riche,moyenne d'item,0.133777,0.095246,0.172062,0.017896,0.009072,0.029605,0.000500,10629
150,agents v7,riche,moyenne d'item et de segment 18,0.107251,0.073626,0.141079,0.011503,0.005421,0.019903,0.000500,10629
150,agents v7,riche,moyenne d'item et de segment 42,0.130629,0.094893,0.165830,0.017064,0.009005,0.027500,0.000500,10203
150,agents v8,etiquette,moyenne d'item,0.227376,0.187080,0.270325,0.051700,0.034999,0.073075,0.000500,10636
150,agents v8,etiquette,moyenne d'item et de segment 18,0.070186,0.030043,0.107643,0.004926,0.000903,0.011587,0.001000,10636
150,agents v8,etiquette,moyenne d'item et de segment 42,0.090559,0.049446,0.129197,0.008201,0.002445,0.016692,0.000500,10211
150,C2,etiquette,moyenne d'item,0.132876,0.104035,0.162029,0.017656,0.010823,0.026253,0.000500,10650
150,C2,etiquette,moyenne d'item et de segment 18,0.054857,0.028637,0.079524,0.003009,0.000820,0.006324,0.000500,10650
150,C2,etiquette,moyenne d'item et de segment 42,0.077330,0.051768,0.102627,0.005980,0.002680,0.010532,0.000500,10224
150,C3,riche,moyenne d'item,0.187833,0.159914,0.215072,0.035281,0.025573,0.046256,0.000500,10650
150,C3,riche,moyenne d'item et de segment 18,0.174231,0.147034,0.200614,0.030357,0.021619,0.040246,0.000500,10650
150,C3,riche,moyenne d'item et de segment 42,0.194910,0.167030,0.222714,0.037990,0.027899,0.049602,0.000500,10224
150,PMM k=5,imputation par tirage,moyenne d'item,0.374469,0.341610,0.405519,0.140227,0.116697,0.164446,0.000500,10650
150,PMM k=5,imputation par tirage,moyenne d'item et de segment 18,0.303296,0.272424,0.331625,0.091989,0.074215,0.109975,0.000500,10650
150,PMM k=5,imputation par tirage,moyenne d'item et de segment 42,0.318289,0.287466,0.345826,0.101308,0.082637,0.119595,0.000500,10224
150,PMM k=10,imputation par tirage,moyenne d'item,0.371021,0.340400,0.399959,0.137656,0.115872,0.159967,0.000500,10650
150,PMM k=10,imputation par tirage,moyenne d'item et de segment 18,0.298352,0.267749,0.326581,0.089014,0.071689,0.106655,0.000500,10650
150,PMM k=10,imputation par tirage,moyenne d'item et de segment 42,0.313914,0.282635,0.344253,0.098542,0.079883,0.118510,0.000500,10224
150,IM m=10 mode des m,imputation multiple,moyenne d'item,0.380091,0.348941,0.411823,0.144470,0.121760,0.169598,0.000500,10650
150,IM m=10 mode des m,imputation multiple,moyenne d'item et de segment 18,0.308163,0.279768,0.336410,0.094965,0.078270,0.113171,0.000500,10650
150,IM m=10 mode des m,imputation multiple,moyenne d'item et de segment 42,0.322932,0.293195,0.351748,0.104285,0.085963,0.123727,0.000500,10224
150,B0 mode,aveugle,moyenne d'item,0.003865,-0.021606,0.030110,0.000015,0.000000,0.000997,0.761000,10650
150,B0 mode,aveugle,moyenne d'item et de segment 18,0.024098,-0.010079,0.057517,0.000581,0.000002,0.003308,0.172000,10650
150,B0 mode,aveugle,moyenne d'item et de segment 42,0.057437,0.024701,0.092448,0.003299,0.000610,0.008547,0.002000,10224
150,B1 argmax,statistique,moyenne d'item,0.244563,0.212028,0.276580,0.059811,0.044956,0.076497,0.000500,10650
150,B1 argmax,statistique,moyenne d'item et de segment 18,0.117647,0.090080,0.143714,0.013841,0.008114,0.020654,0.000500,10650
150,B1 argmax,statistique,moyenne d'item et de segment 42,0.133967,0.105953,0.161401,0.017947,0.011226,0.026050,0.000500,10224
150,B2 argmax,statistique,moyenne d'item,0.326633,0.290766,0.362179,0.106689,0.084545,0.131174,0.000500,10650
150,B2 argmax,statistique,moyenne d'item et de segment 18,0.246658,0.214959,0.277804,0.060840,0.046207,0.077175,0.000500,10650
150,B2 argmax,statistique,moyenne d'item et de segment 42,0.271795,0.238008,0.304830,0.073872,0.056648,0.092921,0.000500,10224
150,B3 foret,statistique,moyenne d'item,0.213679,0.180308,0.246787,0.045659,0.032511,0.060904,0.000500,10650
150,B3 foret,statistique,moyenne d'item et de segment 18,0.092094,0.062551,0.120751,0.008481,0.003913,0.014581,0.000500,10650
150,B3 foret,statistique,moyenne d'item et de segment 42,0.114384,0.085008,0.144872,0.013084,0.007226,0.020988,0.000500,10224
150,humains vague 2,plancher,moyenne d'item,0.649287,0.615099,0.681218,0.421574,0.378346,0.464058,0.000500,10650
150,humains vague 2,plancher,moyenne d'item et de segment 18,0.616076,0.582330,0.648042,0.379549,0.339109,0.419959,0.000500,10650
150,humains vague 2,plancher,moyenne d'item et de segment 42,0.622320,0.587346,0.654417,0.387282,0.344975,0.428262,0.000500,10224
1052,agents composite,riche,moyenne d'item,0.440451,0.428248,0.452093,0.193997,0.183396,0.204388,0.000500,74660
1052,agents composite,riche,moyenne d'item et de segment 18,0.367875,0.356765,0.379057,0.135332,0.127281,0.143684,0.000500,74660
1052,agents composite,riche,moyenne d'item et de segment 42,0.380123,0.368445,0.391324,0.144494,0.135751,0.153135,0.000500,71466
1052,agents entretien (v3),riche,moyenne d'item,0.405551,0.393803,0.418036,0.164472,0.155081,0.174754,0.000500,74507
