quantite,mode,modele,cle_modele,identite,perimetre,n_items,ecart_decrit_moyen,ecart_reel_moyen,facteur,ic_bas,ic_haut,facteur_plancher_w2_w1,plancher_ic_bas,plancher_ic_haut,p,p_holm
"score de desirabilite a25, facteur de a38",description (r1),gpt-oss-20b,oss20,journaliste,29 items a pole declare (a38),29,0.08643678160919543,0.23606297761956618,0.3661598378568918,0.01903049747614718,0.7470678201663782,1.0250924918600044,0.9845301325055006,1.0667759726344839,0.004449777511124443,0.01334933253337333
"score de desirabilite a25, facteur de a38",description (r1),gpt-oss-20b,oss20,adversaire,29 items a pole declare (a38),29,0.08589080459770113,0.23606297761956618,0.36384699313638597,-0.0038563301591045323,0.8328273360743337,1.0250924918600044,0.9881144787658998,1.0680238945308034,0.01504924753762312,0.03009849507524624
"score de desirabilite a25, facteur de a38",description (r1),Qwen3-30B-A3B-Instruct-2507,q30,journaliste,29 items a pole declare (a38),29,0.31140804597701144,0.23606297761956618,1.3191735913747122,1.0570597724823174,1.6720775766511924,1.0250924918600044,0.9858595483687675,1.06836570010119,0.01749912504374781,0.03009849507524624
"score de desirabilite a25, facteur de a38",description (r1),Qwen3-30B-A3B-Instruct-2507,q30,adversaire,29 items a pole declare (a38),29,0.35830459770114936,0.23606297761956618,1.517834779999196,1.2334790200417862,1.9169480518806437,1.0250924918600044,0.9885555913999323,1.0703671925968117,0.000199990000499975,0.000999950002499875
"score de desirabilite a25, facteur de a38",description (r1),Qwen3-4B-Instruct-2507,q4,journaliste,29 items a pole declare (a38),29,0.042241379310344794,0.23606297761956618,0.1789411441654356,-0.2020715389876788,0.5779685951727628,1.0250924918600044,0.9875690975972691,1.0696200187727132,0.0014499275036248187,0.005799710014499275
"score de desirabilite a25, facteur de a38",description (r1),Qwen3-4B-Instruct-2507,q4,adversaire,29 items a pole declare (a38),29,0.027241379310344798,0.23606297761956618,0.1153987786862809,-0.20512428968798535,0.503373345129483,1.0250924918600044,0.985644674419571,1.0681081196784317,4.999750012499375e-05,0.0002999850007499625
