condition,score_brut,"norm [deux semaines (Stanford, 149 items)]","norm [2 ans (panels GSS, mise en commun)]","norm [4 ans (panels GSS, mise en commun)]",ecart_2ans_moins_2sem_points,ecart_4ans_moins_2sem_points
agents composite,0.683932171383367,0.8602896922521367,0.9783058609870986,1.0081106830656301,11.80161687349619,14.782099081349342
agents entretien (v3),0.6564932247939368,0.8257753881956426,0.9390568193555934,0.9676658899322382,11.328143115995083,14.189050173659567
agents enquete,0.6509875724092173,0.8188500581791919,0.9311814594560376,0.9595506012844546,11.233140127684571,14.07005431052627
agents demographiques (v6),0.581787327430015,0.7318059623640814,0.8321964897799305,0.8575499802386741,10.03905274158492,12.574401787459276
