ampleur_du_changement_en_crans,observe,bruit_uniforme,bruit_marginal,bruit_adjacent
1,0.6967,0.3601,0.4801,1.0
2,0.2132,0.277,0.2786,0.0
3,0.0638,0.1882,0.1512,0.0
4,0.0217,0.1148,0.0733,0.0
5,0.0029,0.0454,0.0144,0.0
6,0.0017,0.0146,0.0024,0.0
distance_totale_a_l_observe,0.0,0.3367,0.2166,0.3033
ampleur_moyenne,1.4258,2.2521,1.8705,1.0
