condition,classe_norc,n_items,cellules,cellules_minoritaires,rappel,precision,f1,taux_fausses_minorites,taux_mauvaise_minorite,masse_predite,masse_humaine,rappel_ic_bas,rappel_ic_haut,precision_ic_bas,precision_ic_haut,f1_ic_bas,f1_ic_haut,taux_fausses_minorites_ic_bas,taux_fausses_minorites_ic_haut,taux_mauvaise_minorite_ic_bas,taux_mauvaise_minorite_ic_haut,masse_predite_ic_bas,masse_predite_ic_haut,perimetre,rappel_humain_de_la_classe,rappel_normalise
agents composite,sensible,12,1800,103,0.223301,0.225490,0.224390,0.715686,0.058824,0.056667,0.057222,0.142857,0.311336,0.144327,0.307710,0.145833,0.300887,0.629619,0.801887,0.016800,0.114293,0.044444,0.068889,150,0.456311,0.489362
agents composite,temoin,65,9750,266,0.345865,0.287500,0.313993,0.684375,0.028125,0.032821,0.027282,0.283996,0.406720,0.237938,0.339110,0.262659,0.362659,0.625714,0.741575,0.008976,0.049346,0.028100,0.037846,150,0.481203,0.718750
agents entretien (v3),sensible,12,1800,103,0.145631,0.194805,0.166667,0.727273,0.077922,0.042778,0.057222,0.076087,0.224299,0.103896,0.296886,0.089735,0.247194,0.625000,0.828571,0.024676,0.144742,0.033333,0.052778,150,0.456311,0.319149
agents entretien (v3),temoin,65,9750,266,0.353383,0.262570,0.301282,0.712291,0.025140,0.036718,0.027282,0.292593,0.415688,0.217763,0.306287,0.254867,0.346160,0.663012,0.760871,0.007978,0.046323,0.031487,0.042256,150,0.481203,0.734375
agents enquete,sensible,12,1800,103,0.145631,0.205479,0.170455,0.534247,0.260274,0.040556,0.057222,0.071413,0.222222,0.106652,0.303577,0.086420,0.251310,0.426190,0.647059,0.162162,0.364870,0.031667,0.050000,150,0.456311,0.319149
agents enquete,temoin,65,9750,266,0.225564,0.215054,0.220183,0.752688,0.032258,0.028615,0.027282,0.163793,0.290082,0.160825,0.266159,0.163667,0.274465,0.694851,0.811112,0.011192,0.055351,0.024308,0.032923,150,0.481203,0.468750
agents demographiques (v6),sensible,12,1800,103,0.058252,0.117647,0.077922,0.647059,0.235294,0.028333,0.057222,0.018178,0.111111,0.037037,0.222222,0.025153,0.143791,0.500000,0.779661,0.122405,0.357143,0.021111,0.035000,150,0.456311,0.127660
agents demographiques (v6),temoin,65,9750,266,0.041353,0.111111,0.060274,0.858586,0.030303,0.010154,0.027282,0.019003,0.066153,0.054322,0.172727,0.028325,0.094458,0.787024,0.923810,0.000000,0.070588,0.008103,0.012308,150,0.481203,0.085938
agents v7,sensible,12,1800,103,0.038835,0.088889,0.054054,0.777778,0.133333,0.025000,0.057222,0.008850,0.080357,0.019598,0.191489,0.012821,0.111128,0.644405,0.891892,0.040816,0.236842,0.017778,0.032778,150,0.456311,0.085106
agents v7,temoin,65,9750,266,0.101504,0.142857,0.118681,0.846561,0.010582,0.019385,0.027282,0.058330,0.148703,0.087174,0.206735,0.070752,0.170117,0.780749,0.903707,0.000000,0.026668,0.015897,0.023385,150,0.481203,0.210938
