source,famille,statistique,taille,taux,taux_realise_moyen,valeur_moyenne,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,tau_etoile_holm27,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2
B0 segment,tirage dans le segment,B,500,0.25,0.25216666666666665,0.02529405826424627,-0.01194667355816562,0.001734040458621174,-6.889501048703928,5.598841201627462e-12,1.0,12,0.11315,0.1385,0.09785,-0.04996808847784497,0.003263627819072829,0.999556391405333
B0 segment,tirage dans le segment,B,500,0.5,0.5116666666666666,0.013005169928472268,-0.02423556189393962,0.001734040458621174,-13.976353189135262,2.1734293454879684e-44,1.0,12,0.11315,0.1385,0.09785,-0.04996808847784497,0.003263627819072829,0.999556391405333
B0 segment,tirage dans le segment,C,500,0.05,0.04766666666666667,0.03516666666666667,-0.0006576666666666675,0.0013037422640499435,-0.5044453070223347,0.613948486767268,0.0,12,,,,-0.009762486872333508,0.007069899354556496,0.996864482187426
B0 segment,tirage dans le segment,C,500,0.1,0.10233333333333335,0.035024999999999994,-0.0007993333333333463,0.0013037422640499435,-0.6131068658081991,0.5398056807343117,0.0,12,,,,-0.009762486872333508,0.007069899354556496,0.996864482187426
B0 segment,tirage dans le segment,C,500,0.25,0.25216666666666665,0.033825,-0.001999333333333339,0.0013037422640499435,-1.5335341872883772,0.12514428989003493,0.08333333333333333,12,,,,-0.009762486872333508,0.007069899354556496,0.996864482187426
B0 segment,tirage dans le segment,C,500,0.5,0.5116666666666666,0.03270833333333333,-0.0031160000000000077,0.0013037422640499435,-2.390042944776883,0.016846402820720738,0.5833333333333334,12,,,,-0.009762486872333508,0.007069899354556496,0.996864482187426
B0 segment,tirage dans le segment,A,750,0.05,0.049888888888888865,-0.05520678886043886,0.005175288048340984,0.004493340965043854,1.1517683809446841,0.24941626420236057,0.08333333333333333,12,0.1535,0.1902,0.13185,0.10008129147365756,-0.03489585863180087,0.9999641049252758
B0 segment,tirage dans le segment,A,750,0.1,0.1021111111111111,-0.05067844547366871,0.009703631435111132,0.004493340965043854,2.159558224181286,0.030806885395253857,0.3333333333333333,12,0.1535,0.1902,0.13185,0.10008129147365756,-0.03489585863180087,0.9999641049252758
B0 segment,tirage dans le segment,A,750,0.25,0.24811111111111103,-0.03766424688789912,0.022717830020880722,0.004493340965043854,5.055888301736968,4.2839202579879164e-07,1.0,12,0.1535,0.1902,0.13185,0.10008129147365756,-0.03489585863180087,0.9999641049252758
B0 segment,tirage dans le segment,A,750,0.5,0.5072222222222222,-0.019039383475314673,0.041342693433465166,0.004493340965043854,9.200880537464771,3.5502838638340513e-20,1.0,12,0.1535,0.1902,0.13185,0.10008129147365756,-0.03489585863180087,0.9999641049252758
B0 segment,tirage dans le segment,B,750,0.05,0.049888888888888865,0.03726871041107746,-0.0028424020257972055,0.0016875881041886862,-1.684298448621561,0.09212400507863373,0.0,12,0.10535,0.129,0.0911,-0.05230685173191151,0.004349183708960257,0.9998968963619372
B0 segment,tirage dans le segment,B,750,0.1,0.1021111111111111,0.03483652311713416,-0.005274589319740508,0.0016875881041886862,-3.125519376824646,0.0017749137631075539,0.9166666666666666,12,0.10535,0.129,0.0911,-0.05230685173191151,0.004349183708960257,0.9998968963619372
B0 segment,tirage dans le segment,B,750,0.25,0.24811111111111103,0.027447812578686392,-0.012663299858188273,0.0016875881041886862,-7.503785921906696,6.200053105931016e-14,1.0,12,0.10535,0.129,0.0911,-0.05230685173191151,0.004349183708960257,0.9998968963619372
B0 segment,tirage dans le segment,B,750,0.5,0.5072222222222222,0.015015460388244382,-0.025095652048630283,0.0016875881041886862,-14.87072111159204,5.106038277492677e-50,1.0,12,0.10535,0.129,0.0911,-0.05230685173191151,0.004349183708960257,0.9998968963619372
B0 segment,tirage dans le segment,C,750,0.05,0.049888888888888865,0.030005555555555525,-0.0004866666666667012,0.0010935900468854569,-0.4450174615732168,0.6563071352349816,0.0,12,,,0.5577500000000001,-0.009200713816869485,0.006647139262663404,0.9964803553662599
B0 segment,tirage dans le segment,C,750,0.1,0.1021111111111111,0.029822222222222177,-0.000670000000000049,0.0010935900468854569,-0.6126610258644986,0.5401004978725129,0.0,12,,,0.5577500000000001,-0.009200713816869485,0.006647139262663404,0.9964803553662599
B0 segment,tirage dans le segment,C,750,0.25,0.24811111111111103,0.028505555555555506,-0.00198666666666672,0.0010935900468854569,-1.8166466239563392,0.06927123952399131,0.16666666666666666,12,,,0.5577500000000001,-0.009200713816869485,0.006647139262663404,0.9964803553662599
