condition,axe_transport,jeu_items,mesure,inter_brut,inter_corrige_nulA,inter_corrige_nulB,demi_largeur_ic95_bootstrap,zero_dans_ic_nulA,zero_dans_ic_nulB
agents composite,political_ideology,149 items,entropie,-0.1362,-0.1545,0.0004,0.0169,non,oui
agents composite,political_ideology,149 items,gini_simpson,-0.1044,-0.1043,0.0000,0.0138,non,oui
agents composite,political_ideology,70 items ordinaux,entropie,-0.1470,-0.1641,0.0006,0.0185,non,oui
agents composite,political_ideology,70 items ordinaux,gini_simpson,-0.1195,-0.1185,0.0000,0.0177,non,oui
agents composite,political_ideology,70 items ordinaux,variance_ordinale,-0.0577,-0.0584,0.0000,0.0107,non,oui
agents composite,profil croise,149 items,entropie,-0.0780,-0.1535,0.1058,0.0446,non,non
agents composite,profil croise,149 items,gini_simpson,-0.0813,-0.0782,0.1138,0.0505,non,non
agents composite,profil croise,70 items ordinaux,entropie,-0.1067,-0.1934,0.1020,0.0485,non,non
agents composite,profil croise,70 items ordinaux,gini_simpson,-0.1318,-0.1276,0.1084,0.0577,non,non
agents composite,profil croise,70 items ordinaux,variance_ordinale,0.0088,0.0103,0.1162,0.0535,oui,non
agents enquete,political_ideology,149 items,entropie,-0.1352,-0.1527,-0.0002,0.0170,non,oui
agents enquete,political_ideology,149 items,gini_simpson,-0.1009,-0.0999,0.0000,0.0152,non,oui
agents enquete,political_ideology,70 items ordinaux,entropie,-0.1438,-0.1604,-0.0004,0.0182,non,oui
agents enquete,political_ideology,70 items ordinaux,gini_simpson,-0.1150,-0.1143,0.0000,0.0192,non,oui
agents enquete,political_ideology,70 items ordinaux,variance_ordinale,-0.0565,-0.0553,0.0000,0.0112,non,oui
agents enquete,profil croise,149 items,entropie,-0.0676,-0.1470,0.1099,0.0467,non,non
agents enquete,profil croise,149 items,gini_simpson,-0.0593,-0.0576,0.1290,0.0539,non,non
agents enquete,profil croise,70 items ordinaux,entropie,-0.0855,-0.1717,0.1183,0.0452,non,non
agents enquete,profil croise,70 items ordinaux,gini_simpson,-0.0927,-0.0903,0.1376,0.0546,non,non
agents enquete,profil croise,70 items ordinaux,variance_ordinale,0.0210,0.0222,0.1257,0.0576,oui,non
agents entretien (v3),political_ideology,149 items,entropie,-0.1368,-0.1562,0.0000,0.0161,non,oui
agents entretien (v3),political_ideology,149 items,gini_simpson,-0.0997,-0.1009,-0.0000,0.0136,non,oui
agents entretien (v3),political_ideology,70 items ordinaux,entropie,-0.1504,-0.1669,-0.0001,0.0186,non,oui
agents entretien (v3),political_ideology,70 items ordinaux,gini_simpson,-0.1184,-0.1197,0.0000,0.0181,non,oui
agents entretien (v3),political_ideology,70 items ordinaux,variance_ordinale,-0.0613,-0.0629,0.0000,0.0121,non,oui
agents entretien (v3),profil croise,149 items,entropie,-0.0771,-0.1559,0.1022,0.0469,non,non
agents entretien (v3),profil croise,149 items,gini_simpson,-0.0719,-0.0710,0.1122,0.0511,non,non
agents entretien (v3),profil croise,70 items ordinaux,entropie,-0.0904,-0.1778,0.1187,0.0536,non,non
agents entretien (v3),profil croise,70 items ordinaux,gini_simpson,-0.1054,-0.1047,0.1299,0.0591,non,non
agents entretien (v3),profil croise,70 items ordinaux,variance_ordinale,0.0156,0.0137,0.1283,0.0637,oui,non
agents demographiques (v8),political_ideology,149 items,entropie,-0.1169,-0.1302,0.0000,0.0124,non,oui
agents demographiques (v8),political_ideology,149 items,gini_simpson,-0.0949,-0.0946,0.0000,0.0109,non,oui
agents demographiques (v8),political_ideology,70 items ordinaux,entropie,-0.1283,-0.1404,0.0002,0.0159,non,oui
agents demographiques (v8),political_ideology,70 items ordinaux,gini_simpson,-0.1114,-0.1100,0.0000,0.0153,non,oui
agents demographiques (v8),political_ideology,70 items ordinaux,variance_ordinale,-0.0615,-0.0610,0.0000,0.0123,non,oui
agents demographiques (v8),profil croise,149 items,entropie,0.2242,0.1854,0.4033,0.0912,non,non
agents demographiques (v8),profil croise,149 items,gini_simpson,0.2458,0.2464,0.4190,0.1134,non,non
agents demographiques (v8),profil croise,70 items ordinaux,entropie,0.2530,0.2093,0.4688,0.0941,non,non
agents demographiques (v8),profil croise,70 items ordinaux,gini_simpson,0.2700,0.2691,0.4893,0.1164,non,non
agents demographiques (v8),profil croise,70 items ordinaux,variance_ordinale,0.3165,0.3161,0.4268,0.1199,non,non
