perimetre,condition,famille,n_items,gs_gauche,gs_centre,gs_droite,ratio_droite_gauche
150 personnes,B3 foret,residu : hors axe,35,0.172892,0.175844,0.173287,1.002287
150 personnes,B3 foret,residu : social,41,0.214954,0.262823,0.243846,1.134410
150 personnes,B3 foret,roles de genre (fe*),5,0.289401,0.206061,0.357956,1.236886
150 personnes,humains vague 2,avortement (ab*),7,0.178773,0.350361,0.401858,2.247874
150 personnes,humains vague 2,confiance dans les institutions (con*),13,0.543661,0.591842,0.535424,0.984849
150 personnes,humains vague 2,depenses publiques (nat*),17,0.491220,0.500357,0.539318,1.097915
150 personnes,humains vague 2,fin de vie (suicide/letdie),5,0.372760,0.340606,0.316609,0.849363
150 personnes,humains vague 2,libertes civiles (spk/col/lib),11,0.254620,0.397796,0.392989,1.543434
150 personnes,humains vague 2,residu : economique,15,0.643386,0.621953,0.601394,0.934732
150 personnes,humains vague 2,residu : hors axe,35,0.432141,0.443636,0.434445,1.005332
150 personnes,humains vague 2,residu : social,41,0.494286,0.553954,0.522846,1.057780
150 personnes,humains vague 2,roles de genre (fe*),5,0.590988,0.635960,0.678281,1.147707
