perimetre,seuil,condition,reference,cellules,valeur,ic_bas,ic_haut
150,0.100000,agents composite,gender,158,0.607595,0.535292,0.680475
150,0.100000,agents composite,race,157,0.515924,0.425926,0.603451
150,0.100000,agents composite,political_ideology,144,0.541667,0.455114,0.622517
150,0.100000,agents composite,age,150,0.380000,0.305551,0.452241
150,0.100000,agents composite,education,151,0.655629,0.580000,0.729509
150,0.100000,agents composite,profil croise,118,0.474576,0.379310,0.568193
150,0.100000,agents composite,population entiere,158,0.658228,0.583850,0.731261
150,0.100000,agents entretien (v3),gender,186,0.569892,0.502701,0.637306
150,0.100000,agents entretien (v3),race,184,0.472826,0.398935,0.546459
150,0.100000,agents entretien (v3),political_ideology,173,0.526012,0.455554,0.595967
150,0.100000,agents entretien (v3),age,181,0.419890,0.343911,0.502646
150,0.100000,agents entretien (v3),education,177,0.587571,0.513213,0.661017
150,0.100000,agents entretien (v3),profil croise,138,0.427536,0.344828,0.510493
150,0.100000,agents entretien (v3),population entiere,186,0.607527,0.538859,0.674286
150,0.100000,agents enquete,gender,216,0.523148,0.456221,0.593301
150,0.100000,agents enquete,race,208,0.475962,0.410712,0.537634
150,0.100000,agents enquete,political_ideology,184,0.494565,0.431691,0.557294
150,0.100000,agents enquete,age,170,0.405882,0.327869,0.490452
150,0.100000,agents enquete,education,207,0.512077,0.443177,0.577892
150,0.100000,agents enquete,profil croise,150,0.433333,0.351843,0.516562
150,0.100000,agents enquete,population entiere,216,0.541667,0.469697,0.610010
150,0.100000,agents demographiques (v6),gender,128,0.671875,0.579437,0.761062
150,0.100000,agents demographiques (v6),race,126,0.476190,0.392000,0.565226
150,0.100000,agents demographiques (v6),political_ideology,124,0.588710,0.492060,0.680684
150,0.100000,agents demographiques (v6),age,123,0.520325,0.428571,0.608706
150,0.100000,agents demographiques (v6),education,127,0.685039,0.607992,0.764706
150,0.100000,agents demographiques (v6),profil croise,100,0.450000,0.353520,0.545455
150,0.100000,agents demographiques (v6),population entiere,128,0.648438,0.558313,0.737592
150,0.100000,agents v7,gender,162,0.604938,0.520830,0.689441
150,0.100000,agents v7,race,162,0.567901,0.484839,0.654415
150,0.100000,agents v7,political_ideology,144,0.569444,0.485507,0.649689
150,0.100000,agents v7,age,146,0.513699,0.424455,0.600000
150,0.100000,agents v7,education,159,0.540881,0.462583,0.620690
150,0.100000,agents v7,profil croise,108,0.537037,0.430229,0.644072
150,0.100000,agents v7,population entiere,162,0.623457,0.549020,0.699348
150,0.100000,agents v8,gender,243,0.637860,0.580876,0.694451
150,0.100000,agents v8,race,241,0.597510,0.538453,0.658238
150,0.100000,agents v8,political_ideology,196,0.729592,0.659791,0.797621
150,0.100000,agents v8,age,213,0.535211,0.463964,0.611579
150,0.100000,agents v8,education,239,0.560669,0.501991,0.617512
150,0.100000,agents v8,profil croise,186,0.655914,0.586190,0.724325
150,0.100000,agents v8,population entiere,243,0.666667,0.606980,0.730298
150,0.100000,C2,gender,440,0.472727,0.423912,0.525944
150,0.100000,C2,race,406,0.509852,0.458432,0.566396
150,0.100000,C2,political_ideology,314,0.500000,0.446664,0.556270
150,0.100000,C2,age,342,0.479532,0.429850,0.532206
150,0.100000,C2,education,416,0.531250,0.479542,0.581866
150,0.100000,C2,profil croise,277,0.545126,0.483866,0.607846
150,0.100000,C2,population entiere,440,0.568182,0.518194,0.622795
150,0.100000,C3,gender,314,0.484076,0.437081,0.532647
150,0.100000,C3,race,307,0.420195,0.368250,0.473221
150,0.100000,C3,political_ideology,282,0.439716,0.389999,0.490978
150,0.100000,C3,age,287,0.306620,0.258424,0.356255
150,0.100000,C3,education,288,0.423611,0.369174,0.478406
150,0.100000,C3,profil croise,237,0.388186,0.330543,0.446645
150,0.100000,C3,population entiere,314,0.477707,0.422581,0.532469
150,0.100000,B0 mode,gender,0,,,
150,0.100000,B0 mode,race,0,,,
150,0.100000,B0 mode,political_ideology,0,,,
150,0.100000,B0 mode,age,0,,,
150,0.100000,B0 mode,education,0,,,
150,0.100000,B0 mode,profil croise,0,,,
150,0.100000,B0 mode,population entiere,0,,,
150,0.100000,B0 tirage,gender,308,0.487013,0.437956,0.536430
150,0.100000,B0 tirage,race,291,0.484536,0.430605,0.538727
150,0.100000,B0 tirage,political_ideology,275,0.472727,0.417960,0.526520
150,0.100000,B0 tirage,age,278,0.399281,0.345725,0.457521
150,0.100000,B0 tirage,education,300,0.433333,0.385159,0.482204
150,0.100000,B0 tirage,profil croise,215,0.395349,0.333333,0.454149
150,0.100000,B0 tirage,population entiere,308,0.532468,0.479036,0.585372
150,0.100000,B1 argmax,gender,73,0.630137,0.536232,0.724647
150,0.100000,B1 argmax,race,73,0.602740,0.500000,0.705882
150,0.100000,B1 argmax,political_ideology,70,0.671429,0.567164,0.772742
150,0.100000,B1 argmax,age,71,0.521127,0.411765,0.626866
150,0.100000,B1 argmax,education,73,0.534247,0.408451,0.662167
150,0.100000,B1 argmax,profil croise,67,0.567164,0.444444,0.688317
150,0.100000,B1 argmax,population entiere,73,0.643836,0.539683,0.746479
150,0.100000,B2 argmax,gender,6,0.833333,0.428571,1.000000
150,0.100000,B2 argmax,race,6,0.833333,0.500000,1.000000
150,0.100000,B2 argmax,political_ideology,5,0.600000,0.000000,1.000000
150,0.100000,B2 argmax,age,4,0.750000,0.000000,1.000000
150,0.100000,B2 argmax,education,6,0.833333,0.500000,1.000000
150,0.100000,B2 argmax,profil croise,5,0.600000,0.000000,1.000000
150,0.100000,B2 argmax,population entiere,6,0.833333,0.500000,1.000000
150,0.100000,B3 foret,gender,7,0.428571,0.000000,0.835119
150,0.100000,B3 foret,race,7,0.285714,0.000000,0.669167
150,0.100000,B3 foret,political_ideology,7,0.285714,0.000000,0.669167
150,0.100000,B3 foret,age,7,0.285714,0.000000,0.666667
150,0.100000,B3 foret,education,7,0.428571,0.000000,0.835119
150,0.100000,B3 foret,profil croise,7,0.285714,0.000000,0.669167
150,0.100000,B3 foret,population entiere,7,0.285714,0.000000,0.669167
150,0.100000,humains vague 2,gender,188,0.494681,0.412121,0.566848
150,0.100000,humains vague 2,race,181,0.508287,0.433328,0.584798
150,0.100000,humains vague 2,political_ideology,167,0.485030,0.408281,0.556704
150,0.100000,humains vague 2,age,165,0.424242,0.344828,0.500000
150,0.100000,humains vague 2,education,179,0.519553,0.429487,0.603177
