bloc,code,famille,reglage,colonnes_couvertes,n,n_pool,top1_naif,top1_naif_bas,top1_naif_haut,top1_adaptatif,top1_adaptatif_bas,top1_adaptatif_haut,strategie_adaptative,strategies_mesurees,erreur_distribution,erreur_groupes,erreur_correlations,utilite_globale,plancher_correlations,passe_P,passe_P1pct,seuil_P_borne_basse_baseline_demo,tA_signe,tA_signif,tA_preservee,tB_coefs_changes_sur_4,tB_preservee,tC_delta_pc1_pc2_points,tC_pct_charges_axe1_inversees,tC_preservee,n_taches_preservees,utilisable,nature_de_la_protection,borne_garantie,taux_conditionnel_exposes,epsilon,replicat,tA_replicats_preserves,tB_replicats_preserves,tC_replicats_preserves
candidat,A0,aucune,jumeau non protege,60 items,2058,2058,0.2071671525753158,0.190567905733722,0.2242231535471331,0.2264334305150631,0.2089407191448007,0.2453838678328474,L A-LLR recalibre sur la defense (hors pli),N naif (Hamming) = 20.717 % | L A-LLR recalibre sur la defense (hors pli) = 22.643 %,0.0,0.0,0.0,0.0,4.317365833832603,False,False,0.0158649173955296,1.0,False,True,0.0,True,0.0,0.0,True,3,False,reference (aucune protection),SANS OBJET,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,D4tq,permutation,D4 telle que publiee (40 items),40 items d'achat,2058,2058,0.0015063168124392,0.0001700680272108,0.0033296890184645,0.0024295432458697,0.0004859086491739,0.0048590864917395,L A-LLR recalibre sur la defense (hors pli),N naif (Hamming) = 0.151 % | L A-LLR recalibre sur la defense (hors pli) = 0.243 % | S1 colonnes intactes = 0.243 % | S3 invariants de segment = 0.029 %,0.0,0.0,4.399958990777788,1.4666529969259292,4.317365833832603,True,True,0.0158649173955296,1.0,False,True,2.0,False,3.464807244722111,45.0,False,1,True,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E1,permutation,"item par item, intra-segment, 60 items",60 items,2058,2058,0.0007531584062196,0.0,0.0019436345966958,0.0007774538386783,0.0005095966958211,0.0010696064139941,S3 invariants de segment,N naif (Hamming) = 0.075 % | L A-LLR recalibre sur la defense (hors pli) = 0.049 % | S3 invariants de segment = 0.078 %,0.0,0.0,4.420226779636579,1.4734089265455264,4.317365833832603,True,True,0.0158649173955296,1.0,False,True,2.0,False,3.486918103641386,42.5,False,1,True,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E4(lambda=0.25),fidelite,"25 % des cellules permutees intra-segment, 60 items",60 items,2058,2058,0.0942662779397473,0.0823578717201166,0.1067298347910592,0.0942662779397473,0.0823578717201166,0.1067298347910592,N naif (Hamming),N naif (Hamming) = 9.427 % | L A-LLR recalibre sur la defense (hors pli) = 8.163 % | S3 invariants de segment = 0.063 %,0.0,0.0,2.198099465700223,0.7326998219000743,4.317365833832603,False,False,0.0158649173955296,1.0,False,True,2.0,False,1.545613571315949,0.0,True,2,False,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E4(lambda=0.50),fidelite,"50 % des cellules permutees intra-segment, 60 items",60 items,2058,2058,0.022424684159378,0.0166168610301263,0.0284742468415937,0.022424684159378,0.0166168610301263,0.0284742468415937,N naif (Hamming),N naif (Hamming) = 2.242 % | L A-LLR recalibre sur la defense (hors pli) = 1.312 % | S3 invariants de segment = 0.075 %,0.0,0.0,3.3381086606436647,1.1127028868812217,4.317365833832603,False,False,0.0158649173955296,1.0,False,True,2.0,False,2.8388086837314086,0.0,True,2,False,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E4(lambda=0.75),fidelite,"75 % des cellules permutees intra-segment, 60 items",60 items,2058,2058,0.0051749271137026,0.002526117589893,0.0081395772594752,0.0051749271137026,0.002526117589893,0.0081395772594752,N naif (Hamming),N naif (Hamming) = 0.517 % | L A-LLR recalibre sur la defense (hors pli) = 0.049 % | S3 invariants de segment = 0.070 %,0.0,0.0,4.15006565081543,1.3833552169384766,4.317365833832603,True,True,0.0158649173955296,1.0,False,True,2.0,False,3.4690293053712975,10.0,True,2,True,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E2(B=1),permutation jointe,"1 bloc(s) d'items correles, permutation JOINTE intra-segment, 60 items (= lignes entieres)",60 items,2058,2058,0.0041302235179786,0.0016520894071914,0.0069982993197278,0.2081875607385811,0.1907902089407191,0.2249040330417881,C lien par le contenu (meilleur bloc),N naif (Hamming) = 0.413 % | L A-LLR recalibre sur la defense (hors pli) = 0.049 % | C lien par le contenu (meilleur bloc) = 20.819 % | C lien par le contenu (au moins un bloc) = 20.819 %,0.0,0.0,9.861416459953314e-15,3.287138819984438e-15,4.317365833832603,False,False,0.0158649173955296,1.0,False,True,0.0,True,1.3877787807814457e-15,0.0,True,3,False,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E2(B=2),permutation jointe,"2 bloc(s) d'items correles, permutation JOINTE intra-segment, 60 items",60 items,2058,2058,0.0032555879494655,0.0010932944606413,0.0057829203109815,0.3339650145772595,0.3156948493683187,0.3524058551992226,C lien par le contenu (au moins un bloc),N naif (Hamming) = 0.326 % | L A-LLR recalibre sur la defense (hors pli) = 0.146 % | C lien par le contenu (meilleur bloc) = 33.212 % | C lien par le contenu (au moins un bloc) = 33.397 %,0.0,0.0,9.550653537257694e-15,3.183551179085898e-15,4.317365833832603,False,False,0.0158649173955296,1.0,False,True,0.0,True,1.3877787807814457e-15,0.0,True,3,False,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E2(B=5),permutation jointe,"5 bloc(s) d'items correles, permutation JOINTE intra-segment, 60 items",60 items,2058,2058,0.0022351797862001,0.0005830903790087,0.0045189504373177,0.1089893100097181,0.0981766277939747,0.1204336734693877,C lien par le contenu (au moins un bloc),N naif (Hamming) = 0.224 % | L A-LLR recalibre sur la defense (hors pli) = 0.000 % | C lien par le contenu (meilleur bloc) = 8.107 % | C lien par le contenu (au moins un bloc) = 10.899 %,0.0,0.0,2.879377560923734,0.9597925203079112,4.317365833832603,False,False,0.0158649173955296,1.0,False,True,1.0,True,1.429093299115365,7.5,True,3,False,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
candidat,E2(B=10),permutation jointe,"10 bloc(s) d'items correles, permutation JOINTE intra-segment, 60 items",60 items,2058,2058,0.0009718172983479,0.0,0.0024295432458697,0.0238824101068999,0.0215257531584062,0.0264091350826044,C lien par le contenu (au moins un bloc),N naif (Hamming) = 0.097 % | L A-LLR recalibre sur la defense (hors pli) = 0.049 % | C lien par le contenu (meilleur bloc) = 0.498 % | C lien par le contenu (au moins un bloc) = 2.388 %,0.0,0.0,3.779534973860934,1.259844991286978,4.317365833832603,False,False,0.0158649173955296,1.0,False,True,2.0,False,2.5937068551978264,45.0,False,1,False,observe seulement — aucune garantie formelle,AUCUNE,,SANS OBJET,tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8),tirage unique (reduction declaree §8)
