jeu,modele,regresseur,beta,beta_bas,beta_haut,r_simple,n_items
Twin-2K-500,delta ~ H + I_cond + a,entropie,0.754502382912665,0.29063353607872616,1.642122247934523,-0.8128098140955717,60
Twin-2K-500,delta ~ H + I_cond + a,information conditionnelle,0.2612774245587941,-0.12264301250078732,0.8245490254269299,0.8969764941406484,60
Twin-2K-500,delta ~ H + I_cond + a,justesse a_j,1.4027324427606913,0.5741018864247897,2.4597280587003643,0.9208419891100368,60
Twin-2K-500,delta ~ H + I_cond,entropie,-0.15024777890783453,-0.6734035557509146,0.29640838479539233,-0.8128098140955717,60
Twin-2K-500,delta ~ H + I_cond,information conditionnelle,0.767225181837226,0.2488885753457815,1.1975720834965045,0.8969764941406484,60
Twin-2K-500,delta ~ H + MI cond. vraie,entropie,-0.6574485003293591,-0.8434577020365596,-0.48896283817590946,-0.8128098140955717,60
Twin-2K-500,delta ~ H + MI cond. vraie,MI conditionnelle vraie,0.5332305051482091,0.40038855941978013,0.6832271048008562,0.7247838048162493,60
Stanford GSS,delta ~ H + I_cond + a,entropie,0.9960286367315583,0.897305561536081,1.1350088447628726,0.5689715900353374,177
Stanford GSS,delta ~ H + I_cond + a,information conditionnelle,0.11880004369970226,-0.017488824224626644,0.22827873968437848,0.36140263074872336,177
Stanford GSS,delta ~ H + I_cond + a,justesse a_j,0.793748972881018,0.6674796918310121,0.9491682589409133,0.23226374696078558,177
Stanford GSS,delta ~ H + I_cond,entropie,0.5161855089568705,0.28859865955889447,0.6505369771015421,0.5689715900353374,177
Stanford GSS,delta ~ H + I_cond,information conditionnelle,0.2542237966348394,0.07041638238171585,0.4759466617405015,0.36140263074872336,177
Stanford GSS,delta ~ H + MI cond. vraie,entropie,0.029094245942452503,-0.060750007793844346,0.11522734636908502,0.5689715900353374,177
Stanford GSS,delta ~ H + MI cond. vraie,MI conditionnelle vraie,0.8723737288717184,0.7958135405885438,0.9424257137660261,0.8903789985261722,177
