configuration,n_personnes,n_cellules,taux_changement,auc_desaccord_changement,auc_ic_bas,auc_ic_haut,exactitude_persistance,exactitude_persistance_ic_bas,exactitude_persistance_ic_haut,exactitude_jumeau,exactitude_jumeau_ic_bas,exactitude_jumeau_ic_haut,exactitude_B0 mode,exactitude_B0 mode_ic_bas,exactitude_B0 mode_ic_haut,exactitude_PMM k=10,exactitude_PMM k=10_ic_bas,exactitude_PMM k=10_ic_haut,exactitude_changees_persistance,exactitude_changees_persistance_ic_bas,exactitude_changees_persistance_ic_haut,exactitude_changees_jumeau,exactitude_changees_jumeau_ic_bas,exactitude_changees_jumeau_ic_haut,exactitude_changees_B0 mode,exactitude_changees_B0 mode_ic_bas,exactitude_changees_B0 mode_ic_haut,exactitude_changees_PMM k=10,exactitude_changees_PMM k=10_ic_bas,exactitude_changees_PMM k=10_ic_haut
Demographics Only - GPT4.1-mini,2058,168768,0.288158892681077,0.6072465880172675,0.5950561417870543,0.6190277163224759,0.711841107318923,0.6775708221385316,0.7413906268459021,0.4998103905953735,0.46452813900956985,0.5332008354226919,0.5217813803564657,0.49663428280790173,0.5463132643246348,0.491129835039818,0.4675906132840764,0.513788928994339,0.0,0.0,0.0,0.35293633821352194,0.32442797683604635,0.3837965980434743,0.37343724296759334,0.3518493094787462,0.39599531917285063,0.37413637111367,0.35016781228335436,0.3991716768446152
JSON Persona - GPT4.1,2058,168768,0.288158892681077,0.6489227949673706,0.6362870701273846,0.6598136164794397,0.711841107318923,0.6775708221385316,0.7413906268459021,0.5740069207432689,0.5311754732603405,0.6111411054656181,0.5217813803564657,0.49663428280790173,0.5463132643246348,0.491129835039818,0.4675906132840764,0.513788928994339,0.0,0.0,0.0,0.3658085211383451,0.3372853507557153,0.3956140061081706,0.37343724296759334,0.3518493094787462,0.39599531917285063,0.37413637111367,0.35016781228335436,0.3991716768446152
JSON Persona - GPT4.1-mini,1000,81879,0.29390930519425007,0.6295860344131026,0.6162236516485841,0.640941911908412,0.7060906948057499,0.6751024809355272,0.7366290000118171,0.5450726071398039,0.5080411778086595,0.578646757650967,0.5181181988055545,0.4928167623159255,0.5446709214450454,0.4906386252885355,0.46618219558755,0.5135872510075337,0.0,0.0,0.0,0.3692915021815915,0.34074139851486396,0.3998611255186702,0.37485975483066697,0.3512322915704427,0.4015898372128404,0.37539995844587576,0.3499977689169211,0.40290844786484287
Text Persona (Default Temperature) - GPT4.1-mini,2058,168768,0.288158892681077,0.6334599643242512,0.623808391677276,0.6431522990825657,0.711841107318923,0.6775708221385316,0.7413906268459021,0.5479652540766022,0.5092660289124654,0.5828128451320556,0.5217813803564657,0.49663428280790173,0.5463132643246348,0.491129835039818,0.4675906132840764,0.513788928994339,0.0,0.0,0.0,0.36087349893074516,0.33239369758013254,0.38925800887636164,0.37343724296759334,0.3518493094787462,0.39599531917285063,0.37413637111367,0.35016781228335436,0.3991716768446152
Text Persona (Reasoning) - GPT4.1-mini,2058,168768,0.288158892681077,0.6302627262880651,0.6201839179331806,0.6394310843206162,0.711841107318923,0.6775708221385316,0.7413906268459021,0.5437168183541904,0.5072196428442163,0.5766065039499395,0.5217813803564657,0.49663428280790173,0.5463132643246348,0.491129835039818,0.4675906132840764,0.513788928994339,0.0,0.0,0.0,0.3674124033558151,0.3404827944343322,0.3968684421967004,0.37343724296759334,0.3518493094787462,0.39599531917285063,0.37413637111367,0.35016781228335436,0.3991716768446152
Text Persona (Repeating Questions) - GPT4.1-mini,2058,168768,0.288158892681077,0.6333157988747807,0.6220205336523351,0.6432420354946509,0.711841107318923,0.6775708221385316,0.7413906268459021,0.5490495828593098,0.5106269138364552,0.5849669780745126,0.5217813803564657,0.49663428280790173,0.5463132643246348,0.491129835039818,0.4675906132840764,0.513788928994339,0.0,0.0,0.0,0.3638756374403685,0.33662753442185683,0.3926589573392213,0.37343724296759334,0.3518493094787462,0.39599531917285063,0.37413637111367,0.35016781228335436,0.3991716768446152
Text Persona - GPT4.1-mini,2058,168768,0.288158892681077,0.6350695420936712,0.6256572554201691,0.6442756391829323,0.711841107318923,0.6775708221385316,0.7413906268459021,0.5531024838832006,0.5137404881274221,0.5883327030543901,0.5217813803564657,0.49663428280790173,0.5463132643246348,0.491129835039818,0.4675906132840764,0.513788928994339,0.0,0.0,0.0,0.3652122059549268,0.3386174266120051,0.39429087371015553,0.37343724296759334,0.3518493094787462,0.39599531917285063,0.37413637111367,0.35016781228335436,0.3991716768446152
Text Persona - Gemini-Flash2.5,2058,168768,0.288158892681077,0.643603918300938,0.634246230914297,0.6526263618611045,0.711841107318923,0.6775708221385316,0.7413906268459021,0.5506494122108456,0.5124718271321284,0.5862306278422335,0.5217813803564657,0.49663428280790173,0.5463132643246348,0.491129835039818,0.4675906132840764,0.513788928994339,0.0,0.0,0.0,0.349481822668202,0.3219137141535953,0.3787096050370757,0.37343724296759334,0.3518493094787462,0.39599531917285063,0.37413637111367,0.35016781228335436,0.3991716768446152
