item,cible,predicteur,n_personnes,n_changeurs,taux_de_base,auc,rappel,auc_permutee,auc_permutee_p2_5,auc_permutee_p97_5,auc_permutee_ecart_type,z_permutation,chute,p_permutation,p_permutation_normale,p_holm,p_bh,p_holm_normale,p_bh_normale
natspac/y,mono,P position initiale seule,4255,685,0.1609870740305523,0.5609356151219612,0.21313868613138687,0.4985497873601995,0.47552828211576603,0.5175622533685007,0.011054383822154323,5.643537330116308,0.062385827761761714,0.004975124378109453,8.329569241582473e-09,0.5870646766169154,0.005644852659778033,2.0823923103956182e-07,1.0456267771348211e-08
natspac/y,mono,L1 logistique resumee,4255,685,0.1609870740305523,0.5716481629148009,0.19562043795620437,0.5148434889284181,0.4952242123126623,0.5357250812733854,0.01103265915738725,5.1487744863709946,0.05680467398638278,0.004975124378109453,1.310969420070896e-07,0.5870646766169154,0.005241648898365316,1.573163304085075e-06,1.4457419772744458e-07
natspac/y,mono,L2 logistique complete,4255,685,0.1609870740305523,0.545362612198164,0.1708029197080292,0.509281007585516,0.4856026191498497,0.5342445459935798,0.012449509408158256,2.898235057278918,0.03608160461264798,0.004975124378109453,0.0018763461059024516,0.5870646766169154,0.0054865857627749105,0.02251615327082942,0.0020692414999671895
natspac/y,mono,V voisins k=25,4255,685,0.1609870740305523,0.5372178944570529,0.1562043795620438,0.5000006747224437,0.4777839099143307,0.5195402277699401,0.011242220665430484,3.310486499259986,0.03721721973460923,0.004975124378109453,0.0004656697242361249,0.5870646766169154,0.012762275578628596,0.03539089904194549,0.0012778843595316915
natspac/y,mono,F foret,4255,685,0.1609870740305523,0.5576781369482099,0.20875912408759123,0.5081531967531538,0.48544085955550104,0.5287030096710218,0.010805986875362116,4.583102012457,0.049524940195056044,0.004975124378109453,2.290641986472939e-06,0.5870646766169154,0.005149690145762416,1.832513589178351e-05,2.435096886520782e-06
natspac/y,mono,T0 nul avec derive,4255,685,0.1609870740305523,0.4885440307509865,0.14452554744525548,0.4997227524586477,0.47983680917622523,0.5215257416835347,0.011649593179527325,-0.9595804364487498,-0.01117872170766121,0.835820895522388,0.8313667904770332,1.0,1.0,1.0,0.9998362572761497
natspac/y,mono,T0b nul a taux commun,4255,685,0.1609870740305523,0.5,0.1343065693430657,0.5,0.5,0.5,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0
natspac/y,mono,T1 temoin de segment,4255,685,0.1609870740305523,0.5350538755648244,0.1781021897810219,0.5703086824510827,0.5624559948066818,0.5775535126459342,0.003962729134032004,-8.896597696645276,-0.03525480688625826,1.0,1.0,1.0,1.0,1.0,1.0
natenvir/y,mono,P position initiale seule,2211,347,0.15694255992763456,0.5453967792606152,0.1729106628242075,0.4937520060048732,0.4626105041990823,0.5274047901386502,0.016429326636889688,3.1434503919217947,0.05164477325574207,0.004975124378109453,0.000834843571937723,0.5870646766169154,0.005644852659778033,0.014192340722941291,0.0009657994263593267
natenvir/y,mono,L1 logistique resumee,2211,347,0.15694255992763456,0.664421281122064,0.24495677233429394,0.5080878869772792,0.47490066603999953,0.5395002844739087,0.016924218587427393,9.23725921744601,0.15633339414478475,0.004975124378109453,1.2644592773839918e-20,0.5870646766169154,0.005241648898365316,2.908256337983181e-19,1.5542311951178233e-20
