perimetre,condition,pente,pente_ic_bas,pente_ic_haut,ordonnee,ratio_a_derive_nulle,r2,spearman,gs_gauche,gs_droite,n_items,n_items_offerts,n_items_perdus_log,n_items_gauche_unanime,n_items_droite_unanime,pente_difference,r2_difference,ecart_pente_vs_humains,ecart_ic_bas,ecart_ic_haut,p,pente_sur_derive_humaine,r2_sur_derive_humaine,p_holm
1052 personnes,humains vague 1,-2.218536,-2.600153,-1.941190,0.039544,1.040336,0.677036,-0.858517,0.411384,0.502081,79,79,0,0,0,-0.651476,0.619987,,,,,-2.218536,0.677036,
1052 personnes,agents composite,-3.795702,-4.305034,-3.394324,0.083307,1.086876,0.630359,-0.810521,0.309175,0.444350,79,79,0,0,0,-0.882483,0.561500,-1.577165,-1.953720,-1.247026,0.000500,-3.691716,0.551810,0.005997
1052 personnes,agents entretien (v3),-5.370237,-5.868633,-4.475387,0.277717,1.320113,0.653244,-0.803033,0.250309,0.391050,73,79,6,3,4,-0.706406,0.484635,-3.151701,-3.600371,-2.284816,0.000500,-5.890442,0.555919,0.005997
1052 personnes,agents enquete,-3.795805,-4.523430,-3.289807,0.227732,1.255749,0.506160,-0.719231,0.258215,0.441891,78,79,1,1,1,-0.809442,0.445867,-1.577268,-2.212533,-1.112976,0.000500,-3.876982,0.506825,0.005997
1052 personnes,agents demographiques (v6),-1.688570,-2.154975,-1.271012,0.069452,1.071920,0.493338,-0.658923,0.254922,0.330039,73,79,6,6,3,-0.189201,0.235627,0.529967,0.007896,1.055106,0.046000,-1.612814,0.251458,0.180000
1052 personnes,agents v7,-1.883722,-2.381010,-1.394060,-0.007016,0.993009,0.458470,-0.747115,0.247209,0.311462,76,79,3,2,3,-0.247042,0.388247,0.334815,-0.184002,0.904486,0.195000,-1.790257,0.250952,0.390000
1052 personnes,agents v8,-12.413928,-12.888300,-7.735560,0.063167,1.065205,0.583018,-0.798339,0.179633,0.278318,63,79,16,12,6,-0.819390,0.389050,-10.195391,-10.689151,-5.425124,0.000500,-7.565514,0.428305,0.005997
1052 personnes,B0 mode,-0.012299,-0.170469,0.142516,0.108066,1.114122,0.001081,0.359211,0.025154,0.027845,6,79,73,73,73,0.002896,0.009161,2.206237,1.906594,2.600862,0.000500,0.099265,0.007732,0.005997
1052 personnes,B0 tirage,-0.053476,-0.209328,0.116877,-0.008652,0.991385,0.013924,-0.038560,0.492581,0.489804,79,79,0,0,0,-0.016120,0.018113,2.165060,1.861394,2.574415,0.000500,-0.059249,0.016670,0.005997
1052 personnes,B1 argmax,-5.247072,-5.600423,-4.640074,-0.077109,0.925789,0.631621,-0.781233,0.240647,0.320998,70,79,9,8,2,-0.668459,0.455576,-3.028536,-3.390776,-2.302411,0.000500,-7.465058,0.587326,0.005997
1052 personnes,B2 argmax,-3.837147,-4.300748,-3.303982,0.200993,1.222617,0.464674,-0.694125,0.195958,0.308749,70,79,9,9,4,-0.468123,0.234659,-1.618610,-1.979533,-1.095091,0.000500,-5.489431,0.433875,0.005997
1052 personnes,B3 foret,-4.116873,-4.559131,-2.336736,-0.178361,0.836640,0.319818,-0.437366,0.143303,0.202872,45,79,34,28,15,-0.383107,0.199207,-1.898337,-2.310761,-0.040168,0.045000,-6.065308,0.238305,0.180000
1052 personnes,humains vague 2,-2.144586,-2.501404,-1.855240,0.042386,1.043297,0.667919,-0.834991,0.410345,0.500139,79,79,0,0,0,-0.636451,0.600163,0.073951,-0.173484,0.325170,0.545000,-2.174807,0.679787,0.545000
