perimetre,segmentation,condition,lift_personne,lift_segment,groupe_sur_personne,rappel_rares,fausses_raretes,raretes_osees,nul_lift_personne,nul_lift_segment,nul_groupe_sur_personne,nul_rappel_rares
1052,S_fin,humains vague 1,,,,1.0,0,5709,-0.008188592055660717,0.11920095455023523,35.03910679233764,0.1256191977579261
1052,S_ideo,humains vague 1,,,,1.0,0,5709,0.0030165935977749946,0.20066727983592955,61.27450724963278,0.08907689612891924
1052,S_fin,humains vague 2,0.2408249864563785,0.13514815146554482,0.5611882448502689,0.5482571378525136,2442,5899,-0.0013530425272012892,0.11145764679559474,29.564977246844144,0.11142757050271503
1052,S_ideo,humains vague 2,0.2408249864563785,0.13514815146554482,0.5611882448502689,0.5482571378525136,2442,5899,0.00046720889341284933,0.18369461756222297,85.49131483045834,0.08865300402872657
1052,S_fin,agents composite,0.21164706471404382,0.3432709028541101,1.6219024975276797,0.3068838675775092,3337,5420,0.021855005495353564,0.21969021404821046,12.436753579457024,0.11129444736381153
1052,S_ideo,agents composite,0.21164706471404382,0.3432709028541101,1.6219024975276797,0.3068838675775092,3337,5420,0.04695671599294744,0.30125727102026584,6.599202583629229,0.09589069889647923
1052,S_fin,agents entretien (v3),0.10631392734809286,0.3881659698656206,3.651130002889351,0.2953231739358907,3785,5808,0.01573852363661048,0.24797772227503775,21.01510801163064,0.1178279908915747
1052,S_ideo,agents entretien (v3),0.10631392734809286,0.3881659698656206,3.651130002889351,0.2953231739358907,3785,5808,0.038740975659244004,0.33211214812693046,8.963217877055989,0.10622175512348925
1052,S_fin,agents enquete,0.19880979218066197,0.3780876539375393,1.901755692164118,0.2305132247328779,3963,5640,0.018813946163506037,0.22698831389757337,16.202493022931222,0.0879733753722193
1052,S_ideo,agents enquete,0.19880979218066197,0.3780876539375393,1.901755692164118,0.2305132247328779,3963,5640,0.04571573667500204,0.34136685095713304,7.72735608274686,0.09239796812051146
1052,S_fin,agents demographiques (v6),0.06076805341573355,0.06630573345028878,1.0911281458477897,0.162375197057278,1486,2581,-0.018360105092348818,0.04246216785869631,20.560102408147042,0.04013662637940094
1052,S_ideo,agents demographiques (v6),0.06076805341573355,0.06630573345028878,1.0911281458477897,0.162375197057278,1486,2581,-0.004704013129591149,0.059787060933834776,16.338370770611416,0.03288141530916097
1052,S_fin,agents v7,0.02225767374247556,0.06389757208819691,2.87081088650597,0.06726221755123489,2392,2939,-0.005860406616793323,0.05260853279480569,12.639789934128055,0.04470134874759152
1052,S_ideo,agents v7,0.02225767374247556,0.06389757208819691,2.87081088650597,0.06726221755123489,2392,2939,-0.007998215435996825,0.08398632846297184,32.69507700059464,0.036668418286915395
1052,S_fin,agents v8,0.10079226974127575,0.7427785909737552,7.369400380410102,0.17165878437554738,5467,6609,0.06213459688691369,0.5380764277750614,8.751902647772203,0.14984060255736556
1052,S_ideo,agents v8,0.10079226974127575,0.7427785909737552,7.369400380410102,0.17165878437554738,5467,6609,0.09964837313758586,0.727827294154081,7.323935996180052,0.15639166228761606
150,S_fin,C2,0.07175094066619137,0.3190240108980713,4.446269385962122,0.1285140562248996,808,966,0.011167032968649878,0.15243223279417684,18.34672564181221,0.08267737617135207
150,S_ideo,C2,0.07175094066619137,0.3190240108980713,4.446269385962122,0.1285140562248996,808,966,0.05604214547788526,0.31279422294012016,6.316599806363231,0.10792503346720216
150,S_fin,C3,0.10529061426770414,0.04593272405682436,0.4362470897932004,0.21954484605087016,1004,1247,-0.01094175332679071,0.03121481653307447,7.887137587590077,0.11218206157965194
150,S_ideo,C3,0.10529061426770414,0.04593272405682436,0.4362470897932004,0.21954484605087016,1004,1247,-0.007216479826488868,0.0809933402660403,20.082191674286054,0.10286479250334672
1052,S_fin,B1 argmax,0.09529915092939323,0.5032419282593461,5.280654899351581,0.05797863023296549,1021,1496,0.031235159829102747,0.26133944148875543,15.161990295490895,0.046032580136626394
1052,S_ideo,B1 argmax,0.09529915092939323,0.5032419282593461,5.280654899351581,0.05797863023296549,1021,1496,0.05259907565507694,0.46145261468289683,10.784019983064256,0.03612541600980908
1052,S_fin,B2 argmax,0.549377582562139,0.6135326835647144,1.1167777918847261,0.03573305307409354,152,417,0.04352725044147723,0.3727181500096515,10.500027301552667,0.013014538448064461
1052,S_ideo,B2 argmax,0.549377582562139,0.6135326835647144,1.1167777918847261,0.03573305307409354,152,417,0.09921258909528957,0.5488566034407487,6.227087464850889,0.01229987738658259
1052,S_fin,PMM k=10,0.20669997144493002,0.25820762012870757,1.2491904005777787,0.21264669819583115,2580,4121,0.0078984909988981,0.17542468379863432,1249.1468621356614,0.08698896479243298
1052,S_ideo,PMM k=10,0.20669997144493002,0.25820762012870757,1.2491904005777787,0.21264669819583115,2580,4121,0.028417001722164447,0.2747109023962455,11.267689600106664,0.07500087581012436
1052,S_fin,B0 mode,,,,0.0,0,0,,,,0.0
1052,S_ideo,B0 mode,,,,0.0,0,0,,,,0.0
1052,S_fin,B0 tirage,-0.020635654480401944,-0.01927043247902438,,0.06165703275529865,5043,5699,-0.02469244077028984,-0.014615210589357218,,0.06370642844631286
1052,S_ideo,B0 tirage,-0.020635654480401944,-0.01927043247902438,,0.06165703275529865,5043,5699,-0.02555333400025555,-0.020300796798639213,,0.06348922753547032
1052,S_fin,B3 foret,0.09916413373860178,0.8110547265583254,8.178912031806565,0.014363286039586618,95,207,0.017461131042220683,0.2177122154958088,13.053681703896508,0.010709406200735681
1052,S_ideo,B3 foret,0.09916413373860178,0.8110547265583254,8.178912031806565,0.014363286039586618,95,207,0.016380340178565583,0.5125471904856482,24.668432762577815,0.0064459625153266776
150,S_fin,humains vague 1 (150),,,,1.0,0,747,-0.01854011015068189,0.08302702601603038,7.265362430725935,0.15282463186077647
150,S_ideo,humains vague 1 (150),,,,1.0,0,747,-0.04142587631231302,0.44758893323620563,168.16889798053384,0.11054886211512718
150,S_fin,humains vague 2 (150),0.28257865814426886,0.11238217597866695,0.39770227771869066,0.4738955823293173,389,790,-0.01628783344187355,0.07658241513375418,17.7576795714975,0.11333333333333333
150,S_ideo,humains vague 2 (150),0.28257865814426886,0.11238217597866695,0.39770227771869066,0.4738955823293173,389,790,-0.027225192627701046,0.2610199143909488,62.596081106743384,0.09140562248995986
