condition,axe,mesure,inter_humain_vague1,ratio_inter,inter_ic_bas,inter_ic_haut,p_sup,ratio_intra,intra_ic_bas,intra_ic_haut
humains vague 1,gender,entropie,1.6981,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,gender,gini_simpson,0.5670,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,race,entropie,0.8383,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,race,gini_simpson,0.4697,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,political_ideology,entropie,7.1233,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,political_ideology,gini_simpson,3.4325,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,age,entropie,4.5011,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,age,gini_simpson,1.9355,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,education,entropie,1.9591,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,education,gini_simpson,0.7041,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,profil croise,entropie,9.2185,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 1,profil croise,gini_simpson,4.1424,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
humains vague 2,gender,entropie,1.6981,0.8319,0.4366,1.3185,0.1920,1.0002,0.9897,1.0112
humains vague 2,gender,gini_simpson,0.5670,0.7771,0.2433,1.2853,0.1580,1.0002,0.9902,1.0108
humains vague 2,race,entropie,0.8383,1.4575,-5.7141,7.8656,0.8540,0.9966,0.9860,1.0075
humains vague 2,race,gini_simpson,0.4697,1.2720,-1.7637,4.7504,0.7810,0.9970,0.9863,1.0068
humains vague 2,political_ideology,entropie,7.1233,1.1118,0.9342,1.4115,0.8860,0.9947,0.9832,1.0081
humains vague 2,political_ideology,gini_simpson,3.4325,1.0118,0.8601,1.2027,0.5620,0.9987,0.9877,1.0128
humains vague 2,age,entropie,4.5011,1.0970,0.8260,1.6604,0.7640,0.9964,0.9863,1.0062
humains vague 2,age,gini_simpson,1.9355,1.0232,0.7721,1.4412,0.5550,0.9981,0.9879,1.0091
humains vague 2,education,entropie,1.9591,1.0628,-0.9163,3.7669,0.5910,0.9979,0.9871,1.0096
humains vague 2,education,gini_simpson,0.7041,1.1677,-1.8215,4.0874,0.7550,0.9972,0.9864,1.0083
humains vague 2,profil croise,entropie,9.2185,0.9680,0.7026,1.1930,0.3510,0.9990,0.9867,1.0123
humains vague 2,profil croise,gini_simpson,4.1424,0.9048,0.5863,1.0703,0.1240,1.0027,0.9912,1.0157
C2 argmax,gender,entropie,1.6981,0.0746,-1.1434,1.1680,0.0420,0.6588,0.6204,0.6950
C2 argmax,gender,gini_simpson,0.5670,0.0834,-1.4272,1.2041,0.0460,0.6654,0.6237,0.7058
