condition,n_items,score_brut,norm [deux semaines],norm [2 ans],norm [4 ans],ecart_2ans_moins_2sem_points,ecart_4ans_moins_2sem_points
agents composite,118,0.6563204872075787,0.8437114896701702,0.9439829559322189,0.973089479279782,10.027146626204875,12.937798960961178
agents entretien (v3),118,0.6252094477025198,0.8037177031015378,0.8992360805770679,0.9269628904837575,9.551837747553016,12.324518738221968
agents enquete,118,0.6334423535477218,0.8143012478641328,0.911077433920663,0.939169357016522,9.677618605653016,12.486810915238921
agents demographiques (v6),118,0.5500660565831024,0.707119556775229,0.7911576618010839,0.8155520100359794,8.403810502585497,10.843245326075046
