reel,nul,rapport,ic_bas,ic_haut,n_personnes,perimetre,delai,variante,quantite,decoupe,cle
0.3244335520343429,0.5193383919520845,0.6247055042760558,0.6208850629229574,0.6292661334727232,4683,4ans,quatre ans,"N1, remelange dans le panel",nombre d'items changes,ensemble,tout
0.33101354282134077,0.5199689623596323,0.6366025028093849,0.6284060737755811,0.643702068360718,1276,4ans,quatre ans,"N1, remelange dans le panel",nombre d'items changes,panel,2006-2010
0.3191507849157157,0.519180907142443,0.6147198029147731,0.6073844136695474,0.6222587911342227,1294,4ans,quatre ans,"N1, remelange dans le panel",nombre d'items changes,panel,2008-2012
0.32041412517009393,0.5202464577643707,0.6158891048427194,0.6088426168835196,0.6240708723247096,1304,4ans,quatre ans,"N1, remelange dans le panel",nombre d'items changes,panel,2010-2014
0.3288192586931601,0.5171292319449746,0.6358550984566045,0.6257841466749827,0.6452376529799178,809,4ans,quatre ans,"N1, remelange dans le panel",nombre d'items changes,panel,2016-2020
0.3299962385347646,0.5159134573652373,0.6396348725230986,0.6335925677624396,0.6464959912655096,1718,4ans,quatre ans,"N1, remelange dans le panel",nombre d'items changes,camp,centre
0.3238173726718312,0.5232582825119491,0.6188480593509508,0.6116717822741318,0.625782279920995,1494,4ans,quatre ans,"N1, remelange dans le panel",nombre d'items changes,camp,droite
0.31465068019368225,0.5169390823149647,0.6086803860613685,0.5998304376780458,0.6185032509250794,1334,4ans,quatre ans,"N1, remelange dans le panel",nombre d'items changes,camp,gauche
0.5056672627416721,0.8450134003121431,0.5984133062918073,0.5938384464317684,0.6034526078637324,4683,4ans,quatre ans,"N1, remelange dans le panel",distance ordinale,ensemble,tout
0.5196390746701803,0.8429107527061066,0.616481724787488,0.6073187598107356,0.625150011722579,1276,4ans,quatre ans,"N1, remelange dans le panel",distance ordinale,panel,2006-2010
0.4972268349385586,0.845222849551644,0.5882789789726072,0.5803140835079735,0.5978221124323975,1294,4ans,quatre ans,"N1, remelange dans le panel",distance ordinale,panel,2008-2012
0.49813129671758205,0.8525550861228465,0.5842804820776182,0.5761633351709395,0.5929380040323516,1304,4ans,quatre ans,"N1, remelange dans le panel",distance ordinale,panel,2010-2014
0.5091974562463867,0.8357986019866498,0.6092346350377361,0.5983921029391813,0.6197995503955912,809,4ans,quatre ans,"N1, remelange dans le panel",distance ordinale,panel,2016-2020
0.510077731825203,0.8338935671931827,0.611682056191035,0.6040450411175352,0.6192415411909571,1718,4ans,quatre ans,"N1, remelange dans le panel",distance ordinale,camp,centre
0.5007947320617621,0.8474613987284294,0.5909351538762447,0.5826750069324659,0.5989378788202103,1494,4ans,quatre ans,"N1, remelange dans le panel",distance ordinale,camp,droite
0.49918573212958717,0.8510721457144215,0.5865375040685326,0.5771389388897974,0.5958530026218128,1334,4ans,quatre ans,"N1, remelange dans le panel",distance ordinale,camp,gauche
0.3244335520343429,0.49057450699640287,0.6613339001668136,0.6573094679430119,0.6652532237283195,4683,4ans,quatre ans,"N2, remelange dans le segment",nombre d'items changes,ensemble,tout
0.33101354282134077,0.4947552171188972,0.6690450779860967,0.660674405575691,0.6772087758715566,1276,4ans,quatre ans,"N2, remelange dans le segment",nombre d'items changes,panel,2006-2010
0.3191507849157157,0.4900332116858795,0.6512839891356126,0.6441317688928071,0.6583956941708615,1294,4ans,quatre ans,"N2, remelange dans le segment",nombre d'items changes,panel,2008-2012
0.32041412517009393,0.4910980216768642,0.6524443411032962,0.6450105763592346,0.6603125634126208,1304,4ans,quatre ans,"N2, remelange dans le segment",nombre d'items changes,panel,2010-2014
0.3288192586931601,0.4839611769201377,0.6794331330164138,0.6694384298621546,0.6885402744344277,809,4ans,quatre ans,"N2, remelange dans le segment",nombre d'items changes,panel,2016-2020
0.3299962385347646,0.4966074477011669,0.6645011871294761,0.6583763724567727,0.6712798960815469,1718,4ans,quatre ans,"N2, remelange dans le segment",nombre d'items changes,camp,centre
0.3238173726718312,0.4987089170924673,0.6493113749794674,0.6421933617393745,0.656580026602419,1494,4ans,quatre ans,"N2, remelange dans le segment",nombre d'items changes,camp,droite
0.31465068019368225,0.47430168319114674,0.6633977726511165,0.65563972501627,0.671965321107737,1334,4ans,quatre ans,"N2, remelange dans le segment",nombre d'items changes,camp,gauche
0.5056672627416721,0.7965322085261496,0.6348359266944462,0.6300093125417203,0.6395136746692406,4683,4ans,quatre ans,"N2, remelange dans le segment",distance ordinale,ensemble,tout
0.5196390746701803,0.8002581850326077,0.649339281233352,0.6399437913851844,0.6582328737009017,1276,4ans,quatre ans,"N2, remelange dans le segment",distance ordinale,panel,2006-2010
0.4972268349385586,0.7967200265692471,0.6240923013817854,0.6157606087525697,0.6344872549423971,1294,4ans,quatre ans,"N2, remelange dans le segment",distance ordinale,panel,2008-2012
0.49813129671758205,0.8029145271368212,0.6204038909271069,0.6116222219073404,0.6292811137545928,1304,4ans,quatre ans,"N2, remelange dans le segment",distance ordinale,panel,2010-2014
0.5091974562463867,0.7800430966521255,0.6527811840548505,0.6409221498158177,0.662903220190232,809,4ans,quatre ans,"N2, remelange dans le segment",distance ordinale,panel,2016-2020
0.510077731825203,0.7975624096865807,0.6395458532525988,0.6316424591840877,0.6471481301037838,1718,4ans,quatre ans,"N2, remelange dans le segment",distance ordinale,camp,centre
