contraste,avec,sans,classe_PA,mesure,valeur_avec,valeur_sans,effet,cellules,personnes
H1,C3E,C3,stable,rappel,0.6338028169014085,0.5352112676056338,0.09859154929577474,71,94
H1,C3E,C3,stable,precision,0.21739130434782608,0.19289340101522842,0.02449790333259766,71,94
H1,C3E,C3,stable,exces_segment,0.5273873525969874,0.4290266968592825,0.09836065573770492,71,94
H1,C3E,C3,stable,exces_item,0.5520429905790596,0.45345144128328485,0.09859154929577474,71,94
H1,C3E,C3,stable,exces_humains vague 2,-0.3661971830985915,-0.46478873239436624,0.09859154929577474,71,94
H1,C3E,C3,ensemble,rappel,0.4430379746835443,0.3924050632911392,0.050632911392405056,158,94
H1,C3E,C3,ensemble,precision,0.23972602739726026,0.23220973782771537,0.007516289569544893,158,94
H1,C3E,C3,ensemble,exces_segment,0.3608484396508994,0.30741332514708253,0.05343511450381688,158,94
H1,C3E,C3,ensemble,exces_item,0.3653060978694191,0.31467318647701403,0.050632911392405056,158,94
H1,C3E,C3,ensemble,exces_humains vague 2,-0.006329113924050667,-0.05696202531645572,0.050632911392405056,158,94
H2,C2,C2S,stable,rappel,0.23863636363636365,0.011363636363636364,0.2272727272727273,88,130
H2,C2,C2S,stable,precision,0.11351351351351352,0.058823529411764705,0.054689984101748815,88,130
H2,C2,C2S,stable,exces_segment,0.046906335059422405,-0.1478988597457724,0.19480519480519481,88,130
H2,C2,C2S,stable,exces_item,0.15383617334140645,-0.07343655393132083,0.2272727272727273,88,130
H2,C2,C2S,stable,exces_humains vague 2,-0.7613636363636364,-0.9886363636363636,0.2272727272727273,88,130
H2,C2,C2S,ensemble,rappel,0.19337016574585636,0.0055248618784530384,0.18784530386740333,181,130
H2,C2,C2S,ensemble,precision,0.1377952755905512,0.05,0.08779527559055118,181,130
H2,C2,C2S,ensemble,exces_segment,0.044436386194746935,-0.11345835064735835,0.15789473684210528,181,130
H2,C2,C2S,ensemble,exces_item,0.11285226908337757,-0.07499303478402575,0.18784530386740333,181,130
H2,C2,C2S,ensemble,exces_humains vague 2,-0.292817679558011,-0.48066298342541436,0.18784530386740333,181,130
