configuration,cible,n_attaques,n_pool,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,top10_hasard,top1_segment,top1_segment_bas,top1_segment_haut,rang_segment_median,taille_segment_mediane
Demographics Only - GPT4.1-mini,humains vague 4,2058,2058,0.021258503401360544,0.015597060252672499,0.02747813411078717,0.09382896015549076,0.08199344023323615,0.10626882896015549,301.175,0.00048590864917395527,0.004859086491739553,0.13977162293488823,0.12536443148688048,0.15471392128279884,12.85,124.0
Demographics Only - GPT4.1-mini,humains vagues 1-3 (retest),2058,2058,0.02478134110787172,0.018366739552964043,0.03158466958211856,0.09740038872691933,0.08520286686103012,0.10993804664723032,262.55,0.00048590864917395527,0.004859086491739553,0.14375607385811467,0.12988338192419827,0.15828595724003888,12.45,124.0
JSON Persona - GPT4.1,humains vague 4,2058,2058,0.2068027210884354,0.18959973275024294,0.22427235179786198,0.42747813411078717,0.4061449222546162,0.4478881195335277,20.25,0.00048590864917395527,0.004859086491739553,0.45714285714285713,0.43558673469387754,0.47825801749271135,2.0,124.0
JSON Persona - GPT4.1,humains vagues 1-3 (retest),2058,2058,0.19069484936831876,0.17482932458697767,0.2068768221574344,0.4381681243926142,0.4168586005830904,0.46032981049562677,18.05,0.00048590864917395527,0.004859086491739553,0.4653790087463557,0.44448372206025266,0.4868081875607386,2.0,124.0
JSON Persona - GPT4.1-mini,humains vague 4,1000,2058,0.12255,0.10274875,0.14290124999999995,0.27435000000000004,0.24810000000000001,0.3012525,66.675,0.00048590864917395527,0.004859086491739553,0.3235,0.2955,0.3516025,3.9,124.0
JSON Persona - GPT4.1-mini,humains vagues 1-3 (retest),1000,2058,0.10504999999999999,0.08734750000000001,0.12459999999999999,0.28105,0.25454375,0.30760375,63.45,0.00048590864917395527,0.004859086491739553,0.3343,0.30514375000000005,0.36240125,3.6,124.0
Text Persona (Default Temperature) - GPT4.1-mini,humains vague 4,2058,2058,0.05580660835762876,0.04640427599611273,0.06501579203109815,0.17956754130223515,0.16406584062196305,0.1958460884353741,126.05000000000001,0.00048590864917395527,0.004859086491739553,0.23850826044703596,0.22145104470359572,0.2565354713313897,6.5,124.0
Text Persona (Default Temperature) - GPT4.1-mini,humains vagues 1-3 (retest),2058,2058,0.0444363459669582,0.036516034985422746,0.053089771622934864,0.1650874635568513,0.1499271137026239,0.18022412536443147,127.25,0.00048590864917395527,0.004859086491739553,0.2224975704567541,0.2059997570456754,0.23933551992225463,6.05,124.0
Text Persona (Reasoning) - GPT4.1-mini,humains vague 4,2058,2058,0.09341593780369291,0.081875,0.10607385811467444,0.24419339164237125,0.22509475218658892,0.2617832847424684,87.3,0.00048590864917395527,0.004859086491739553,0.2825801749271137,0.2635064382896016,0.3009718172983479,4.675000000000001,124.0
Text Persona (Reasoning) - GPT4.1-mini,humains vagues 1-3 (retest),2058,2058,0.08705053449951408,0.07597181729834791,0.09927113702623908,0.23901846452866862,0.22106110301263363,0.2557458697764819,91.4,0.00048590864917395527,0.004859086491739553,0.287220602526725,0.26919156948493683,0.3058333333333333,4.55,124.0
Text Persona (Repeating Questions) - GPT4.1-mini,humains vague 4,2058,2058,0.07354227405247814,0.06294825072886298,0.08350765306122446,0.2316812439261419,0.2138951652089407,0.24922558309037898,82.65,0.00048590864917395527,0.004859086491739553,0.2814868804664723,0.26316751700680274,0.29997813411078716,4.75,124.0
Text Persona (Repeating Questions) - GPT4.1-mini,humains vagues 1-3 (retest),2058,2058,0.06234207968901847,0.052573493683187554,0.07257045675413022,0.22140427599611273,0.20408102526724975,0.23812196307094263,88.9,0.00048590864917395527,0.004859086491739553,0.26848882410106906,0.25043124392614186,0.28758624878522837,4.65,124.0
Text Persona - GPT4.1-mini,humains vague 4,2058,2058,0.055272108843537414,0.046330782312925166,0.06457786686103013,0.19283284742468418,0.1766265792031098,0.20923469387755103,113.25,0.00048590864917395527,0.004859086491739553,0.25697278911564625,0.2394254130223518,0.2755126336248785,5.95,124.0
Text Persona - GPT4.1-mini,humains vagues 1-3 (retest),2058,2058,0.05738581146744412,0.04805575801749271,0.06678875121477162,0.18087949465500486,0.16542274052478137,0.19706025267249755,113.425,0.00048590864917395527,0.004859086491739553,0.24307580174927113,0.22628583576287656,0.26149295432458697,5.9,124.0
Text Persona - Gemini-Flash2.5,humains vague 4,2058,2058,0.13117103984450923,0.11778304178814383,0.1450449465500486,0.3230563654033042,0.30342504859086494,0.34300777453838677,39.725,0.00048590864917395527,0.004859086491739553,0.3668124392614188,0.3469387755102041,0.387415573372206,2.8,124.0
Text Persona - Gemini-Flash2.5,humains vagues 1-3 (retest),2058,2058,0.14606413994169096,0.13078170553935858,0.16054907677356653,0.3165208940719145,0.29713253158406217,0.3361273080660836,41.075,0.00048590864917395527,0.004859086491739553,0.3805636540330418,0.36127125850340136,0.4015081389698737,2.95,124.0
