camp,n,r_econ_social,ic_bas,ic_haut,et_economique,et_social,n_items_econ,n_items_social
gauche,417,0.446999,0.355057,0.534337,1.586965,1.813608,18,26
centre,303,0.134496,0.014316,0.252032,1.658179,2.311806,18,26
droite,332,0.310987,0.208225,0.403073,2.160739,2.655898,18,26
population entiere,1052,0.532947,,,2.152999,2.853193,18,26
