perimetre,condition,metrique,ordinaux_difference,ordinaux_ic_bas,ordinaux_ic_haut,ordinaux_p,ordinaux_n_sensibles,stratifie_difference,stratifie_n_sensibles,residualise_difference,residualise_ic_bas,residualise_ic_haut,residualise_p,litterature_difference,litterature_ic_bas,litterature_ic_haut,litterature_p,litterature_n_sensibles
150,B0 mode,distance,0.000670,-0.032934,0.031838,0.972600,8,0.005176,10,-0.015323,-0.078558,0.047148,0.701100,0.003917,-0.051393,0.062308,0.889700,39
150,B0 mode,ecart_desirabilite,-0.049857,-0.207464,0.106928,0.478900,8,-0.005313,8,-0.026089,-0.178054,0.125235,0.729100,0.002483,-0.117255,0.118927,0.961500,23
150,B0 mode,exactitude,-0.013431,-0.063189,0.036426,0.741600,8,-0.024067,10,-0.003111,-0.054454,0.054787,0.938300,-0.045001,-0.106940,0.020040,0.178900,39
150,B0 tirage,distance,-0.002694,-0.013602,0.008703,0.714300,8,-0.002240,10,-0.002494,-0.016098,0.011646,0.815500,-0.002225,-0.011931,0.007939,0.698400,39
150,B0 tirage,ecart_desirabilite,-0.019481,-0.038337,-0.001219,0.147900,8,-0.017187,8,-0.017387,-0.037422,0.004581,0.281500,0.001389,-0.020204,0.023118,0.896000,23
150,B0 tirage,exactitude,-0.012010,-0.064804,0.038923,0.700800,8,0.003513,10,0.009162,-0.052051,0.075805,0.814200,-0.049534,-0.116384,0.019828,0.150200,39
150,B1 argmax,distance,0.019794,-0.015173,0.056930,0.188100,8,0.011049,10,0.015020,-0.019067,0.053092,0.352400,-0.011779,-0.030386,0.007587,0.244700,39
150,B1 argmax,ecart_desirabilite,-0.006080,-0.085983,0.064692,0.852600,8,0.022674,8,-0.012858,-0.086949,0.052739,0.707900,-0.003124,-0.049265,0.039822,0.897000,23
150,B1 argmax,exactitude,-0.026765,-0.076226,0.024167,0.406000,8,-0.042907,10,-0.029077,-0.075394,0.022515,0.304300,-0.025094,-0.084558,0.036058,0.409500,39
150,B2 argmax,distance,0.006534,-0.021847,0.036575,0.679000,8,0.006929,10,0.018306,-0.030457,0.074615,0.460700,-0.005207,-0.033073,0.023275,0.734500,39
150,B2 argmax,ecart_desirabilite,0.007846,-0.070841,0.081134,0.822200,8,0.028646,8,0.024271,-0.065935,0.116724,0.587100,0.021574,-0.039471,0.084756,0.505000,23
150,B2 argmax,exactitude,-0.021618,-0.063579,0.020982,0.510200,8,-0.029647,10,-0.031607,-0.073778,0.014858,0.244500,-0.038914,-0.090288,0.014003,0.166400,39
150,C2,distance,-0.002964,-0.052549,0.047007,0.929300,8,0.041462,10,0.040753,-0.048566,0.140597,0.399500,-0.021932,-0.075013,0.032763,0.472700,39
