modele,cle_modele,identite,item,tv_camps_decrit,tv_camps_reel_w1,tv_camps_reel_w2,gap_signe_decrit,gap_signe_reel_w1,gap_signe_reel_w2
gpt-oss-20b,oss20,journaliste,natspac/y,0.0,0.033175868943399495,0.06674901043021014,0.0,0.02331989829822878,0.047549911877726836
gpt-oss-20b,oss20,journaliste,natenvir/y,0.30000000000000004,0.48262113201005474,0.4519444685215682,-0.25,0.3759895697899513,0.3464830545202392
gpt-oss-20b,oss20,journaliste,natheal/y,0.15,0.22794053913495704,0.15097078963335353,-0.07499999999999996,0.15112247551356503,0.10599953771922209
gpt-oss-20b,oss20,journaliste,natcity/y,0.0,0.3880197047181532,0.37290167865707446,0.0,0.28032995290514584,0.28626737164485283
gpt-oss-20b,oss20,journaliste,natdrug/y,0.0,0.16543873335066892,0.2147438675565572,0.0,0.14246193406720412,0.20169527028979228
gpt-oss-20b,oss20,journaliste,nateduc/y,0.0,0.21662188321631853,0.24963884314235363,0.0,0.17675377770073103,0.2037755337898357
gpt-oss-20b,oss20,journaliste,natrace/y,0.0,0.48924474877928986,0.4407269365230707,0.0,0.4631403311086071,0.43645445089711354
gpt-oss-20b,oss20,journaliste,natarms/y,0.0,0.38940654705151545,0.42075496229522413,0.0,0.38641977983877956,0.40962410794256165
gpt-oss-20b,oss20,journaliste,nataid/y,0.04999999999999999,0.35004044956805647,0.4064820432810378,-0.04999999999999993,0.20733654040622929,0.24127445031926276
gpt-oss-20b,oss20,journaliste,natfare/y,0.30000000000000004,0.32912224437317616,0.3237121146456329,-0.25,0.2528603623125595,0.2516324289965618
gpt-oss-20b,oss20,journaliste,natroad,0.15,0.009859582213747102,0.024450319262662133,-0.09999999999999998,-0.00927089653578339,0.01747276877293341
gpt-oss-20b,oss20,journaliste,natsoc,0.25,0.05249053769032964,0.03263413365692993,-0.20000000000000007,0.051956025541013,0.025212360232296088
gpt-oss-20b,oss20,journaliste,natmass,0.0,0.3410982057727312,0.3867195400306261,0.0,0.23388879258039352,0.26902574326081297
gpt-oss-20b,oss20,journaliste,natpark,0.0,0.11819219323336512,0.1019040189535119,0.0,0.09173023027361249,0.07424301522637305
gpt-oss-20b,oss20,journaliste,natchld,0.0,0.32428996561786716,0.3579786772991246,0.0,0.22969576146311868,0.24349917656236464
gpt-oss-20b,oss20,journaliste,natsci,0.25,0.2291756955881079,0.2663748519256884,-0.07499999999999996,0.1851795671896218,0.20227312126202657
gpt-oss-20b,oss20,journaliste,natenrgy,0.30000000000000004,0.3714859437751004,0.4124266851578979,-0.25,0.3195588107826992,0.3517414983675712
gpt-oss-20b,oss20,journaliste,uswary,0.0,0.15279824333304443,0.1768368437779897,,,
gpt-oss-20b,oss20,journaliste,prayer,0.39999999999999997,0.36810551558753,0.34819132645690676,0.39999999999999997,0.36810551558753,0.34819132645690676
gpt-oss-20b,oss20,journaliste,courts,0.15000000000000002,0.4459420415474849,0.47846060500996795,-0.09999999999999998,0.3348646384097541,0.34816965704544806
gpt-oss-20b,oss20,journaliste,discaffw,0.0,0.3582459333737829,0.3811143855999538,0.0,0.23629530110851082,0.2334879084684059
gpt-oss-20b,oss20,journaliste,discaffm,0.0,0.28265580306838867,0.333362225881945,0.0,0.2008850750724721,0.23907620891238812
gpt-oss-20b,oss20,journaliste,fehire,0.49999999999999994,0.3685316806795528,0.37812400681864144,0.315,0.2547781052266621,0.271219771171015
gpt-oss-20b,oss20,journaliste,fechld,0.0,0.16881916153823928,0.2203490219872296,0.0,0.12230215827338128,0.15476293663864102
gpt-oss-20b,oss20,journaliste,fepresch,0.20000000000000004,0.25253532114067784,0.20858253156510947,0.08999999999999997,0.1613576608592644,0.12750281702348976
gpt-oss-20b,oss20,journaliste,fefam,0.25,0.3687772673427523,0.3496504001617983,0.1233333333333333,0.2808283493686978,0.27727938131422586
gpt-oss-20b,oss20,journaliste,fepol,0.43000000000000005,0.3323437635433822,0.3704458120250787,0.43000000000000005,0.33234376354338224,0.37044581202507876
gpt-oss-20b,oss20,journaliste,mobile16,0.0,0.08628037329172802,0.09408858455404351,,,
gpt-oss-20b,oss20,journaliste,incom16,0.1,0.11270260899713967,0.0728742307358932,,,
gpt-oss-20b,oss20,journaliste,dwelown16,0.0,0.04864782872497184,0.055842073329288366,,,
