matrice,n_domaines,part_premier_facteur,valeur_propre_1,valeur_propre_2,r_moyen,r_moyen_permutation,r_permutation_p95
brute,6,0.3092,1.855,0.965,0.1627,-0.0001,0.0057
desattenuee,6,0.3811,2.2865,0.9527,0.2431,-0.0001,0.0057
