modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
Olmo-3-1025-7B,olmo3base,gauche,grass,0.15,0.0023980815347721396
Olmo-3-1025-7B,olmo3base,gauche,gunlaw,0.23,0.002398081534772195
Olmo-3-1025-7B,olmo3base,gauche,owngun,0.0,0.016786570743405296
Olmo-3-1025-7B,olmo3base,gauche,hunt1,0.0,0.021582733812949714
Olmo-3-1025-7B,olmo3base,gauche,class,0.22999999999999998,0.04316546762589932
Olmo-3-1025-7B,olmo3base,gauche,satfin,0.030000000000000013,0.07434052757793773
Olmo-3-1025-7B,olmo3base,gauche,finalter,0.0,0.0455635491606714
Olmo-3-1025-7B,olmo3base,gauche,finrela,0.1,0.047961630695443735
Olmo-3-1025-7B,olmo3base,gauche,racdif1,0.0,0.02398081534772184
Olmo-3-1025-7B,olmo3base,gauche,racdif2,0.0,0.0
Olmo-3-1025-7B,olmo3base,gauche,racdif3,0.0,0.0047961630695443624
Olmo-3-1025-7B,olmo3base,gauche,racdif4,0.0,0.01918465227817743
Olmo-3-1025-7B,olmo3base,gauche,wlthwhts,0.039999999999999994,0.04796163069544367
Olmo-3-1025-7B,olmo3base,gauche,wlthblks,0.039999999999999994,0.043165467625899304
Olmo-3-1025-7B,olmo3base,gauche,wlthhsps,0.039999999999999994,0.019184652278177443
Olmo-3-1025-7B,olmo3base,gauche,racwork,0.050000000000000024,0.043165467625899276
Olmo-3-1025-7B,olmo3base,gauche,letin1a,0.1,0.05035971223021584
Olmo-3-1025-7B,olmo3base,gauche,getahead,0.09999999999999999,0.019184652278177478
Olmo-3-1025-7B,olmo3base,gauche,aged,0.030000000000000013,0.011990407673860875
Olmo-3-1025-7B,olmo3base,gauche,parsol,0.18,0.028776978417266237
Olmo-3-1025-7B,olmo3base,gauche,kidssol,0.24999999999999997,0.03357314148681051
Olmo-3-1025-7B,olmo3base,gauche,spanking,0.19999999999999998,0.02398081534772186
Olmo-3-1025-7B,olmo3base,gauche,divlaw,0.11999999999999998,0.026378896882493987
Olmo-3-1025-7B,olmo3base,gauche,sexeduc,0.020000000000000004,0.007194244604316495
Olmo-3-1025-7B,olmo3base,gauche,pillok,0.5,0.026378896882494018
Olmo-3-1025-7B,olmo3base,gauche,xmarsex,0.15000000000000002,0.050359712230215806
Olmo-3-1025-7B,olmo3base,gauche,homosex,0.43,0.007194244604316585
Olmo-3-1025-7B,olmo3base,gauche,marhomo,0.25,0.023980815347721875
Olmo-3-1025-7B,olmo3base,gauche,discaff,0.0,0.007194244604316502
Olmo-3-1025-7B,olmo3base,gauche,abdefect,0.13,0.0071942446043164465
Olmo-3-1025-7B,olmo3base,gauche,abnomore,0.13,0.004796163069544376
Olmo-3-1025-7B,olmo3base,gauche,abhlth,0.13,0.0023980815347722367
Olmo-3-1025-7B,olmo3base,gauche,abpoor,0.13,0.01199040767386092
Olmo-3-1025-7B,olmo3base,gauche,abrape,0.13,0.00479616306954431
Olmo-3-1025-7B,olmo3base,gauche,absingle,0.13,0.002398081534772195
Olmo-3-1025-7B,olmo3base,gauche,abany,0.13,0.02398081534772184
Olmo-3-1025-7B,olmo3base,gauche,letdie1,0.23,0.007194244604316544
Olmo-3-1025-7B,olmo3base,gauche,suicide1,0.23,0.007194244604316544
Olmo-3-1025-7B,olmo3base,gauche,suicide2,0.14999999999999997,0.04796163069544365
Olmo-3-1025-7B,olmo3base,gauche,suicide3,0.0,0.05515587529976018
Olmo-3-1025-7B,olmo3base,gauche,suicide4,0.14999999999999997,0.05035971223021582
Olmo-3-1025-7B,olmo3base,gauche,pornlaw,0.10999999999999997,0.04316546762589932
Olmo-3-1025-7B,olmo3base,gauche,fair,0.0,0.014388489208633101
Olmo-3-1025-7B,olmo3base,gauche,helpful,0.0,0.023980815347721895
Olmo-3-1025-7B,olmo3base,gauche,trust,0.019999999999999976,0.05035971223021583
Olmo-3-1025-7B,olmo3base,gauche,tax,0.10999999999999997,0.021582733812949676
Olmo-3-1025-7B,olmo3base,gauche,vote16,0.009999999999999998,0.02637889688249402
Olmo-3-1025-7B,olmo3base,gauche,pres16,0.06000000000000001,0.019184652278177425
Olmo-3-1025-7B,olmo3base,gauche,if16who,0.0,0.007194244604316551
Olmo-3-1025-7B,olmo3base,gauche,news,0.03,0.028776978417266244
