perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,rappel_ic_bas,rappel_ic_haut,precision,precision_ic_bas,precision_ic_haut,f1,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
1052,0.100000,D_seg segment,T3 deductible,agents demographiques (v6),1686,714,0.138790,0.120669,0.157510,0.327731,0.291327,0.365124,0.195000,0.220358,0.073437,0.138790,-0.081568
1052,0.100000,D_seg segment,ensemble,agents demographiques (v6),5709,2581,0.162375,0.152100,0.173048,0.359163,0.340229,0.377911,0.223643,0.092714,0.062262,0.165233,0.072519
1052,0.100000,D_logit regression,T1 non deductible,agents demographiques (v6),1903,934,0.179716,0.161455,0.197957,0.366167,0.335057,0.399186,0.241100,0.038846,0.049497,0.180980,0.142134
1052,0.100000,D_logit regression,T2 intermediaire,agents demographiques (v6),1903,875,0.154493,0.138219,0.171518,0.336000,0.304650,0.368421,0.211663,0.075884,0.064260,0.155003,0.079119
1052,0.100000,D_logit regression,T3 deductible,agents demographiques (v6),1903,772,0.152916,0.135038,0.170783,0.376943,0.342308,0.412551,0.217570,0.166992,0.073029,0.159394,-0.007598
1052,0.100000,D_logit regression,ensemble,agents demographiques (v6),5709,2581,0.162375,0.152100,0.173048,0.359163,0.340229,0.377911,0.223643,0.092714,0.062262,0.165233,0.072519
1052,0.100000,D_seg segment,T1 non deductible,agents v7,1866,1061,0.041265,0.032019,0.050801,0.072573,0.056751,0.089100,0.052614,0.000000,0.051687,0.041265,0.041265
1052,0.100000,D_seg segment,T2 intermediaire,agents v7,1562,772,0.056978,0.044884,0.069420,0.115285,0.091405,0.139176,0.076264,0.065695,0.062409,0.056978,-0.008717
1052,0.100000,D_seg segment,T3 deductible,agents v7,1686,795,0.098458,0.079619,0.119623,0.208805,0.174839,0.244604,0.133817,0.220358,0.073437,0.098458,-0.121900
1052,0.100000,D_seg segment,ensemble,agents v7,5709,2939,0.067262,0.058009,0.076677,0.130657,0.114399,0.146505,0.088807,0.092714,0.062262,0.064920,-0.027794
1052,0.100000,D_logit regression,T1 non deductible,agents v7,1903,1276,0.043090,0.033401,0.053015,0.064263,0.050346,0.078635,0.051589,0.038846,0.049497,0.043804,0.004958
1052,0.100000,D_logit regression,T2 intermediaire,agents v7,1903,888,0.058329,0.047008,0.070234,0.125000,0.102299,0.147992,0.079541,0.075884,0.064260,0.052632,-0.023253
1052,0.100000,D_logit regression,T3 deductible,agents v7,1903,775,0.100368,0.081136,0.121853,0.246452,0.205546,0.287123,0.142644,0.166992,0.073029,0.100000,-0.066992
1052,0.100000,D_logit regression,ensemble,agents v7,5709,2939,0.067262,0.058009,0.076677,0.130657,0.114399,0.146505,0.088807,0.092714,0.062262,0.064920,-0.027794
1052,0.100000,D_seg segment,T1 non deductible,agents v8,1866,1240,0.062165,0.049532,0.075120,0.093548,0.075636,0.111201,0.074694,0.000000,0.051687,0.062165,0.062165
1052,0.100000,D_seg segment,T2 intermediaire,agents v8,1562,1348,0.087068,0.070595,0.103538,0.100890,0.082394,0.119584,0.093471,0.065695,0.062409,0.087068,0.021373
1052,0.100000,D_seg segment,T3 deductible,agents v8,1686,2948,0.312574,0.279976,0.345563,0.178765,0.158746,0.199596,0.227449,0.220358,0.073437,0.312574,0.092216
1052,0.100000,D_seg segment,ensemble,agents v8,5709,6609,0.171659,0.155230,0.188575,0.148283,0.135493,0.161915,0.159117,0.092714,0.062262,0.152327,0.059613
1052,0.100000,D_logit regression,T1 non deductible,agents v8,1903,1309,0.052023,0.041144,0.063596,0.075630,0.060650,0.091175,0.061644,0.038846,0.049497,0.044380,0.005535
1052,0.100000,D_logit regression,T2 intermediaire,agents v8,1903,2082,0.124015,0.106634,0.142783,0.113353,0.098127,0.129736,0.118444,0.075884,0.064260,0.109312,0.033427
