configuration,ancrage,ecart_modele_premier_ordre,ecart_reel_premier_ordre,amplification_premier_ordre,ic_bas,ic_haut,p_brute
demographics_only__gpt41_mini,ideologie,22.625770513559296,43.959522936420626,0.5146955426764598,0.060394658162248455,1.0727192309546922,0.125
json_persona__gpt41,ideologie,76.8149195871968,43.959522936420626,1.7474011193955736,1.3984434060575923,2.175783109801561,0.009765625
json_persona__gpt41_mini,ideologie,71.6323396567299,43.959522936420626,1.6295067569393988,1.290862240157644,2.0866384075372735,0.0078125
json_persona_predicted_output__gpt41,ideologie,83.71902654867257,43.959522936420626,1.9044571222885371,1.602070788225485,2.3009282669348514,0.00390625
llm_finetuning_500_training_samples__gpt41_mini,ideologie,29.907159537506413,43.959522936420626,0.6803340332141826,0.5243371420815491,0.8936100391600217,0.04296875
persona_summary__gpt41_mini,ideologie,41.65051425777498,43.959522936420626,0.94747420980921,0.5344977013034911,1.486701758509094,0.8359375
persona_summary__json_persona__gpt41_mini,ideologie,45.2662091605986,43.959522936420626,1.0297247589803886,0.5625298961134192,1.5985686242641108,0.90234375
text_persona__gemini_flash25,ideologie,96.89856287216023,43.959522936420626,2.2042678445875357,1.8568362539696106,2.756356925384771,0.001953125
text_persona__gpt41_mini,ideologie,80.19400352733685,43.959522936420626,1.8242691951712655,1.5330583617271407,2.2032913188439287,0.00390625
text_persona_default_temperature__gpt41_mini,ideologie,79.17299666474584,43.959522936420626,1.8010431273163503,1.5148190009306255,2.1979058066736044,0.00390625
text_persona_reasoning__gpt41_mini,ideologie,69.38812928911939,43.959522936420626,1.5784550116587155,1.261261199917451,1.950327081298827,0.015625
text_persona_repeating_questions__gpt41_mini,ideologie,79.93346953742994,43.959522936420626,1.8183425159785975,1.5087250432321968,2.198239677910631,0.00390625
demographics_only__gpt41_mini,parti,23.336569154750975,40.343478070750805,0.5784471312519306,0.07179528168240375,1.2126955946614497,0.203125
json_persona__gpt41,parti,77.68212427303337,40.343478070750805,1.9255187700178296,1.5301676428629725,2.40283846458678,0.005859375
json_persona__gpt41_mini,parti,73.53535003122181,40.343478070750805,1.8227320386770336,1.4358858104865224,2.371598818283058,0.005859375
json_persona_predicted_output__gpt41,parti,86.08011747741074,40.343478070750805,2.133681120067315,1.7882491701118113,2.631621435448352,0.00390625
llm_finetuning_500_training_samples__gpt41_mini,parti,29.243191867769667,40.343478070750805,0.7248554974978993,0.5489869712548702,0.9747910856449108,0.080078125
persona_summary__gpt41_mini,parti,42.39372075735712,40.343478070750805,1.0508196810153747,0.5890451537324503,1.6790002559734445,0.86328125
persona_summary__json_persona__gpt41_mini,parti,44.2234903143994,40.343478070750805,1.096174460636343,0.5904215983179878,1.7152439653169023,0.744140625
text_persona__gemini_flash25,parti,94.63920591193319,40.343478070750805,2.3458365623797572,1.954238955677408,3.003469132200732,0.001953125
text_persona__gpt41_mini,parti,81.60571078752898,40.343478070750805,2.0227733128119527,1.7117209538020444,2.4542915650773427,0.00390625
text_persona_default_temperature__gpt41_mini,parti,80.06705583978312,40.343478070750805,1.9846344358155892,1.6839722039484677,2.4123881367559914,0.00390625
text_persona_reasoning__gpt41_mini,parti,68.49184485548123,40.343478070750805,1.6977178996656244,1.3673844981853975,2.086849953671299,0.005859375
text_persona_repeating_questions__gpt41_mini,parti,80.67469062923608,40.343478070750805,1.9996959728597514,1.68136829810983,2.418770458797962,0.00390625
