perimetre,etendue,identite,condition_a,condition_b,famille,n_items,valeur_a,valeur_b,difference,ic_bas,ic_haut,p,quantite,camp
,perimetre commun aux 4 conditions,adversaire,q4base,q4nogab,"F4, poids seuls, format fixe",140,1.104950815510164,1.0581652549484892,0.04678556056167474,-0.008088960029676066,0.10090145926139553,0.0847457627118644,ratio H1,gauche
,perimetre commun aux 4 conditions,adversaire,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",140,1.2191239737583286,1.173996935464842,0.04512703829348653,-0.0028197205563308555,0.09476989756013245,0.07959602019899005,ratio H1,gauche
,perimetre commun aux 4 conditions,adversaire,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",140,1.2191239737583286,1.0581652549484892,0.16095871880983925,0.10630649818707481,0.2265621758075392,4.999750012499375e-05,ratio H1,gauche
,perimetre commun aux 4 conditions,adversaire,q4base,q4,"hors famille, socle contre instruit sous gabarit",140,1.104950815510164,1.173996935464842,-0.06904611995467799,-0.12386054517278124,-0.01715231866249312,0.010199490025498725,ratio H1,gauche
,perimetre commun aux 4 conditions,journaliste,q4nogab,q4,"F3, format seul, poids fixes",141,1.1154641795978704,1.1063682796944243,0.009095899903446161,-0.021649036194569787,0.035555349856990374,0.5343232838358082,ratio H1,centre
,perimetre commun aux 4 conditions,journaliste,q4base,q4nogab,"F4, poids seuls, format fixe",141,1.142950835900164,1.1154641795978704,0.02748665630229367,0.001408244314577308,0.05631688808719384,0.04744762761861907,ratio H1,centre
,perimetre commun aux 4 conditions,journaliste,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",141,1.1697552106376385,1.1063682796944243,0.06338693094321422,0.03146596984474071,0.09575755284307916,0.00014999250037498125,ratio H1,centre
,perimetre commun aux 4 conditions,journaliste,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",141,1.1697552106376385,1.1154641795978704,0.05429103103976805,0.0238941522636457,0.08879630760510221,0.000599970001499925,ratio H1,centre
,perimetre commun aux 4 conditions,journaliste,q4base,q4,"hors famille, socle contre instruit sous gabarit",141,1.142950835900164,1.1063682796944243,0.03658255620573983,0.008414781916840414,0.0663339172234698,0.013949302534873257,ratio H1,centre
,perimetre commun aux 4 conditions,adversaire,q4nogab,q4,"F3, format seul, poids fixes",140,1.173288118721319,1.1447480711898523,0.02854004753146674,0.007651494701011676,0.04804687481291034,0.006599670016499175,ratio H1,centre
,perimetre commun aux 4 conditions,adversaire,q4base,q4nogab,"F4, poids seuls, format fixe",140,1.1734309939081846,1.173288118721319,0.00014287518686554327,-0.030388679554799247,0.027970392480057636,0.992400379981001,ratio H1,centre
,perimetre commun aux 4 conditions,adversaire,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",140,1.1977980398304016,1.1447480711898523,0.05304996864054924,0.025169789075692783,0.08455589374574131,0.00044997750112494374,ratio H1,centre
,perimetre commun aux 4 conditions,adversaire,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",140,1.1977980398304016,1.173288118721319,0.024509921109082497,-0.0037576109052729263,0.056877452777416744,0.11934403279836008,ratio H1,centre
,perimetre commun aux 4 conditions,adversaire,q4base,q4,"hors famille, socle contre instruit sous gabarit",140,1.1734309939081846,1.1447480711898523,0.028682922718332286,-0.005204795773003613,0.061661973003877234,0.08979551022448877,ratio H1,centre
,perimetre commun aux 4 conditions,journaliste,q4nogab,q4,"F3, format seul, poids fixes",141,1.0966155232442478,1.065553228213371,0.031062295030876777,-0.005826834711998221,0.06378073198293219,0.09144542772861357,ratio H1,droite
,perimetre commun aux 4 conditions,journaliste,q4base,q4nogab,"F4, poids seuls, format fixe",141,1.0892070613937357,1.0966155232442478,-0.00740846185051219,-0.03811241230463806,0.022958041837045657,0.6358682065896705,ratio H1,droite
,perimetre commun aux 4 conditions,journaliste,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",141,1.1517273986323855,1.065553228213371,0.08617417041901458,0.04717503000494361,0.12597562556023695,9.99950002499875e-05,ratio H1,droite
,perimetre commun aux 4 conditions,journaliste,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",141,1.1517273986323855,1.0966155232442478,0.055111875388137804,0.02267633833559116,0.08691309704360536,0.00039998000099995,ratio H1,droite
,perimetre commun aux 4 conditions,journaliste,q4base,q4,"hors famille, socle contre instruit sous gabarit",141,1.0892070613937357,1.065553228213371,0.023653833180364587,-0.018488672978143987,0.059664159533020705,0.239938003099845,ratio H1,droite
,perimetre commun aux 4 conditions,adversaire,q4nogab,q4,"F3, format seul, poids fixes",139,1.02556107819439,1.0614263656036858,-0.035865287409295656,-0.07632005976112215,0.006048592424108291,0.08614569271536424,ratio H1,droite
,perimetre commun aux 4 conditions,adversaire,q4base,q4nogab,"F4, poids seuls, format fixe",139,1.055211262535655,1.02556107819439,0.029650184341264756,-0.007577928123366585,0.06659708705379021,0.11939403029848508,ratio H1,droite
,perimetre commun aux 4 conditions,adversaire,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",139,1.1318627441192404,1.0614263656036858,0.07043637851555452,0.035188683982063554,0.10627684606989062,4.999750012499375e-05,ratio H1,droite
,perimetre commun aux 4 conditions,adversaire,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",139,1.1318627441192404,1.02556107819439,0.10630166592485017,0.06545857627614123,0.14664111442094954,4.999750012499375e-05,ratio H1,droite
,perimetre commun aux 4 conditions,adversaire,q4base,q4,"hors famille, socle contre instruit sous gabarit",139,1.055211262535655,1.0614263656036858,-0.0062151030680308965,-0.046117463130698,0.03499296166345046,0.7718114094295285,ratio H1,droite
