variable,present,type,n_renseigne,part_renseignee,n_niveaux,niveaux
_AGE_CAT,True,texte,82519,0.9998061428484886,3,40 to 60=32968;Over 60=23333;Under 40=26218
_EDU_CAT,True,texte,82017,0.9937238747198158,3,College=46992;High School=9346;Some College=25679
_HH_INC_CAT,True,texte,81916,0.9925001514508996,3,50k to 100k=28336;Over 100k=28684;Under 50k=24896
_REGION_CAT,True,texte,82533,0.999975767856061,4,Midwest=20105;Northeast=15711;South=28877;West=17840
_NUM_CAT,True,texte,82528,0.9999151874962138,2,High=57534;Low=24994
Q33,True,nombre,9754,0.11818016599018598,2,1.0=4938;2.0=4816
Q36,True,nombre,9759,0.11824074635003332,9,1.0=108;2.0=1102;3.0=1876;4.0=1232;5.0=3116;6.0=1764;7.0=242;8.0=253;9.0=66
Q47,True,nombre,9698,0.1175016659598958,11,1.0=338;2.0=479;3.0=680;4.0=707;5.0=742;6.0=786;7.0=1079;8.0=1424;9.0=1714;10.0=866;11.0=883
_STATE,True,texte,82182,0.995723026594778,52,AK=155;AL=1116;AP=6;AR=924;AZ=1876;CA=6866;CO=1550;CT=986;DC=143;DE=266;FL=5266;GA=2288;HI=303;IA=1029;ID=719;IL=2726;IN=1890;KS=1018;KY=1220;LA=1077;MA=1542;MD=1197;ME=655;MI=2695;MN=1961;MO=2069;MS=469;MT=411;NC=2855;ND=213;NE=620;NH=384;NJ=1919;NM=522;NV=595;NY=5197;OH=3555;OK=1022;OR=1608;PA=4428;RI=307;SC=1201;SD=277;TN=1757;TX=5316;UT=807;VA=2138;VT=198;WA=2268;WI=1922;WV=550;WY=100
tenure,True,nombre,82535,1.0,16,1=9762;2=8412;3=7772;4=7323;5=7018;6=6737;7=6573;8=6348;9=6140;10=5819;11=5320;12=4418;13=774;14=95;15=20;16=4
weight,True,nombre,82511,0.9997092142727327,15376,0.10645638406276703 a 8.756440162658691
parti ou ideologie,False,,0,0.0,0,"absent du module central, questionnaire lu en entier"
