variable,decile,n,valeur_moyenne,taux_changement,taux_monotone
cross pression,1,469,0.08148097935464468,0.3334719625929216,0.1359080669288355
cross pression,2,468,0.24983998139306096,0.3309835032033305,0.1370310223591314
cross pression,3,468,0.41400068789042116,0.3329847148192552,0.13836360375451853
cross pression,4,468,0.5879308693080084,0.33274919393764935,0.13811635122106009
cross pression,5,468,0.7781064069080216,0.3197967636379046,0.13492007626221708
cross pression,6,469,0.9786893213476645,0.32636232366809076,0.1355172650962961
cross pression,7,468,1.1969508085390397,0.32725047828256676,0.13829927291349828
cross pression,8,468,1.478063648871452,0.3219414509270659,0.13236656400631597
cross pression,9,468,1.8496372002796508,0.31367033941167366,0.1329939386895039
cross pression,10,469,2.755691248748443,0.3160822135424282,0.12962570799418277
distance au patron modal du segment,1,468,0.26015041964419544,0.2665638769761663,0.11766657190118741
distance au patron modal du segment,2,469,0.31273454030125786,0.28850274431931267,0.12257423011098263
distance au patron modal du segment,3,458,0.3386865949060662,0.31078160347791606,0.1307095595196436
distance au patron modal du segment,4,477,0.3601005683020266,0.3145788507254558,0.1295218109520233
distance au patron modal du segment,5,465,0.3794639856519213,0.3225062465083459,0.13457220357435415
distance au patron modal du segment,6,464,0.39872109526115185,0.3291240886424237,0.13612008456667432
distance au patron modal du segment,7,471,0.4193361780598445,0.3386296748255024,0.13904770617219891
distance au patron modal du segment,8,465,0.4421639889931752,0.3452808796732421,0.14051679663447253
distance au patron modal du segment,9,473,0.4738944101014222,0.35578538295536555,0.14609213385932523
distance au patron modal du segment,10,473,0.5333373724333107,0.38263338862105806,0.15602566791343553
