condition,contexte,items_contexte_moyen,cousins_de_famille_moyen,rarete_du_contexte_moyenne
C3,149 items moins le bloc secret,119.206897,8.724138,0.035888
C3F,149 items moins la famille entiere,137.310345,0.000000,0.036368
