condition,n_attaques,n_pool,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,top1_segment,top1_segment_bas,top1_segment_haut,rang_segment_median,taille_segment_mediane
B<->M,120,120,0.006666666666666666,0.0,0.0175,0.10375000000000001,0.06019270833333333,0.15334374999999995,59.625,0.008333333333333333,0.19125,0.13331770833333334,0.24979166666666666,3.0375,13.0
B<->G,120,120,0.008333333333333333,0.0,0.020833333333333332,0.12625,0.078328125,0.17791666666666667,56.0125,0.008333333333333333,0.16624999999999998,0.11207291666666666,0.2218802083333333,3.1875,13.0
B<->P,120,120,0.02645833333333333,0.005,0.051250000000000004,0.15020833333333333,0.09541666666666668,0.21021354166666667,57.412499999999994,0.008333333333333333,0.2233333333333333,0.16248437500000001,0.28958854166666664,3.0,13.0
"Demographics Only - GPT4.1-mini (pool=120, recalcule)",120,120,0.13291666666666668,0.07458333333333335,0.19291666666666665,0.3875,0.3066458333333333,0.46835416666666657,18.299999999999997,0.008333333333333333,0.38208333333333333,0.29748958333333336,0.4666770833333333,1.625,13.0
