item,panel,n_personnes,part_stable,part_aller_retour,part_persistant,part_erratique,part_monotone_persistant
natspac/y,2006-2010,1135,0.4907488986784141,0.1444933920704846,0.33303964757709253,0.03171806167400881,0.12246696035242291
natenvir/y,2006-2010,604,0.5529801324503312,0.10430463576158941,0.3129139072847682,0.029801324503311258,0.19370860927152317
natheal/y,2006-2010,1219,0.5028712059064807,0.0918785890073831,0.3453650533223954,0.05988515176374077,0.21985233798195242
natcity/y,2006-2010,1010,0.36435643564356435,0.17425742574257425,0.39504950495049507,0.06633663366336634,0.1495049504950495
natdrug/y,2006-2010,1132,0.43992932862190814,0.13692579505300354,0.37279151943462896,0.05035335689045936,0.19081272084805653
nateduc/y,2006-2010,1240,0.6395161290322581,0.09032258064516129,0.2411290322580645,0.02903225806451613,0.0
natrace/y,2006-2010,976,0.49077868852459017,0.12295081967213115,0.36270491803278687,0.0235655737704918,0.19467213114754098
natarms/y,2006-2010,1193,0.4157585917854149,0.14082145850796313,0.37468566638725903,0.06873428331936295,0.1944677284157586
nataid/y,2006-2010,1192,0.5453020134228188,0.13758389261744966,0.2860738255033557,0.03104026845637584,0.1568791946308725
natfare/y,2006-2010,1197,0.5129490392648287,0.1086048454469507,0.33500417710944025,0.04344193817878028,0.15288220551378445
natroad,2006-2010,1211,0.41288191577208916,0.15028901734104047,0.3905862923203964,0.046242774566473986,0.20891824938067713
natsoc,2006-2010,1171,0.5499573014517506,0.14346712211784798,0.28095644748078563,0.025619128949615714,0.15713065755764305
natmass,2006-2010,1116,0.4829749103942652,0.13978494623655913,0.3431899641577061,0.034050179211469536,0.1496415770609319
natpark,2006-2010,1214,0.49341021416803954,0.1326194398682043,0.3418451400329489,0.03212520593080725,0.15403624382207579
natchld,2006-2010,1075,0.4576744186046512,0.1386046511627907,0.3702325581395349,0.03348837209302326,0.19627906976744186
natsci,2006-2010,1103,0.37896645512239346,0.16409791477787852,0.4016319129646419,0.05530371713508613,0.1840435176790571
uswary,2006-2010,374,0.6256684491978609,0.09090909090909091,0.28342245989304815,0.0,0.18983957219251338
prayer,2006-2010,755,0.6423841059602649,0.1152317880794702,0.2423841059602649,0.0,0.13112582781456952
courts,2006-2010,1105,0.5782805429864254,0.11493212669683257,0.2751131221719457,0.03167420814479638,0.11764705882352941
discaffw,2006-2010,387,0.2997416020671835,0.15503875968992248,0.40310077519379844,0.1421188630490956,0.2041343669250646
discaffm,2006-2010,399,0.2506265664160401,0.16541353383458646,0.44360902255639095,0.14035087719298245,0.06516290726817042
fehire,2006-2010,417,0.2637889688249401,0.1606714628297362,0.41007194244604317,0.16546762589928057,0.1630695443645084
fechld,2006-2010,822,0.305352798053528,0.17274939172749393,0.4245742092457421,0.09732360097323602,0.19464720194647203
fepresch,2006-2010,811,0.3785450061652281,0.17632552404438964,0.3785450061652281,0.06658446362515413,0.040690505548705305
fefam,2006-2010,814,0.3230958230958231,0.18427518427518427,0.414004914004914,0.07862407862407862,0.12530712530712532
fepol,2006-2010,736,0.71875,0.09646739130434782,0.18478260869565216,0.0,0.10733695652173914
wrkstat,2006-2010,1272,0.5424528301886793,0.08333333333333333,0.2806603773584906,0.09355345911949685,0.08883647798742138
evwork,2006-2010,323,0.913312693498452,0.02786377708978328,0.058823529411764705,0.0,0.04953560371517028
partfull,2006-2010,753,0.7755644090305445,0.041168658698539175,0.18326693227091634,0.0,0.09827357237715803
conarmy,2006-2010,821,0.4457978075517661,0.13520097442143728,0.3654080389768575,0.0535931790499391,0.08160779537149818
conbus,2006-2010,799,0.4192740926157697,0.1539424280350438,0.3829787234042553,0.04380475594493116,0.12390488110137672
conclerg,2006-2010,796,0.44974874371859297,0.13819095477386933,0.3806532663316583,0.031407035175879394,0.13190954773869346
coneduc,2006-2010,833,0.44537815126050423,0.15726290516206481,0.36014405762304924,0.03721488595438175,0.2028811524609844
